"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Confederation of British Industry","United Kingdom","900000 - 999999",0,11.25,37,2011-10-21
"Confederazione Generale dell'Industria Italiana",Italy,"900000 - 999999",6,8.5,73,2009-06-04
"FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors",Belgium,"900000 - 999999",2,6.75,6,2012-06-05
"Federation of European Securities Exchanges",Belgium,"900000 - 999999",2,5.75,14,2011-08-22
"Fédération Française de l'Assurance",France,"900000 - 999999",2,10,6,2009-01-07
"Fédération bancaire française",France,"900000 - 999999",1,5.5,62,2009-02-10
"International Air Transport Association",Canada,"900000 - 999999",1,4,50,2008-10-31
"Suomen Tekstiili ja Muoti ry",Finland,"900000 - 999999",0,8,0,2020-12-02
"Svenska Taxiförbundet",Sweden,"900000 - 999999",1,1,0,2018-09-17
VinylPlus,Belgium,"900000 - 999999",0,3.25,1,2012-07-04
"Bioenergia ry - Bioenergy Association of Finland",Finland,968075,0,5.5,0,2016-02-01
"Association Européenne des Concessionnaires d'Autoroutes et d'Ouvrages à Péage",France,"800000 - 899999",0,5,8,2011-03-14
"Bundesverband Deutscher Pflanzenzüchter e.V.",Germany,"800000 - 899999",0,2.75,0,2016-03-24
"Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.",Belgium,"800000 - 899999",3,8.75,18,2008-11-10
"Dutch crop protection association (Nefyto)",Netherlands,"800000 - 899999",0,2.25,0,2016-07-27
"European Association of Public Banks and Funding agencies AISBL",Belgium,"800000 - 899999",0,4.75,13,2009-01-14
"European Pet Food Industry Federation",Belgium,"800000 - 899999",0,3,0,2014-03-19
"European Round Table for Industry",Belgium,"800000 - 899999",0,3.75,94,2012-01-24
"FFI Fachverband Faltschachtel-Industrie e.V. (German Folding Carton Association)",Germany,"800000 - 899999",0,0.25,0,2020-12-30
"Fertilizers Europe",Belgium,"800000 - 899999",4,3.5,24,2011-01-17
"Futures Industry Association, Inc.","United States","800000 - 899999",1,2.5,6,2014-10-28
"HOTREC, Hotels, Restaurants & Cafés in Europe",Belgium,"800000 - 899999",4,6,11,2009-01-08
"ICI Global","United Kingdom","800000 - 899999",1,1.5,12,2013-03-26
"Insurance & Pension Denmark (Forsikring & Pension)",Denmark,"800000 - 899999",2,10.5,2,2013-09-11
"International Federation of Pharmaceutial Manufacturers and Associations",Switzerland,"800000 - 899999",0,4,0,2020-11-09
"International Organisation of Employers",Switzerland,"800000 - 899999",0,0.5,1,2016-11-30
"MedTech Europe",Belgium,"800000 - 899999",1,2.5,30,2016-12-26
"Motion Picture Association EMEA","United States","800000 - 899999",0,3.75,26,2009-05-18
"Svensk Försäkring",Sweden,"800000 - 899999",0,3.75,1,2014-10-17
"The Alternative Investment Management Association Limited","United Kingdom","800000 - 899999",2,5,12,2015-02-18
"Killybegs Fishermen's Organisation",Ireland,891060,0,4,0,2012-04-30
"International Association of Oil & Gas Producers","United Kingdom",800000,5,5.75,31,2008-10-10
"ASOCIACIÓN ESPAÑOLA DE MEDICAMENTOS BIOSIMILARES",Spain,"700000 - 799999",0,1.5,0,2018-11-27
"Arbeitsgemeinschaft Online Forschung e.V.",Germany,"700000 - 799999",0,8,0,2016-07-25
"Association Luxembourgeoise des Fonds d'Investissement",Luxembourg,"700000 - 799999",0,3.75,11,2008-08-05
"BDE Bundesverband der Deutschen Entsorgungs-, Wasser- und Rohstoffwirtschaft e. V.",Germany,"700000 - 799999",0,5,0,2020-06-29
"Confederación Española de Organizaciones Empresariales",Spain,"700000 - 799999",0,4.75,24,2012-05-29
"Cycling Industries Europe AISBL",Belgium,"700000 - 799999",0,3.75,6,2019-05-06
"EMEA Satellite Operators Association",Belgium,"700000 - 799999",0,2,1,2017-03-31
"European Association of Research and Technology Organisations",Belgium,"700000 - 799999",0,5,15,2018-08-21
"European Justice Forum",Belgium,"700000 - 799999",1,0.25,0,2016-11-22
"European Tyre & Rubber Manufacturers' Association",Belgium,"700000 - 799999",2,3.5,11,2008-12-23
"Finnet-liitto ry",Finland,"700000 - 799999",0,2.75,0,2018-06-28
GIGAEurope,Belgium,"700000 - 799999",1,1.25,14,2011-11-29
"Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe)",Belgium,"700000 - 799999",0,5,22,2008-06-25
"Make UK, the manufacturers' organisation (formerly EEF)","United Kingdom","700000 - 799999",2,4.75,1,2013-01-24
"Nederlandse Vereniging van Banken / Dutch Banking Association",Netherlands,"700000 - 799999",0,3,1,2009-06-19
"Sdružení pro internetový rozvoj","Czech Republic","700000 - 799999",0,1.25,0,2016-11-01
"Swiss Finance Council",Switzerland,"700000 - 799999",0,2,25,2013-11-27
"The European Steel Association",Belgium,"700000 - 799999",3,2.5,110,2009-02-17
"UITP - International Association of Public Transport",Belgium,"700000 - 799999",1,6,11,2012-02-28
"Vereniging VNO-NCW",Netherlands,"700000 - 799999",0,6.75,20,2010-09-07
"Zrzeszenie Rybaków Morskich - Organizacja Producentów",Poland,"700000 - 799999",0,0.25,0,2018-09-24
"AGRUPACION EMPRESARIAL INNOVADORA PARA LA CONSTRUCCIÓN EFICIENTE",Spain,"600000 - 699999",0,7,0,2017-08-08
"AMICE - Association of Mutual Insurers and Insurance Cooperatives in Europe",Belgium,"600000 - 699999",1,2,6,2009-05-26
"Association des Banques et Banquiers, Luxembourg",Luxembourg,"600000 - 699999",0,4,15,2008-08-05
"Belgian Association of the Consumer Healthcare Industry",Belgium,"600000 - 699999",1,3.5,0,2019-09-23
"British Agriculture Bureau","United Kingdom","600000 - 699999",3,4,6,2011-11-07
"CLG Europe","United Kingdom","600000 - 699999",1,5,14,2015-11-09
"Deutsche Bauchemie e.V.",Germany,"600000 - 699999",0,2.75,0,2012-05-29
"Die Deutsche Kreditwirtschaft",Germany,"600000 - 699999",0,8,2,2009-09-28
"European Business and Innovation Centre Network",Belgium,"600000 - 699999",0,6.25,1,2020-08-10
"European Crop Protection Association",Belgium,"600000 - 699999",2,2.75,29,2008-10-29
"European Federation of Local and Regional Energy Companies",Belgium,"600000 - 699999",2,4.25,11,2009-09-03
"Institute of International Finance","United States","600000 - 699999",1,2,28,2012-02-24
"JFMO SERVICIOS EN INTERMEDIACIÓN PÚBLICA, ASOCIACIÓN EN PARTICIPACION",Mexico,"600000 - 699999",0,14,0,2012-04-12
"Nederlandse Zuivel Organisatie",Netherlands,"600000 - 699999",0,1.5,0,2017-04-24
"Näkemisen ja silmäterveyden toimiala ry - Finnish Association of Vision and Eyecare",Finland,"600000 - 699999",0,2.75,0,2017-09-19
