"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"ΠΑΝΕΛΛΗΝΙΟ ΣΥΝΔΙΚΑΤΟ ΧΕΡΣΑΙΩΝ ΕΜΠΟΡΕΥΜΑΤΙΚΩΝ ΜΕΤΑΦΟΡΩΝ",Greece,"1500000 - 1750000",0,,0,2011-11-10
"European Federation of Food, Agriculture and Tourism Trade Unions",Belgium,"1250000 - 1500000",1,,28,2009-02-03
"International Trade Union Confederation",Belgium,"1250000 - 1500000",0,,3,2009-04-27
"European Trade Union Committee for Education",Belgium,"1000000 - 1250000",4,,13,2010-01-14
"Syndicat National de l'Industrie de la nutrition Animale",France,"1000000 - 1250000",0,,0,2011-01-31
"Bundesarbeitskammer Österreich",Austria,"300000 - 350000",0,,5,2009-06-26
"Confédération Française Démocratique du Travail",France,"250000 - 300000",0,,2,2014-07-18
"Fédération Nationale des Syndicats d'Exploitants Agricoles",France,"250000 - 300000",0,,16,2009-08-13
"Fédération des Entreprises de la Beauté",France,"250000 - 300000",0,,0,2011-12-21
"Deutscher Gewerkschaftsbund",Germany,286000,1,,30,2009-09-30
"Federazione Italiana Tabaccai",Italy,"200000 - 250000",2,,0,2012-04-18
"LO - The Swedish Trade Union Confederation",Sweden,"200000 - 250000",0,,1,2010-06-21
"Landsorganisasjonen i Norge",Belgium,"200000 - 250000",0,,0,2010-04-26
"Österreichischer Gewerkschaftsbund",Austria,"200000 - 250000",0,,12,2010-10-17
"industriAll European Trade Union",Belgium,239003,0,,54,2014-11-03
"dbb beamtenbund und tarifunion",Germany,200000,0,,0,2010-01-15
"Confédération Générale des Cadres CFE-CGC",France,"150000 - 200000",0,,1,2010-08-10
"Danish Teacher Trade Unions",Denmark,"150000 - 200000",3,,0,2011-09-01
"Irish Congress of Trade Unions",Ireland,"150000 - 200000",0,,0,2012-08-20
"Landsorganisationen i Danmark",Denmark,"150000 - 200000",1,,8,2010-08-27
BAT-kartellet,Denmark,150000,0,,0,2012-09-19
"Confédération Européenne de la Production de Maïs",France,"100000 - 150000",0,,4,2014-04-22
"Fédération Nationale des Activités de la Dépollution et de l'Environnement",France,"100000 - 150000",1,,1,2009-11-25
"The Central Organisation of Finnish Trade Unions SAK",Finland,"100000 - 150000",0,,7,2013-06-18
"Vereinte Dienstleistungsgewerkschaft",Germany,"100000 - 150000",1,,3,2012-09-04
"Association Générale des Producteurs de Blé et autres céréales",France,100000,2,,3,2008-12-12
"European Confederation of Independent Trade Unions",Belgium,100000,4,,13,2012-03-28
"Sveriges Akademikers Centralorganisation",Sweden,100000,0,,0,2012-09-18
"CNV Internationaal",Netherlands,"50000 - 100000",0,,0,2011-01-17
"COOP de France",France,"50000 - 100000",0,,3,2008-10-03
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"50000 - 100000",5,,196,2009-02-02
"FEDERATION FRANCAISE DES VINS D APERITIF",France,"50000 - 100000",0,,1,2012-05-11
Finansforbundet,Denmark,"50000 - 100000",1,,0,2012-09-24
"Fédération Internationale des Footballeurs Professionnelles Division Europe",Belgium,"50000 - 100000",1,,8,2013-11-29
"Industriegewerkschaft Metall",Germany,"50000 - 100000",2,,20,2014-03-13
"Irish Congress Trade Unions",Ireland,"50000 - 100000",0,,2,2014-07-02
"UNIÓN DE PEQUEÑOS AGRICULTORES",Belgium,90000,2,,2,2014-09-24
"""NURSING UP"" IL SINDACATO DEGLI INFERMIERI ITALIANI",Italy,"< 50,000",0,,0,2014-02-21
"ARFO ASSOCIAZIONE RETE FORMAZIONE",Italy,"< 50,000",0,,0,2013-01-27
"Aircraft Engineers International",Netherlands,"< 50,000",0,,0,2011-08-28
Akademikerne,Denmark,"< 50,000",0,,0,2014-10-14
"Akava ry",Finland,"< 50,000",0,,11,2012-09-26
"Ammattiliitto Pro ry",Finland,"< 50,000",0,,1,2014-12-02
"Association Européenne des Cadres de l'Assurance - AECA - European Federation of Executives and Managerial Staff of the Insurance Sector",France,"< 50,000",1,,0,2009-12-28
"Brussels Office of the Swedish Trade Unions",Belgium,"< 50,000",0,,8,2011-07-05
CEMF,France,"< 50,000",0,,0,2014-01-31
CINOV-IT,France,"< 50,000",0,,0,2011-03-16
"CONFAGRICOLTURA EMILIA-ROMAGNA",Italy,"< 50,000",0,,3,2010-04-08
"CONFEDERACIÓN SINDICAL DE CCOO",Spain,"< 50,000",0,,0,2012-02-03
"Cabin Union Denmark",Denmark,"< 50,000",0,,0,2011-07-15
"Centrale Générale des Syndicats Libéraux de Belgique",Belgium,"< 50,000",0,,3,2012-02-14
"Centrale nationale des employés",Belgium,"< 50,000",0,,0,2014-10-21
"Chambre Nationale Syndicale des Intermédiaires et Mandataites - Agents Commerciaux de l'Immobilier",France,"< 50,000",0,,0,2014-10-31
"Confédération Européenne des Cadres",Belgium,"< 50,000",1,,3,2010-01-07
"Confédération Française de l'Encadrement- Confédération Générale des Cadres des Industries Electriques et Gazières",France,"< 50,000",0,,0,2011-03-08
"Confédération des Syndicats Chrétiens",Belgium,"< 50,000",0,,11,2010-01-12
"Conseil National des Professions de l'Automobile",France,"< 50,000",0,,0,2009-08-03
"Coordination Rurale Union Nationale",France,"< 50,000",0,,1,2013-10-22
"Deutscher BundeswehrVerband e.V.",Germany,"< 50,000",0,,0,2014-12-10
"EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF",Belgium,"< 50,000",2,,8,2014-02-10
"EUROPEAN FEDERATION OF BUILDING AND WOODWORKERS",Belgium,"< 50,000",0,,16,2012-03-16
"EUROPEAN TRANSPORT WORKERS' FEDERATION",Belgium,"< 50,000",9,,50,2009-02-12
"Eesti Kõrgkoolide, Teadus- ja Arendusasutuste Ametiliitude Ühendus UNIVERSITAS",Estonia,"< 50,000",0,,0,2014-04-14
"Entreprises du Traiteur Frais",France,"< 50,000",0,,0,2009-09-28
"European Commercial Managers Federation",France,"< 50,000",0,,0,2013-09-22
"European Federation of Employees in Public Services",Belgium,"< 50,000",1,,1,2013-01-21
"European Federation of Journalists",Belgium,"< 50,000",2,,20,2011-09-06
"European Federation of Public Service Unions",Belgium,"< 50,000",1,,43,2009-04-16
"F.E.C.C.I.A. Fédération Européenne des Cadres de la Chimie et des Industries Annexes - European Federation of Managerial Staff in the Chemical and Allied Industries",France,"< 50,000",0,,0,2008-08-25
"FEDEREC - Federation des Entreprises du Recyclage",France,"< 50,000",0,,1,2008-12-24
"Flyvebranchens Personale Union",Denmark,"< 50,000",0,,0,2014-09-01
"Fédération CFDT Banques et Assurances",France,"< 50,000",0,,0,2014-07-31
"Fédération Européenne des Cadres de l'Energie et de la Recherche - European Federation of managers and executives in the Energy sector",France,"< 50,000",0,,0,2012-03-21
"Fédération Nationale des Agents Commerciaux",France,"< 50,000",0,,0,2014-10-16
"Fédération Nationale des Producteurs de Fruits",France,"< 50,000",0,,0,2012-09-07
"Fédération Nationale des Producteurs de l'Horticulture et des Pépinières",France,"< 50,000",0,,0,2012-04-10
"Fédération des Entreprises du Commerce et de la Distribution",France,"< 50,000",1,,5,2014-08-18
"GMB trade union","United Kingdom","< 50,000",0,,2,2010-08-03
"Gewerkschaft Nahrung Genuss Gassstätten",Germany,"< 50,000",0,,2,2010-12-13
"Gewerkschaft Technik und Naturwissenschaft",Germany,"< 50,000",0,,0,2014-05-27
Gimélec,France,"< 50,000",0,,0,2011-05-11
"Herecká obec Slovenska",Slovakia,"< 50,000",0,,0,2014-02-28
"Industriegewerkschaft Bauen-Agrar-Umwelt",Germany,"< 50,000",1,,1,2008-10-23
"Jeunes Agriculteurs Outre Mer",France,"< 50,000",0,,1,2013-10-18
"Les Producteurs de Légumes de France",France,"< 50,000",0,,0,2014-09-03
"Magánbiztonsági Dolgozók Demokratikus Szakszervezete",Hungary,"< 50,000",0,,0,2010-03-18
"National Writers Union","United States","< 50,000",0,,0,2014-02-27
"Nederlandse Toonkunstenaarsbond",Netherlands,"< 50,000",0,,0,2014-03-03
"Nordic Financial Unions",Sweden,"< 50,000",0,,2,2008-09-04
"Organisation des Transporteurs Routiers Européens",France,"< 50,000",0,,0,2011-10-06
"SEAFARERS' UNION OF CROATIA/ SINDIKAT POMORACA HRVATSKE",Croatia,"< 50,000",0,,0,2014-02-21
"SYNDICAT DES DISTRIBUTEURS INDEPENDANTS",France,"< 50,000",0,,0,2009-11-07
"SYNDICAT NATIONAL DES SCENES PUBLIQUES",France,"< 50,000",0,,0,2013-12-09
"SYNTEC NUMERIQUE",France,"< 50,000",0,,0,2014-01-31
"Sindacato Sociale e Lavoro Insieme - SLI",Italy,"< 50,000",1,,0,2014-03-24
"Sindicato dos Controladores de Tráfego Aéreo",Portugal,"< 50,000",0,,0,2012-12-04
"Sos Musicisti",Lithuania,"< 50,000",0,,0,2014-02-25
"Suomen Muusikkojen Liitto ry",Finland,"< 50,000",0,,0,2014-01-27
"Suomen Näyttelijäliitto - Finlands Skådespelarförbund ry",Finland,"< 50,000",0,,0,2014-02-24
"Syndicat Formation et Développement CFE-CGC",France,"< 50,000",0,,0,2014-05-03
"Syndicat National de Intermédiaires et Cabinets d'Affaires",France,"< 50,000",0,,0,2009-07-13
"Syndicat National de l'Edition Phonographique",France,"< 50,000",2,,0,2013-02-21
"Syndicat National des Transformateurs et Distributeurs de Produits Naturels et de Culture Biologique",France,"< 50,000",0,,0,2013-04-08
"Syndicat de la presse indépendante d'information en ligne",France,"< 50,000",0,,0,2011-05-31
"Syndicat national des Compléments Alimentaires",France,"< 50,000",0,,0,2011-11-14
"Syndicat national des auteurs et des compositeurs",France,"< 50,000",0,,0,2014-01-23
"Syndicat national des entreprises artistiques et culturelles",France,"< 50,000",0,,0,2010-07-29
"Teatteri- ja mediatyöntekijöiden liitto ry",Finland,"< 50,000",0,,0,2014-02-07
"Tehy ry",Finland,"< 50,000",0,,0,2014-05-20
"Teollisuuden palkansaajat TP ry",Finland,"< 50,000",0,,0,2013-09-18
"Trades Union Congress (UK)","United Kingdom","< 50,000",0,,10,2009-02-10
"UNI Europa",Belgium,"< 50,000",4,,18,2012-02-06
"Uiltrasporti Trenord ro exLeNord",Italy,"< 50,000",0,,0,2013-05-10
"Union Nationale de l'Initiative Syndicale Libre",France,"< 50,000",0,,0,2011-09-23
"Unite the Union (Republic of Ireland)",Ireland,"< 50,000",0,,0,2014-10-17
"Unión Sindical de Controladores Aéreos",Spain,"< 50,000",0,,0,2013-07-02
"Writers' Guild of Great Britain","United Kingdom","< 50,000",0,,0,2011-12-07
"syndicat de l'industrie du médicament et réactif vétérinaires",France,"< 50,000",0,,0,2009-02-19
"Lithuanian Trade Union of Health Care Employees",Lithuania,35000,0,,0,2014-05-30
"European Confederation of Police",Luxembourg,30000,0,,8,2014-05-07
"ASSOCIAZIONE NAZIONALE LIBERI PROFESSIONISTI",Italy,15971,0,,0,2014-05-30
"SINDICATO DE ENFERMERIA SATSE",Spain,15287,0,,0,2011-01-14
"Deutscher Journalisten-Verband e.V. -Gewerkschaft der Journalistinnen und Journalisten",Germany,15000,0,,0,2014-01-31
"Nautilus International","United Kingdom",12000,0,,0,2012-04-11
"SYNDICAT NATIONAL DU CONTROLE TECHNIQUE AUTOMOBILE",France,12000,0,,0,2010-09-05
"European Cabin Crew Association",Belgium,10000,0,,1,2014-11-20
"FEDERSECURITY CONFAEL SICUREZZA",Italy,10000,0,,0,2014-01-19
"UNI MEI Global Union",Belgium,10000,2,,5,2011-09-22
"Samostalni sindikat visokog obrazovanja i znanosti BiH",Bosnia-Herzegovina,5000,0,,0,2014-04-15
"Swedish Electricians Union",Sweden,5000,0,,0,2013-08-23
"Syndicat national du personnel navigant de l'aéronautique civil",France,5000,0,,0,2014-02-05
"Union des Finanzpersonals in Europa",Germany,5000,0,,1,2013-09-18
"Federacion Española de Licencias Operacion Centrales Nucleares",Spain,3000,0,,0,2012-10-11
"British Airline Pilots' Association","United Kingdom",2500,3,,0,2014-07-07
"Sindicato dos Técnicos de Informação e Comunicações Aeronáuticas",Portugal,2000,0,,0,2012-12-03
"Syndicat national des activités liées aux animaux domestiques et non domestiques, aux végétaux d'ornement, à l'environnement et au cadre de vie",France,2000,0,,0,2011-07-07
"Verband deutscher Schriftsteller in ver.di",Germany,2000,0,,0,2014-02-01
"Associação Sindical Autónoma de Polícia -asapol",Portugal,1500,0,,0,2014-11-22
