"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
Fleishman-Hillard,Belgium,11932433,49,,29,2009-03-17
"CDC Climat",France,"> 10,000,000",0,,0,2012-10-16
"IRCI SpA",Italy,"> 10,000,000",0,,0,2013-04-04
Taxand,Luxembourg,"> 10,000,000",0,,0,2010-10-29
Burson-Marsteller,Belgium,8965000,40,,6,2008-10-31
"Hill & Knowlton International Belgium",Belgium,8433819,8,,7,2008-12-22
"Med Ingegneria s.r.l.",Italy,"5750000 - 6000000",0,,0,2011-03-31
"Social Finance Ltd","United Kingdom","5000000 - 5250000",0,,0,2011-09-05
"SOCIETE GENERALE FINANCIERE (SGF) EUROPEENNE",Belgium,"4750000 - 5000000",0,,0,2013-06-27
"G Plus Ltd","United Kingdom","4000000 - 4250000",20,,44,2008-12-15
"APCO Worldwide","United States","3750000 - 4000000",29,,15,2009-02-06
"Kreab Gavin Anderson",Belgium,3906611,24,,65,2008-10-15
"EPEA Internationale Umweltforschung GmbH",Germany,"3500000 - 3750000",0,,0,2013-06-03
"FTI Consulting Belgium",Belgium,"3500000 - 3750000",20,,54,2010-04-01
"FIPRA International Limited","United Kingdom","3250000 - 3500000",16,,45,2010-10-06
"cabinet DN consulting sprl",Belgium,"2750000 - 3000000",14,,23,2010-06-02
"Brunswick Group LLP","United Kingdom","2500000 - 2750000",15,,17,2010-11-02
"Weber Shandwick",Belgium,"2500000 - 2750000",10,,22,2009-05-29
"Hume Brophy",Ireland,"2250000 - 2500000",16,,28,2009-01-07
"Afore Consulting",Belgium,"2000000 - 2250000",9,,15,2011-01-04
"EURONET Consulting EEIG",Belgium,2000000,0,,0,2011-10-07
"Ethos Advisors",Germany,"1750000 - 2000000",0,,0,2009-12-30
Grayling,Belgium,"1750000 - 2000000",9,,6,2010-04-27
"ESL & NETWORK EUROPEAN AFFAIRS SA",Belgium,1800000,3,,2,2010-06-09
"ARCTURUS GROUP",Belgium,"1500000 - 1750000",10,,14,2011-09-16
"EPPA SA",Belgium,"1500000 - 1750000",6,,15,2009-02-26
"Edelman Public Relations Worldwide",Belgium,"1500000 - 1750000",10,,20,2012-01-23
"Rohde Public Policy",Belgium,"1500000 - 1750000",8,,5,2010-10-01
"communication & institutions",France,"1500000 - 1750000",0,,0,2012-04-02
"European Financial Consulting",Latvia,"1250000 - 1500000",0,,0,2013-07-10
"Interel European Affairs",Belgium,"1250000 - 1500000",12,,11,2008-12-11
"K.B. recycling industries Ltd.",Israel,"1250000 - 1500000",0,,0,2013-04-02
WELCOMEUROPE,France,"1250000 - 1500000",0,,0,2013-11-04
"Corporacion Maritima  / Maritime Corporation",Spain,1277704,0,,0,2013-09-15
"ADS Insight",Belgium,"1000000 - 1250000",11,,4,2010-10-08
"CE CONSULTANT",France,"1000000 - 1250000",0,,0,2011-11-03
EURALIA,Belgium,"1000000 - 1250000",7,,1,2009-12-31
"LOGOS Public Affairs",Belgium,"1000000 - 1250000",4,,3,2008-12-16
"Landmark Public Policy Advisers Europe Ltd","United Kingdom","1000000 - 1250000",4,,1,2011-10-27
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,"1000000 - 1250000",0,,0,2011-05-06
"EUROTARGET, s.r.o",Slovakia,"900000 - 1000000",0,,0,2013-10-18
"ExperConsult Wirtschaftsförderung & Investitionen",Germany,"900000 - 1000000",0,,0,2010-05-02
"PA Europe",Belgium,"900000 - 1000000",1,,9,2009-11-23
"Bernardini,Postacchini & Associat",Italy,"800000 - 900000",0,,0,2011-05-06
CONUSBAT,Germany,"800000 - 900000",0,,0,2013-11-20
"Lear, laboratorio di economia, antitrust e regolamentazione",Italy,"800000 - 900000",0,,2,2010-02-17
"Policy Action Ltd","United Kingdom","800000 - 900000",6,,0,2011-01-06
"Strategis Communications sprl",Belgium,"800000 - 900000",6,,0,2009-01-18
"Corporate & Public Strategy Advisory Group",Belgium,"700000 - 800000",2,,0,2011-10-12
"Forum Public Affairs",Belgium,"700000 - 800000",0,,0,2013-12-30
"The Brussels Office s.a. / Brusselkontoret AS",Belgium,"700000 - 800000",6,,0,2010-05-18
"EEVS Insight Ltd","United Kingdom",750000,0,,0,2012-05-18
MSLGROUP,Belgium,700000,6,,1,2011-05-12
"Europtimum Conseil",France,"600000 - 700000",5,,3,2011-06-08
"Global Image",Belgium,"600000 - 700000",0,,0,2012-07-05
"MHP Communications","United Kingdom",600000,4,,0,2011-03-28
"APC ADVANCED PLANNING-CONSULTING ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ Α.Ε.",Greece,"500000 - 600000",0,,0,2009-12-30
"Athenora Consulting",Belgium,"500000 - 600000",3,,8,2008-06-23
"Aula Europe",Belgium,"500000 - 600000",5,,38,2012-02-16
"Business Bridge Europe",Belgium,"500000 - 600000",4,,42,2011-05-16
"EUPPORTUNITY (QB, Lda.)",Portugal,"500000 - 600000",4,,10,2011-09-01
LOBBSONN,France,"500000 - 600000",0,,0,2012-03-07
"Political Intelligence",Belgium,"500000 - 600000",7,,8,2011-11-29
"Russchen Consultants",Belgium,"500000 - 600000",0,,2,2011-04-26
"Studio Savorana & Partners - Dottori Commercialisti Associati",Italy,"500000 - 600000",0,,0,2010-05-20
"Euro Keys",Belgium,557000,0,,0,2011-02-07
"TSAMOTA Ltd","United Kingdom",500359,0,,0,2013-12-02
"DIERREPI CONSULTING di Dom Rosario Poidimani",Italy,500000,0,,0,2012-02-28
"Sisifo italia srl",Italy,500000,0,,0,2013-06-06
ACIEL,France,"450000 - 500000",0,,0,2012-02-28
"AD Carbon Positive Services",Cyprus,"450000 - 500000",0,,0,2012-04-11
"BIONTINO EUROPE",Belgium,"450000 - 500000",3,,5,2011-11-23
"EUK Consulting",Belgium,"450000 - 500000",7,,7,2009-03-09
"Havas Public Affairs Brussels",France,"450000 - 500000",5,,1,2012-06-11
"Luther Pendragon Brussels",Belgium,"450000 - 500000",5,,1,2011-08-31
