"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"GEORGIOS STILIANOU",Cyprus,100000000,0,,0,2011-12-07
"Ayudantía GIP S Coop",Spain,18000000,0,,0,2012-01-03
"CEMAFROID SNC",France,"4000000 - 4250000",0,,0,2011-12-14
"Afore Consulting",Belgium,"300000 - 350000",0,,15,2011-01-04
"Studio Dott. Stefano Santarelli",Italy,"250000 - 300000",0,,0,2012-02-13
"Schellter Strategy Consulting bvba",Belgium,"200000 - 250000",0,,0,2011-07-22
"Vlassembrouck Consult",Belgium,"200000 - 250000",0,,0,2012-01-10
"PHC Consulting",France,"150000 - 200000",0,,0,2012-02-09
"de Franssu/ INCIPIT",Belgium,"150000 - 200000",0,,0,2012-01-06
"Elizabeth Drury","United Kingdom","100000 - 150000",0,,0,2011-08-18
"Evelyne PIERRON Consultants",France,"100000 - 150000",0,,0,2011-11-04
"HI&PP Consult BVBA",Belgium,"100000 - 150000",0,,0,2011-10-13
"PT-Management Consultants",Belgium,"100000 - 150000",0,,0,2011-09-08
"SIE SAS",France,"100000 - 150000",0,,0,2011-02-24
"Smart Business Diplomacy",Belgium,"100000 - 150000",0,,0,2011-05-07
"Wayne Bacon",France,"100000 - 150000",0,,0,2011-08-09
"Travieso, Sl",Spain,100000,0,,0,2011-07-14
"Ex Ante - European Legal Affairs & Government Relations",Belgium,"50000 - 100000",0,,0,2011-09-23
"F.I.T. Consulting",Belgium,"50000 - 100000",0,,0,2011-10-24
"Gibbels Public Affairs",Belgium,"50000 - 100000",0,,0,2011-07-12
"Hellenic Culture Centre",Greece,"50000 - 100000",0,,0,2010-10-15
"JACQUES ANTCHOUEY",Senegal,"50000 - 100000",0,,0,2010-08-23
"JKO Consulting",Belgium,"50000 - 100000",0,,0,2011-12-19
Jen,Belgium,"50000 - 100000",0,,0,2011-11-09
"Lobbying and Networking enterprise",France,"50000 - 100000",0,,0,2011-02-01
"Sustainable Energy and Climate Policy",Germany,"50000 - 100000",0,,0,2011-09-07
"Tony Tweedale/Rebutting Industry Science with Knowledge Consultancy",Belgium,"50000 - 100000",0,,0,2010-07-23
"2 m communication",Belgium,"< 50,000",0,,0,2009-04-21
"2ks Associates","United Kingdom","< 50,000",0,,0,2011-10-11
A.R.S-CONSULTING,Belgium,"< 50,000",0,,0,2011-09-11
"Adrien and Associates",Belgium,"< 50,000",0,,0,2011-10-26
"Aidan Stradling Consultancy - North East England","United Kingdom","< 50,000",0,,0,2009-04-20
"Anne Johannes (Jeroen) van Dijken",Netherlands,"< 50,000",0,,0,2011-07-14
"Antonio Luigi Del Sole",Italy,"< 50,000",0,,0,2011-10-04
"CABINET D'EXPERTISE CAZEAU RONALD",France,50000,0,,0,2012-02-10
"CAMBAZARD Pierre",France,"< 50,000",0,,0,2011-09-02
"CORPORATE CONTEXT","United Kingdom","< 50,000",0,,0,2011-01-28
"Caccamisi Dario",Italy,"< 50,000",0,,0,2008-12-03
"Cambareri Giovanni",Italy,"< 50,000",0,,0,2009-11-11
"Christian Wenning",Germany,"< 50,000",0,,1,2012-01-10
"Cécile Andrade",France,"< 50,000",0,,0,2011-10-19
ECONT-Institut,Germany,"< 50,000",0,,0,2011-02-07
EuroGSConsulting,Italy,"< 50,000",0,,0,2011-10-06
Europacte,France,"< 50,000",0,,0,2012-01-04
"Fabel Kommunikation AB",Sweden,"< 50,000",0,,0,2009-12-17
"Francisca Martinez",Belgium,"< 50,000",0,,0,2011-09-12
"GIGLIO & Partners",Italy,"< 50,000",0,,0,2010-01-06
"Grant Public Affairs Europe",Ireland,"< 50,000",0,,0,2011-09-29
"Guggino Stéphane",France,"< 50,000",0,,0,2011-11-26
"Innocenzo Genna",Belgium,"< 50,000",0,,0,2011-12-14
"Ioannis Pelekanakis",Greece,"< 50,000",0,,0,2012-02-10
"JOINT STOCK COMPANY ANUVA",Lithuania,"< 50,000",0,,0,2010-09-01
"Jim Murray",Belgium,"< 50,000",0,,1,2009-03-30
"Joan Parera",Spain,"< 50,000",0,,0,2011-07-26
"Johann Friedmann",Belgium,"< 50,000",0,,0,2011-08-13
"John Conmy",Belgium,"< 50,000",0,,0,2008-12-16
"José Luis Baró Fuentes",Belgium,"< 50,000",0,,0,2011-08-17
"Juan Delgado",Spain,"< 50,000",0,,0,2011-09-30
"Kancelaria Doradcza SOLSKI i Partnerzy sp. z o.o.",Poland,"< 50,000",0,,0,2012-01-04
"Lucian Buzea",Romania,"< 50,000",0,,0,2011-07-12
Lumina,Belgium,"< 50,000",0,,0,2011-05-23
"Marcus Guardian",Belgium,"< 50,000",0,,0,2012-01-29
"Marina Tamagnini",Belgium,"< 50,000",0,,0,2012-01-16
"Mario Andrea Valori",Italy,"< 50,000",0,,0,2012-01-22
"Maryke Hanneman",Belgium,"< 50,000",0,,0,2011-10-26
"Matthew A. Kopetski, Esq.",Belgium,"< 50,000",0,,0,2012-02-09
"NETWORKING The Matching Game",Belgium,"< 50,000",0,,0,2011-06-23
"Philippe Putman BVBA",Belgium,"< 50,000",0,,0,2011-10-19
"Pollet Environmental Consulting",Belgium,"< 50,000",0,,0,2009-02-20
"Rayz Consulting",Uganda,"< 50,000",0,,0,2010-11-02
"S.N.G. SPRL",Belgium,"< 50,000",0,,0,2011-09-02
"SANDRIN Patrick",France,"< 50,000",0,,0,2012-02-06
"SYLVAIN DE WEERDT",Belgium,"< 50,000",0,,0,2010-09-23
"Sean O'Neill",Luxembourg,"< 50,000",0,,0,2012-02-08
"Sinziana Radu Gille",Belgium,"< 50,000",0,,0,2012-02-08
"Solutions in PR e.U.",Austria,"< 50,000",0,,0,2010-07-30
"The Fullilove Consulting Group",Belgium,"< 50,000",0,,0,2009-02-10
"Thomas Dillon","United Kingdom","< 50,000",0,,0,2011-08-02
"Tony Bass",Netherlands,"< 50,000",0,,0,2011-06-25
"Walter Brinkmasnn European Affairs Consultant",Germany,"< 50,000",0,,0,2012-01-16
"YM CONSEIL",France,"< 50,000",0,,0,2010-10-13
"b-onu consulting",France,"< 50,000",0,,0,2011-01-05
"dott. Carlo Paolicelli",Poland,50000,0,,0,2011-08-16
eurolobby,Germany,"< 50,000",0,,0,2010-07-22
"Γραφείο Ορκωτού Ελεγκτή Λογιστή Ντάβου Παναγιώτη",Greece,"< 50,000",0,,0,2010-12-07
"Les Dossiers Européens",Belgium,45000,0,,0,2012-02-03
"Euro Freelancers",Belgium,42000,0,,0,2012-02-09
Belen,Spain,34455,0,,0,2012-01-09
"TH Affaires Publiques",France,32600,0,,0,2011-11-24
POLIWA,France,30000,0,,0,2011-09-29
"Inteligentno savjetovanje d.o.o.",Croatia,16343,0,,0,2011-08-29
"FJMG Consultancy",Belgium,16000,0,,0,2011-09-22
"NIJAZ DELEUT",Croatia,12000,0,,0,2011-07-25
"Bernardi Eugenio",Italy,10000,0,,0,2008-06-26
"A.C.E. Consulting",Canada,"< 9,999",0,,0,2010-10-02
"BROMOTION Consultancy",Belgium,"< 9,999",0,,0,2008-07-11
"Kevin Leydon and Associates",Belgium,9000,0,,0,2008-09-23
"Vincent Tilman",Belgium,2000,0,,0,2011-08-02
"Health care strategies",Belgium,1375,0,,0,2009-07-22
"Paul Twyman","United Kingdom",1000,0,,0,2012-01-05
"H R H LORD SIR RAJASETHURAMAVARMA   GROUPS",India,500,0,,0,2011-09-03
"Ottmar Berbalk",Germany,500,0,,0,2011-12-06
"Association Européene des Jeunes Entrepreneurs",France,100,0,,0,2011-11-30
"slowly expanding life philosophy and h2",Germany,1,0,,0,2012-01-13
"Albiez Jean Claude",France,0,0,,0,2011-08-13
"Andrew Rose 'trading as Llanbury Consulting'","United Kingdom",0,0,,0,2011-09-08
"Antonio Iovine",Italy,0,0,,0,2011-09-24
"Cabinet Tauthui & Associés",France,0,0,,0,2010-11-09
"Common Rights",France,0,0,,0,2011-11-04
"High Brace Ltd",Finland,0,0,,0,2012-01-16
"Ilir Qorri",Albania,0,0,,0,2012-01-03
"L'Europe à la Une",France,0,0,,0,2008-07-02
"MASS-H Communication",Belgium,0,0,,0,2011-09-16
"Mendez Law Offices","United States",0,0,,0,2012-01-20
PLANCHE,France,0,0,,0,2012-01-06
Panacho,Netherlands,0,0,,0,2012-01-11
"Przemysław Chudy",Poland,0,0,,0,2011-10-21
"RESULTS bvba",Belgium,0,0,,0,2011-10-19
"Stefano Pierantozzi",Luxembourg,0,0,,0,2011-11-14
"Zero-e b.v.",Netherlands,0,0,,0,2010-08-17
