"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Status; International Arbitrators",Norway,"> 10,000,000",0,,0,2013-03-26
"Stichting Dienst Landbouwkundig Onderzoek",Netherlands,"> 10,000,000",0,,1,2012-10-05
"Academy of European Law",Germany,"7000000 - 7250000",2,,6,2012-03-06
"edX Inc.","United States","3750000 - 4000000",0,,1,2014-12-16
"Economic and Social Research Council","United Kingdom","2500000 - 2750000",0,,0,2014-10-10
"IE Business School and IE University.",Spain,"900000 - 1000000",0,,3,2014-02-28
"ALDERSGATE COLLEGE/UNIVERSIDAD ALDERSGATE",Philippines,"800000 - 900000",0,,0,2013-04-13
"Libera Facoltà di Scienze Sociale e del Turismo",Italy,"800000 - 900000",0,,0,2014-12-18
"Conférence des Présidents d'Université",France,"200000 - 250000",3,,1,2011-09-12
"TU Delft",Netherlands,"150000 - 200000",0,,1,2014-03-05
"Welsh Higher Education Brussels",Belgium,"150000 - 200000",0,,2,2013-09-10
"Deutscher Akademischer Austauschdienst",Germany,"100000 - 150000",1,,1,2012-02-01
EDU,Belgium,"100000 - 150000",1,,0,2011-08-07
"Instituto de Psicologia Cognitiva, Desenvolvimento Vocacional e Social da Universidade de Coimbra",Portugal,"100000 - 150000",0,,0,2014-09-02
"UNIVERSITE LIBRE INTERNATIONALE DE BELGIQUE",Belgium,"100000 - 150000",0,,0,2013-04-17
"Academia Brasileira de Medalhística Militar",Brazil,"50000 - 100000",0,,0,2012-11-20
"Ecole Polytechnique Fédérale de Lausanne",Switzerland,"50000 - 100000",0,,6,2014-12-17
"Fondation de l'Ecole Polytechnique",France,"50000 - 100000",0,,0,2009-05-14
"GAFM Global Academy of Finance and Management Exam Center",Italy,"50000 - 100000",0,,0,2014-08-05
"INSTITUTO LOGOS",Brazil,"50000 - 100000",0,,0,2014-10-05
"International Chair on Cardiometabolic Risks",Canada,"50000 - 100000",0,,0,2013-09-09
"International Culture University",Bangladesh,"50000 - 100000",0,,0,2012-07-08
"MTT Agrifood Research Finland, Biotechnology and Food Research",Finland,"50000 - 100000",0,,0,2013-07-12
"Sinop University Fisheries Faculty",Turkey,"50000 - 100000",0,,0,2009-05-21
"The Canadian Health Sciences Institute",Canada,"50000 - 100000",0,,0,2012-07-21
Wetsus,Netherlands,"50000 - 100000",0,,0,2012-05-15
