"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Town planning and development agency of Saint-Omer region",France,"2750000 - 3000000",0,,0,2014-09-09
"Consiglio Nazionale Architetti, Pianificatori, Paesaggisti e Conservatori",Italy,"1750000 - 2000000",0,,0,2012-05-30
"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Spain,"1000000 - 1250000",1,,5,2013-12-18
"Kendal Mountain Search & Rescue Team Ltd","United Kingdom","1000000 - 1250000",0,,0,2014-04-22
"UK Research Office",Belgium,"1000000 - 1250000",11,,3,2013-04-03
Bpifrance,France,"800000 - 900000",0,,14,2013-10-23
"INTERACT Point Vienna",Austria,"800000 - 900000",0,,0,2013-05-06
"Unioncamere Lombardia",Italy,"600000 - 700000",2,,1,2013-05-21
"DFS Deutsche Flugsicherung GmbH",Germany,"500000 - 600000",3,,10,2009-05-18
"FUNDACIÓN COMUNIDAD VALENCIANA-REGIÓN EUROPEA",Belgium,"500000 - 600000",0,,1,2010-12-15
"FUNDECYT - PARQUE CIENTIFICO Y TECNOLOGICO DE EXTREMADURA",Spain,"500000 - 600000",0,,0,2014-08-04
"Handwerkskammer Dresden",Germany,"500000 - 600000",0,,3,2012-09-26
"KS Enterprises",Norway,"500000 - 600000",0,,0,2012-09-03
"International Federation of Red Cross and Red Crescent Societies",Switzerland,"450000 - 500000",0,,19,2014-12-01
"ASSEMBLEE DES CHAMBRES FRANCAISES DE COMMERCE ET D'INDUSTRIE",France,"300000 - 350000",2,,0,2009-02-27
"ISTITUZIONE FEDERALE - UNITED INTERNATIONAL CORPORATION & HUMAN RIGHTS",Italy,"300000 - 350000",0,,0,2010-10-31
"North Western Waters Advisory Council",Ireland,"300000 - 350000",0,,3,2008-08-28
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"300000 - 350000",0,,1,2010-04-15
"Zweites Deutsches Fernsehen",Germany,"300000 - 350000",3,,28,2009-01-15
"Protection sociale française",France,"250000 - 300000",3,,1,2011-08-03
"Valstybės įmonė Registrų centras / State Enterprise Centre of Registers",Lithuania,"250000 - 300000",0,,0,2014-12-22
"World Nature Organization / Organisation Mondiale de la Nature",Switzerland,"250000 - 300000",0,,0,2013-02-24
"Activil Ltd",Russia,"200000 - 250000",0,,0,2013-11-11
GKV-Spitzenverband,Germany,"200000 - 250000",0,,0,2014-01-16
"Local Urban Development European Network",Belgium,"200000 - 250000",2,,0,2014-11-21
"Bundesarchitektenkammer e.V.",Germany,"150000 - 200000",2,,0,2012-03-21
