"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Church Council, Evangelical -Lutheran Church of Finland",Finland,"1000000 - 1250000",0,,0,2012-02-16
"European Evangelical Alliance",Netherlands,"250000 - 300000",0,,0,2012-05-14
"Church and Society Commission of CEC",Belgium,"100000 - 150000",4,,2,2012-06-08
"Churches´Commission for Migrants in Europe",Belgium,"100000 - 150000",2,,2,2011-01-14
"SACRO SOVRANO MILITARE ORDINE MONASTICO DINASTICO TEMPLARE MATER NAZARENA PIETA' DEL PELLICANO",Italy,"100000 - 150000",0,,0,2010-07-20
"Chiesa Ortodossa Montenegrina - Eparchia per l'Italia",Italy,"50000 - 100000",0,,0,2011-03-31
"Ordo Militiae Templi",Spain,"50000 - 100000",0,,0,2012-04-25
"Representation of the Church of Cyprus to the European Institutions",Belgium,"50000 - 100000",0,,0,2010-07-13
"ASOCIACION DE ABOGADOS CRISTIANOS",Spain,"< 50,000",0,,0,2011-05-19
"Association of Catholic Families ""Vladimir Ghika""",Romania,"< 50,000",0,,0,2009-12-07
"Brahma Kumaris World Spiritual University UK","United Kingdom","< 50,000",1,,0,2012-07-06
"Büro Brüssel des Generalsekretariats der Österreichischen Bischofskonferenz",Belgium,"< 50,000",1,,0,2012-01-09
"Churches' Legislation Advisory Service","United Kingdom","< 50,000",0,,0,2011-11-23
"Církev husitská","Czech Republic","< 50,000",0,,0,2012-11-16
"EKD-Büro Brüssel / EKD-Office Brussels",Belgium,"< 50,000",3,,14,2011-10-12
"International Federative Alliance Ordo Militiae Christi Templi Hiersolymitani","United Kingdom","< 50,000",0,,0,2011-05-10
"Jesuit European Social Centre",Belgium,"< 50,000",1,,2,2011-07-26
"Keresztényekért Alapítvány /Foundation for Christianity",Hungary,"< 50,000",1,,0,2012-02-07
"Kirchlicher Dienst in der Arbeitswelt der Evangelischen Kirche in Deutschland",Germany,"< 50,000",0,,0,2011-04-18
"OSMTH - Souveräne Templer-Komturei in Mönchengladbach c/o Dr.Leo Fiethen",Germany,"< 50,000",0,,0,2011-07-31
"Orden Católica Española Templaria",Spain,"< 50,000",0,,0,2011-11-03
"Ordine di San Michele Organismo Internazionale",Italy,"< 50,000",0,,0,2012-05-17
"Representation of the Church of Greece to the European Union",Belgium,"< 50,000",0,,0,2009-11-13
"Rytířský řád sv. Konstantina a Heleny","Czech Republic","< 50,000",0,,0,2010-09-16
"SCOTTISH KNIGHT TEMPLARS SOVEREIGN MILITARY ORDER TEMPLE JERUSALEM(R)","United Kingdom","< 50,000",0,,0,2011-05-10
"Supremus Ordo Milicie Templi",Venezuela,"< 50,000",0,,0,2012-06-05
"The Ecumenical Office for EU Relations",Sweden,"< 50,000",0,,0,2010-12-06
"ABRAONG ONG AFRO BRASILEIRA",Brazil,"no figure available",0,,0,2012-08-03
"EUROPEAN MUSLIMS LEAGUE",Italy,"no figure available",0,,0,2012-01-04
"European Jewish Congress European Office",Belgium,"no figure available",2,,4,2011-08-18
"FORUMBrussels International",Germany,"no figure available",1,,0,2011-08-02
"GRAN PRIORATO ESPAÑOL DE SANTA MARIA",Spain,"no figure available",0,,0,2012-12-13
"Pan European Pakistani Christian Alliance",Norway,"no figure available",0,,0,2011-05-28
"Représentation de l'Eglise Orthodoxe Roumaine auprès des Institutions européennes",Belgium,"no figure available",2,,0,2011-10-06
"Secretariat of COMECE (Commission of the Episcopates of the European Community)",Belgium,"no figure available",6,,10,2011-10-07
"les Comptoirs Halal",France,"no figure available",0,,0,2012-08-27
"sovereign hindu vaisnava mandir",Italy,"no figure available",0,,0,2010-06-17
