"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Committee - Europe Africa Support Envoy",Germany,"> 10,000,000",0,,0,2013-03-23
"European Association of Service Providers for Persons with Disabilities",Belgium,"4250000 - 4500000",0,,16,2013-03-12
EUROCITIES,Belgium,"2750000 - 3000000",13,,51,2009-12-18
"Region of Istria",Croatia,"1000000 - 1250000",0,,0,2011-12-13
"Eindhoven-Brainport EU Office",Belgium,"900000 - 1000000",0,,2,2013-04-19
"European Straits Initiative",France,"700000 - 800000",0,,0,2013-12-10
"House of the Dutch Provinces",Belgium,"700000 - 800000",0,,3,2010-11-05
"North Norway European Office",Norway,"600000 - 700000",0,,0,2011-09-06
"Regio Randstad",Netherlands,"600000 - 700000",0,,0,2011-11-18
"Skane European Office",Belgium,"500000 - 600000",1,,4,2013-03-05
"Vereniging van Nederlandse Gemeenten",Netherlands,"500000 - 600000",0,,3,2010-09-01
"Central Denmark EU Office",Belgium,"450000 - 500000",0,,3,2011-12-15
"ADCOR CORPORATION","United Kingdom","350000 - 400000",0,,0,2013-10-06
"Helsinki EU Office",Belgium,"350000 - 400000",0,,15,2013-07-25
"Syndicat Mixte des Transports en Commun de l'agglomération toulousaine",France,"350000 - 400000",0,,0,2012-12-03
"REGIONE EMILIA-ROMAGNA - P.O. GESTIONE PESCA E ACQUACOLTURA",Italy,"300000 - 350000",0,,3,2011-06-29
"Eastern Norway County Network",Norway,"250000 - 300000",0,,0,2009-02-20
"G-4 Europa",Belgium,"250000 - 300000",0,,0,2008-10-16
"Local Government Denmark",Denmark,"250000 - 300000",0,,2,2011-09-15
"Provincie Noord-Holland",Netherlands,"250000 - 300000",0,,1,2012-01-27
"Bureau Brussel Vewin -Unie van Waterschappen",Netherlands,"200000 - 250000",2,,2,2012-01-13
"Malmö stad/City of Malmö",Sweden,"200000 - 250000",0,,0,2011-08-02
"Provincie Zuid-Holland",Netherlands,"200000 - 250000",0,,0,2013-06-06
verburgconsultants,Netherlands,"200000 - 250000",0,,0,2009-05-26
"Mid Sweden European Office",Belgium,"150000 - 200000",0,,1,2012-01-30
"Regionalne Biuro Województwa Łódzkiego w Brukseli",Belgium,"150000 - 200000",0,,0,2012-01-10
"Agence d'Urbanisme et de Développement Economique du Pays de Lorient",France,"100000 - 150000",1,,0,2011-09-19
"Arbeitsgemeinschaft für sparsame Energie- und Wasserverwendung im VKU",Germany,"100000 - 150000",0,,0,2012-08-06
"Consejería de Agricultura, Pesca y Medio Ambiente. Junta de Andalucía",Spain,"100000 - 150000",0,,0,2011-01-25
"Handwerkskammer Frankfurt-Rhein-Main",Germany,"100000 - 150000",1,,1,2010-11-30
"Instituto Portuario de Estudios y Cooperación de la Comunidad Valenciana",Spain,"100000 - 150000",0,,0,2012-11-23
"Provincie Limburg",Netherlands,"100000 - 150000",0,,2,2012-03-13
"Skåne Association of Local Authorities",Sweden,"100000 - 150000",0,,0,2013-06-18
"The Association of Finnish Local and Regional Authorities",Finland,"100000 - 150000",0,,2,2011-09-26
"Climate Alliance of European cities with indigenous rainforest peoples",Germany,"50000 - 100000",0,,6,2010-12-07
"Consorzio Teatro Pubblico Pugliese",Italy,"50000 - 100000",0,,0,2009-12-18
"Hotel Risk Analysis Limited","United Kingdom","50000 - 100000",0,,0,2011-07-24
"Hydrogen, fuel cells, Electro-mobility in European Regions",Belgium,"50000 - 100000",2,,0,2010-08-11
"Landeshauptstadt München",Germany,"50000 - 100000",0,,0,2012-12-21
"Malopolska Region Brussels Office",Poland,"50000 - 100000",1,,0,2012-11-01
"National Union of County Councils of Romania",Romania,"50000 - 100000",0,,0,2011-08-10
"Provincie Noord-Brabant",Netherlands,"50000 - 100000",0,,1,2012-02-08
"Provincie Utrecht",Netherlands,"50000 - 100000",0,,1,2012-07-27
"Region Västra Götaland",Sweden,"50000 - 100000",0,,0,2010-04-21
"Representation of the Liberec Region to the EU",Belgium,"50000 - 100000",0,,0,2012-01-25
"Svensk Kollektivtrafik",Sweden,"50000 - 100000",1,,0,2012-03-21
"THE HIGHLAND COUNCIL","United Kingdom","50000 - 100000",0,,0,2013-03-11
"Unione degli  Assessorati alle Politiche Socio Sanitarie e del Lavoro",Italy,"50000 - 100000",7,,0,2012-08-29
"Ville de Trouville-sur-Mer",France,"50000 - 100000",2,,0,2012-03-21
"ARCO LATINO",Spain,"< 50,000",0,,0,2011-02-04
"Aarhus Vand A/S",Denmark,"< 50,000",0,,0,2012-06-03
"Assemblée des Régions Européennes Viticoles",France,"< 50,000",0,,0,2011-07-19
"Association Bourgogne Franche-Comté Europe",France,"< 50,000",0,,1,2010-01-18
"Association Vigilance Environnement de la Vallée de l'Yerres",France,"< 50,000",0,,0,2013-02-27
"Association des villes et collectivités pour les communications électroniques et l'audiovisuel",France,"< 50,000",0,,0,2009-06-22
"Associazione Promocentro",Italy,"< 50,000",0,,0,2011-06-28
BrabantStad,Belgium,"< 50,000",0,,0,2011-11-08
"Cannegieter Consultancy for Regions and Cities",Belgium,"< 50,000",0,,0,2011-07-15
"Capital Region Denmark EU Office",Denmark,"< 50,000",0,,4,2009-08-04
"Catalan Institute for the Cultural Companies",Spain,"< 50,000",1,,0,2013-09-19
"Diputació de Barcelona Brussels Office",Belgium,"< 50,000",0,,0,2011-09-13
"Directorate General for Telecommunications and the Information Society of the Government of Catalonia",Spain,"< 50,000",0,,0,2011-07-20
"Dragets Kanals Vänner",Sweden,"< 50,000",0,,0,2008-12-28
"Estonian Road Administration",Estonia,"< 50,000",0,,0,2013-02-22
"Focus Europe Association",Italy,"< 50,000",0,,0,2012-05-15
"Fondazione Tripla Difesa Onlus",Italy,"< 50,000",0,,0,2013-07-10
"Gothenburg European Office",Sweden,"< 50,000",4,,1,2011-06-08
"KIMO International","United Kingdom","< 50,000",0,,0,2013-11-22
"Mouvement pour l'Europe des Citoyens",France,"< 50,000",2,,0,2013-10-16
"NORTH SWEDEN EUROPEAN OFFICE",Belgium,"< 50,000",0,,2,2012-02-29
"Network of European Region for a Sustainable and Competitive Tourism",Belgium,"< 50,000",0,,0,2010-07-30
"North Sea Commission",Denmark,"< 50,000",0,,0,2010-01-14
"Northamptonshire Enterprise Partnership",Belgium,"< 50,000",0,,0,2011-11-28
