"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"ISTITUZIONE - UNITED INTERNATIONAL CORPORATION",Italy,"2000000 - 2250000",0,,0,2010-10-31
"Consiglio Nazionale Architetti, Pianificatori, Paesaggisti e Conservatori",Italy,"1750000 - 2000000",0,,0,2012-05-30
"Consejo Superior de Cámaras de Comercio de España",Spain,"1000000 - 1250000",1,,5,2013-12-18
"UK Research Office",Belgium,"1000000 - 1250000",8,,3,2013-04-03
Bpifrance,France,"800000 - 900000",0,,14,2013-10-23
"European Hydrogen Association",Belgium,"800000 - 900000",1,,0,2009-02-26
"INTERACT Point Vienna",Austria,"800000 - 900000",0,,0,2013-05-06
"Association des Cinémathèques Européennes",Belgium,"600000 - 700000",0,,1,2010-12-13
"Unioncamere Lombardia",Italy,"600000 - 700000",3,,1,2013-05-21
"DFS Deutsche Flugsicherung GmbH",Germany,"500000 - 600000",1,,10,2009-05-18
"ITS Sweden",Sweden,"500000 - 600000",0,,0,2013-03-12
"KS Enterprises",Norway,"500000 - 600000",0,,0,2012-09-03
"North Western Waters Regional Advisory Council",Ireland,"400000 - 450000",0,,3,2008-08-28
"ASSEMBLEE DES CHAMBRES FRANCAISES DE COMMERCE ET D'INDUSTRIE",France,"300000 - 350000",0,,0,2009-02-27
"Protection sociale française",France,"300000 - 350000",3,,1,2011-08-03
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"300000 - 350000",0,,1,2010-04-15
"Zweites Deutsches Fernsehen",Germany,"300000 - 350000",3,,28,2009-01-15
"Enterprise Ireland",Ireland,"250000 - 300000",0,,0,2012-03-01
"World Nature Organization",Switzerland,"250000 - 300000",0,,0,2013-02-24
"Direcção Geral de Energia e Geologia",Portugal,"200000 - 250000",0,,0,2011-05-18
"Bundesarchitektenkammer e.V.",Germany,"150000 - 200000",3,,0,2012-03-21
"European Network of Cities and Regions for the Social Economy AISBL",Belgium,"150000 - 200000",1,,0,2011-04-13
"Flanders Knowledge Center Water VLAKWA",Belgium,"150000 - 200000",0,,0,2012-05-07
"European Centre for Regional Cooperation",Belgium,"100000 - 150000",0,,0,2012-11-28
"FUNDACIÓN COMUNIDAD VALENCIANA-REGIÓN EUROPEA",Belgium,"100000 - 150000",0,,1,2010-12-15
"Highlands and Islands European Partnership Office",Belgium,"100000 - 150000",0,,0,2011-10-05
"Interprovinciaal Overleg",Netherlands,"100000 - 150000",0,,0,2011-11-11
"RAI RADIOTELEVISIONE ITALIANA",Italy,"100000 - 150000",1,,4,2012-04-02
"The Research Council of Norway",Norway,"100000 - 150000",1,,1,2013-11-26
"Unione Regionale delle Camere di Commercio del Veneto",Italy,"100000 - 150000",0,,0,2011-10-04
"Agriculture and Horticulture Development Board","United Kingdom","50000 - 100000",0,,0,2012-01-09
"CAMARA DE COMERCIO DE CANTABRIA",Spain,"50000 - 100000",0,,0,2010-01-26
"Circassian Nation - Nation-In-Exile",Belgium,"50000 - 100000",0,,0,2012-03-18
"Cámara Oficial de Comercio, Industria y Navegación de Barcelona",Spain,"50000 - 100000",0,,0,2009-04-30
"EUREKA secretariat",Belgium,"50000 - 100000",0,,0,2013-09-17
"European Heritage Legal Forum",Germany,"50000 - 100000",0,,0,2012-04-26
"General Medical Council","United Kingdom","50000 - 100000",0,,0,2012-07-23
"Network of European Financial Institutions for Small and Medium Sized Enterprises",Belgium,"50000 - 100000",1,,4,2010-01-12
Raha-automaattiyhdistys,Finland,"50000 - 100000",0,,1,2011-07-26
"Regional Advisory Council for the Mediterranean",Italy,"50000 - 100000",0,,0,2011-07-18
"Soberana Casa Real e Imperial de Rurikovich",Argentina,"50000 - 100000",0,,0,2013-10-09
"Vlaams - Europees verbindingsagentschap",Belgium,"50000 - 100000",0,,2,2012-02-24
"Zahntechnikerinnung Rheinland Pfalz",Germany,"50000 - 100000",1,,0,2013-06-03
AQUAWAL,Belgium,"< 50,000",0,,0,2012-12-20
"Association Luxembourgeoise des Services d'Eaux ASBL",Luxembourg,"< 50,000",0,,0,2012-06-07
"Associazione Volare a S.Stefano",Italy,"< 50,000",0,,0,2012-04-17
"Breitband Kompetenz Zentrum Niedersachsen",Germany,"< 50,000",0,,0,2012-07-25
"Bundesarbeitsgemeinschaft der Aufgabenträger des Schienenpersonennahverkehrs",Germany,"< 50,000",1,,0,2011-01-18
"CETaqua, Centro Tecnológico del Agua",Spain,"< 50,000",0,,0,2011-01-11
"Centro Nacional de Experimentación de Tecnologías de Hidrógeno y Pilas de Combustible",Spain,"< 50,000",0,,0,2012-10-02
"Chambre de Commerce et d'Industrie des Vosges",France,"< 50,000",0,,0,2009-02-26
"Conseil National de Transition pour la Gambie",France,"< 50,000",0,,0,2013-04-01
"Consorzio nazionale per il riciclaggio dei rifiuti dei beni a base di polietilene",Italy,"< 50,000",0,,0,2013-05-28
"Deutsche Sozialversicherung Arbeitsgemeinschaft Europa",Germany,"< 50,000",4,,12,2008-06-27
"Die Medienanstalten - Arbeitsgemeinschaft der Landesmedienanstalten in der Bundesrepublik Deutschland",Germany,"< 50,000",0,,3,2011-07-13
"EnR network",France,"< 50,000",0,,0,2013-07-01
"English Heritage","United Kingdom","< 50,000",0,,0,2013-06-27
EuroPetition,Ireland,"< 50,000",0,,0,2009-12-10
"European Cultural Tourism Network","United Kingdom","< 50,000",0,,0,2011-05-10
"European Initiative for Agricultural Research for Development",Switzerland,"< 50,000",0,,0,2011-05-13
"European Network of Councils for the Judiciary",Belgium,"< 50,000",0,,9,2010-08-25
"European Network of Education Councils",Belgium,"< 50,000",0,,0,2009-06-26
"European Regional Aerodromes Community (ERAC)",Germany,"< 50,000",0,,0,2010-02-12
"European Social Insurance Platform AISBL",Belgium,"< 50,000",3,,7,2008-06-27
"European State Forest Association",Belgium,"< 50,000",0,,7,2010-01-15
"European Syriac Union",Belgium,"< 50,000",5,,0,2012-01-12
"FEDERACIÓN NACIONAL DE COFRADÍAS DE PESCADORES",Spain,"< 50,000",0,,1,2009-09-02
"FEDERATION OF EUROPEAN & INTERNATIONAL ASSOCIATIONS ESTABLISHED IN BELGIUM",Belgium,"< 50,000",0,,0,2011-01-26
"FEDERAZIONE ITALIANA PER LA CASA",Italy,"< 50,000",0,,1,2010-06-16
"Fachagentur Nachwachsende Rohstoffe e.V.",Germany,"< 50,000",4,,0,2013-07-17
"Federazione Italiana Hockey",Italy,"< 50,000",1,,0,2013-01-11
"Grand Masonic Orient of Ireland",Ireland,"< 50,000",0,,0,2013-04-02
IKA,Denmark,"< 50,000",0,,0,2011-09-05
"INTERNATIONAL SAFETY GROUP - FEDERAL CORPORATION",Italy,"< 50,000",0,,0,2013-11-08
"Jammu & Kashmir Liberation Cell",Pakistan,"< 50,000",2,,0,2012-04-17
"Kompetenzagentur im Haus der offenen Tür",Germany,"< 50,000",0,,0,2011-04-30
"Medicator AG",Germany,"< 50,000",0,,0,2010-11-22
"Méditerranée Technologies",France,"< 50,000",1,,0,2013-05-31
"National Institute for Health and Disability Insurance",Belgium,"< 50,000",0,,0,2011-05-24
"Pole Mer Bretagne",France,"< 50,000",0,,0,2012-12-21
"Scotland Europa",Belgium,"< 50,000",11,,3,2011-07-11
Statnett,Norway,"< 50,000",1,,12,2011-10-05
"Tarptautinis Palangos oro uostas",Lithuania,"< 50,000",0,,0,2013-11-08
"The Food and Environment Research Agency","United Kingdom","< 50,000",0,,0,2013-02-06
"Unioncamere Marche",Italy,"< 50,000",0,,0,2012-08-02
"Verband öffentlicher Wirtschaft",Austria,"< 50,000",0,,0,2012-02-14
"Vlaamse Radio- en Televisieomroeporganisatie",Belgium,"< 50,000",0,,2,2008-08-06
"inspired services publishing ltd","United Kingdom","< 50,000",0,,0,2012-01-27
"Österreichischer Rechtsanwaltskammertag",Austria,"< 50,000",0,,0,2010-05-04
"Arbeitsgemeinschaft der Wasserwirtschaftsverbände NRW",Germany,"< 9,999",0,,0,2013-07-16
"Col·legi Professional de l'Audiovisual de Catalunya",Spain,"< 9,999",0,,0,2010-07-23
"Michel Abdelahad",Canada,"< 9,999",0,,0,2012-04-06
"Observatorio Ambiental Granadilla",Spain,"< 9,999",0,,0,2009-05-06
RIWA,Netherlands,"< 9,999",0,,0,2012-07-19
"Sicurezza e Cooperazione Diplomatica Internazionale",Italy,"< 9,999",0,,0,2012-03-12
"AB ""SMILTYNĖS PERKĖLA""",Lithuania,"no figure available",0,,0,2013-10-29
"ADENE - Agência para a Energia",Portugal,"no figure available",0,,0,2013-07-02
"Aeropuertos Españoles y Navegación Aérea",Spain,"no figure available",0,,2,2012-06-07
"Agence Française de Développement",France,"no figure available",1,,4,2013-07-15
"Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",France,"no figure available",0,,8,2013-01-04
"Agenzia per la promozione all'estero e l'internazionalisazzione delle imprese italiane",Belgium,"no figure available",2,,0,2012-02-08
"Airports Council International - European Region",Belgium,"no figure available",4,,56,2010-04-22
"Autorité des marchés financiers",France,"no figure available",0,,0,2013-06-10
"Battersea Arts Centre","United Kingdom","no figure available",0,,0,2011-04-15
