"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Conseil Départemental des Yvelines",France,1569438254,0,5,0,2015-12-07
"University College Dublin – National University of Ireland, Dublin",Ireland,492005000,0,2.5,3,2015-11-30
"R Street Institute","United States",217731034,0,0.25,0,2015-12-18
"AB Stokab",Sweden,59687000,0,1.75,1,2015-11-24
"Coop Italia",Italy,26000000,0,0.25,0,2015-12-03
"Graphene Flagship",Sweden,20068368,0,375,1,2015-07-29
"Isis Innovation Ltd","United Kingdom",13762034,0,0.5,1,2015-12-18
"Bundesverband Mittelständische Wirtschaft e.V.",Germany,13000000,0,45,5,2015-07-22
"Netcad Software Company",Turkey,12000000,0,12.5,0,2015-05-28
"Stiftung Wissenschaft und Politik",Germany,11507813,4,3.25,2,2014-01-17
"European Chemical Industry Council",Belgium,10100000,28,45.25,123,2009-09-24
"CMS Bureau Francis Lefebvre",France,"> 10,000,000",0,1,0,2015-09-09
E-Hälsomyndigheten,Sweden,"> 10,000,000",0,2,0,2015-12-17
"Ecolog International FZE","United Arab Emirates","> 10,000,000",0,5250,1,2015-07-12
"European Gas Limited",France,"> 10,000,000",0,13.5,1,2015-03-13
"INTRASOFT International",Luxembourg,"> 10,000,000",0,500,1,2015-04-28
"IRG Advisors LLP","United Kingdom","> 10,000,000",0,290,1,2015-03-27
"Plansee Group",Austria,"> 10,000,000",0,6000,0,2015-09-03
"Queen Mary University of London","United Kingdom","> 10,000,000",0,3535,0,2015-06-10
"SBS Broadcasting B.V.",Netherlands,"> 10,000,000",0,0.25,0,2015-09-30
"SSR General and Management Limited","United Kingdom","> 10,000,000",0,26,1,2015-02-24
"The University of Manchester","United Kingdom","> 10,000,000",0,400,0,2015-11-10
"UAB Bitė Lietuva",Lithuania,"> 10,000,000",0,0.25,0,2015-12-07
"URT Ltd","United Kingdom","> 10,000,000",0,7.5,0,2015-11-25
"University of Reading","United Kingdom","> 10,000,000",0,200,0,2015-12-03
"WEST YORKSHIRE COMBINED AUTHORITY","United Kingdom","> 10,000,000",0,2.25,0,2015-09-14
customs4trade,Belgium,"9000000 - 9249999",0,10,0,2015-02-10
"Association for Financial Markets in Europe","United Kingdom","8000000 - 8249999",5,27,51,2010-08-04
"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",Belgium,7600000,9,18.5,71,2008-12-04
"Insurance Europe",Belgium,"7250000 - 7499999",19,40.5,51,2010-04-15
"Salts Healthcare Ltd","United Kingdom",7482000,0,1,0,2015-07-17
Fleishman-Hillard,Belgium,"6250000 - 6499999",46,26.5,29,2009-03-17
"Universitatea POLITEHNICA din Bucuresti",Romania,"6000000 - 6249999",0,250,0,2014-09-29
"Beheersmaatschappij Antwerpen Mobiel",Belgium,6085620,0,37.5,0,2015-07-13
"Banana Growers Association, Belize",Belize,5800000,0,0.25,2,2015-11-11
Burson-Marsteller,Belgium,"5000000 - 5249999",26,35,6,2008-10-31
"INSTITUT SUPERIEUR D'OSTEOPATHIE DE LYON",France,5200000,0,59.75,0,2015-12-17
"European Federation of Pharmaceutical Industries and Associations",Switzerland,5071000,7,14.75,91,2009-03-04
"ExxonMobil Petroleum & Chemical",Belgium,"4750000 - 4999999",4,8,31,2009-01-06
"Interel European Affairs",Belgium,"4750000 - 4999999",21,25.5,11,2008-12-11
ClientEarth,"United Kingdom",4813709,11,54,39,2011-12-21
"Hill & Knowlton International Belgium",Belgium,"4500000 - 4749000",10,14.75,7,2008-12-22
"Romanian Air Traffic Services Administration",Romania,"4500000 - 4749000",0,42,0,2012-12-07
"Shell Companies",Netherlands,"4500000 - 4749000",8,7,80,2012-04-18
"Plan International España",Spain,4745774,0,35,1,2015-02-03
"Microsoft Corporation","United States","4250000 - 4499999",5,7.75,156,2009-01-13
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"4250000 - 4499999",2,22.5,21,2008-11-28
"AGR FOOD MARKETING",Spain,4306238,0,24,1,2015-04-20
BUSINESSEUROPE,Belgium,"4000000 - 4249999",20,29,292,2009-01-13
EUROCITIES,Belgium,"4000000 - 4249999",15,30,51,2009-12-18
"European Banking Federation",Belgium,"4000000 - 4249999",17,16.5,46,2008-12-19
"JA Europe",Belgium,"4000000 - 4249999",3,10,11,2015-07-07
"Europäisches Zentrum für Arbeitnehmerfragen",Germany,4000000,2,9.75,6,2015-04-20
"Dow Europe GmbH",Switzerland,"3750000 - 3999999",4,6.5,51,2009-02-05
"Japan Bioindustry Association",Japan,"3750000 - 3999999",0,0.25,0,2015-11-25
"Verband der Chemischen Industrie e.V.",Germany,"3750000 - 3999999",3,26,9,2011-11-02
"Deutsche Bank AG",Germany,3969000,3,8.5,75,2013-05-30
"J J tactical LLP","United Kingdom",3800000,0,10.25,0,2014-08-20
Google,"United States","3500000 - 3749000",10,9,264,2011-03-29
"Šiaulių valstybinė kolegija",Lithuania,"3500000 - 3749000",0,142.5,0,2015-12-23
"General Electric Company","United States","3250000 - 3499999",6,9.5,88,2008-12-24
Kreab,Belgium,"3250000 - 3499999",26,30,65,2008-10-15
"Balltec Ltd","United Kingdom",3490095,0,40,0,2015-04-29
"Real Instituto Elcano",Spain,3357301,0,1.5,3,2015-10-30
"Volkswagen Aktiengesellschaft",Germany,3300000,4,18,77,2009-01-15
"Asociación Española de Banca",Spain,"3000000 - 3249999",0,5,7,2015-02-18
"European Road Transport Telematics Implementation Coordination Organisation-Intelligent Transport Systems & Services Europe",Belgium,"3000000 - 3249999",0,27,4,2009-11-18
"European Wind Energy Association",Belgium,"3000000 - 3249999",6,7,82,2011-08-24
"G Plus Ltd","United Kingdom","3000000 - 3249999",23,22,44,2008-12-15
"Kainuun Etu Oy",Finland,"3000000 - 3249999",0,23,0,2015-08-26
"The Investment Association","United Kingdom","3000000 - 3249999",5,14,17,2008-06-30
"Universidade de Coimbra",Portugal,"3000000 - 3249999",0,62.5,4,2015-04-17
"Siemens AG",Germany,3230169,9,14.75,52,2008-12-12
"Association philosophique française le DROIT HUMAIN",France,3100000,0,6.25,0,2015-06-05
"Huawei Technologies",China,3000000,7,6.25,63,2013-06-25
"Social Impact gGmbH",Germany,3000000,0,3.25,0,2015-03-13
"paij GmbH",Germany,3000000,0,25,0,2015-03-12
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2750000 - 2999999",5,13.75,27,2009-03-16
"BP p.l.c.","United Kingdom","2750000 - 2999999",4,3.75,43,2008-11-14
"Bundesverband der Deutschen Industrie e.V.",Germany,"2500000 - 2999999",10,28.75,112,2008-12-10
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",3,7.5,21,2009-01-07
CD2E,France,"2750000 - 2999999",0,20,0,2015-08-20
"Conference of Peripheral Maritime Regions (CRPM)",France,"2750000 - 2999999",2,22,26,2008-11-28
"ELECTRICITE DE FRANCE",France,"2500000 - 2999999",9,14,49,2009-06-12
"European Association Automotive Suppliers",Belgium,"2750000 - 2999999",4,16,50,2011-05-06
"European Fund and Asset Management Association",Belgium,"2500000 - 2999999",9,11.25,6,2008-11-28
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2750000 - 2999999",8,14,29,2008-08-01
"International Swaps and Derivatives Association","United States","2750000 - 2999999",3,5,10,2009-02-08
"Transport and Environment (European Federation for Transport and Environment)",Belgium,"2750000 - 2999999",14,16.25,161,2010-02-22
DIGITALEUROPE,Belgium,2850000,10,9.75,153,2011-10-26
"Dipartimento di Epidemiologia",Italy,2800000,0,75.75,0,2015-12-28
"APCO Worldwide","United States","2500000 - 2749000",27,7.5,15,2009-02-06
"Bundesverband deutscher Banken e.V.",Germany,"2500000 - 2749000",2,18,51,2008-09-05
"TOTAL S.A.",France,"2500000 - 2749000",5,6,28,2008-12-16
"Zentralverband Elektrotechnik- und Elektronikindustrie e.V.",Germany,"2500000 - 2749000",6,8.5,10,2011-08-24
