"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Covington & Burling LLP","United States","1500000 - 1749000",5,8,11,2015-05-15
"SALESAS TRES CENTRO DE ESTUDIOS",Spain,"600000 - 699999",4,3.5,18,2013-02-27
"Squire Patton Boggs LLP","United States","400000 - 499999",3,7,5,2016-08-01
"Grant Thornton Société d'Avocats",France,"300000 - 399999",0,0.5,0,2015-09-07
"HEUKING KÜHN LÜER WOJTEK",Germany,"300000 - 399999",0,2,1,2017-11-29
"Freshfields Bruckhaus Deringer LLP","United Kingdom","200000 - 299999",4,1,7,2015-10-22
"A TURQUOISE",France,"100000 - 199999",0,0.75,2,2015-01-22
"Alinea, Avocats associés AARPI",France,"100000 - 199999",1,3.25,3,2012-10-05
"Bates Wells & Braithwaite London LLP","United Kingdom","100000 - 199999",0,0.5,0,2015-03-12
COPPET,Belgium,"100000 - 199999",0,5,0,2015-07-16
"DLA Piper UK LLP - Belgium",Belgium,"100000 - 199999",11,2.25,6,2014-10-03
"FAU Bernard",France,"100000 - 199999",0,5,0,2013-02-15
FIDAL,France,"100000 - 199999",0,1.5,9,2015-07-01
"Latham & Watkins LLP",Belgium,"100000 - 199999",0,0.75,3,2015-11-06
"Mayer Brown Europe-Brussels LLP",Belgium,"100000 - 199999",1,0.75,2,2015-02-20
"Norton Rose Fulbright LLP","United Kingdom","100000 - 199999",3,4,2,2016-09-21
"Steptoe & Johnson LLP","United States","100000 - 199999",1,1.5,6,2015-12-30
"Wiggin LLP","United Kingdom","100000 - 199999",0,0.5,1,2015-05-13
"everis Energía y MedioAmbiente S.L.U",Spain,"100000 - 199999",0,1.75,1,2016-02-03
"L4L LEGAL ADVICE PLC","United Kingdom",148000,0,5.25,0,2017-02-21
"Advokatfirman Vinge KB",Sweden,"50000 - 99999",0,1.5,1,2015-03-27
"Alber & Geiger",Germany,"50000 - 99999",6,6.25,7,2011-09-19
"Arthur's Legal B.V.",Netherlands,"50000 - 99999",0,2,0,2015-12-20
"Becker Büttner Held PartGmbB",Germany,"50000 - 99999",6,3,0,2016-01-21
"Cabinet d'avocats SAMMAN",France,"50000 - 99999",2,3,1,2016-03-21
"DRYLLERAKIS & ASSOCIATES",Greece,"50000 - 99999",0,6.5,0,2015-07-13
"Fragomen Global LLP","United States","50000 - 99999",4,2.25,0,2016-08-18
"Gide Loyrette Nouel",France,"50000 - 99999",2,2,5,2016-04-19
"Hogan Lovells International LLP","United Kingdom","50000 - 99999",0,1.25,0,2017-12-21
"Kühne Logistics University",Germany,"50000 - 99999",0,1.5,0,2016-07-05
"LK Shields Solicitors",Ireland,"50000 - 99999",0,1.25,0,2016-01-08
"Law Square",Belgium,"50000 - 99999",0,1.25,3,2015-05-28
"Linklaters LLP","United Kingdom","50000 - 99999",5,3.75,3,2012-01-30
"Rechtsanwälte Lenz und Johlen",Germany,"50000 - 99999",0,0.25,0,2015-04-23
"Simmons & Simmons LLP","United Kingdom","50000 - 99999",0,0.5,0,2017-01-12
"Advokatų kontora ""Ellex Valiūnas ir partneriai""",Lithuania,"25000 - 49999",0,1,0,2017-11-04
"BDGS Associés",France,"25000 - 49999",0,0.5,1,2015-01-06
"EJC-Roberti & Associati / Juriscoop Scrl",Belgium,"25000 - 49999",6,1.75,0,2015-12-11
"Kelley Drye & Warren LLP","United States","25000 - 49999",6,0.75,0,2014-05-28
"Mihut Law Office",Belgium,"25000 - 49999",0,1.5,0,2016-10-17
"NCTM Studio Legale Associato",Italy,"25000 - 49999",3,1.25,1,2012-06-26
"Pappas & Associates",Belgium,"25000 - 49999",0,10,1,2015-05-15
"Pavlenko Legal Group",Ukraine,"25000 - 49999",0,8.5,0,2017-08-15
TERRAQUI,Spain,"25000 - 49999",0,0.5,0,2012-01-09
"bxl-law SPRL",Belgium,"25000 - 49999",0,1,0,2013-01-18
"Pilarp Juridik",Sweden,30000,1,0.5,0,2016-08-25
"Knebl, Schnaubert & Partner mbB",Germany,25000,0,5.5,0,2017-10-17
"ALTHEIS LTD","United Kingdom","10000 - 24999",0,1.5,0,2011-10-12
"Blanche Magarinos-Rey",France,"10000 - 24999",1,0.75,0,2015-09-14
"Cremades & Calvo-Sotelo",Spain,"10000 - 24999",0,1,1,2015-03-26
"Faus & Moliner Abogados",Spain,"10000 - 24999",0,0.5,0,2017-12-27
"Grimaldi Studio legale",Italy,"10000 - 24999",1,0.5,0,2014-07-24
"Legal RLP",France,"10000 - 24999",0,1,0,2014-02-19
"Markus Nessler - Beratung & Recht",Germany,"10000 - 24999",0,0.25,0,2015-04-28
"Soliman, Hashish & Partners",Egypt,"10000 - 24999",0,9,0,2016-03-10
"Studio legale struzziero",Italy,"10000 - 24999",0,1.25,0,2016-07-11
"Studio Legale Fabiano",Italy,20000,0,1.25,0,2017-05-23
CHAPUS,France,10000,0,0.25,0,2014-11-17
"Gianni Origoni Grippo Cappelli & Partners",Italy,10000,0,1,1,2017-11-20
"A. Silvestro sprl",Belgium,"< 9,999",0,0.25,0,2017-10-20
"Abreu & Associados, Sociedade de Advogados, SP, RL",Portugal,"< 9,999",0,0.5,0,2016-02-10
"Association Mondiale de Médiarbitrage",Switzerland,"< 9,999",0,16.25,0,2014-12-03
"Avv. Dr. Alessandro Amicarelli","United Kingdom","< 9,999",0,0.25,0,2011-12-20
"Avvocato Alberto Cozzo",Italy,"< 9,999",0,1,0,2009-05-14
"BUFETE DE ABOGADOS",Spain,"< 9,999",0,0.25,0,2017-05-25
"Bailey & Ehrenberg","United States","< 9,999",0,0.25,0,2016-11-10
"Baker & McKenzie Partnerschaft von Rechtsanwälten, Wirtschaftsprüfern und Steuerberatern mbB",Germany,"< 9,999",0,0.5,1,2012-09-12
"Beiten Burkhardt",Germany,"< 9,999",1,1,2,2017-01-17
"Bonelli Erede Pappalardo",Italy,"< 9,999",0,0.5,2,2016-06-03
"Buchalik Brömmekamp Rechtsanwaltsgesellschaft mbH",Germany,"< 9,999",0,0.75,0,2016-06-03
"Chambers of Edmond McGovern",Belgium,"< 9,999",0,1,0,2017-04-21
"Chilosi Martelli - Studio Legale Associato",Italy,"< 9,999",0,0.5,0,2015-01-12
