"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"AB Stokab",Sweden,59687000,0,1.75,1,2015-11-24
"Coop Italia",Italy,26000000,0,0.25,0,2015-12-03
"Netcad Software Company",Turkey,12000000,0,12.5,0,2015-05-28
"Ecolog International FZE","United Arab Emirates","> 10,000,000",0,5250,1,2015-07-12
"European Gas Limited",France,"> 10,000,000",0,13.5,1,2015-03-13
"Plansee Group",Austria,"> 10,000,000",0,6000,0,2015-09-03
"SBS Broadcasting B.V.",Netherlands,"> 10,000,000",0,0.25,0,2015-09-30
"UAB Bitė Lietuva",Lithuania,"> 10,000,000",0,0.25,0,2015-12-07
"Salts Healthcare Ltd","United Kingdom",7482000,0,1,0,2015-07-17
"ExxonMobil Petroleum & Chemical",Belgium,"4750000 - 4999999",4,8,31,2009-01-06
"Romanian Air Traffic Services Administration",Romania,"4500000 - 4749000",0,42,0,2012-12-07
"Shell Companies",Netherlands,"4500000 - 4749000",8,7,80,2012-04-18
"Microsoft Corporation","United States","4250000 - 4499999",5,7.75,156,2009-01-13
"Dow Europe GmbH",Switzerland,"3750000 - 3999999",4,6.5,51,2009-02-05
"Deutsche Bank AG",Germany,3969000,3,8.5,75,2013-05-30
Google,"United States","3500000 - 3749000",10,9,264,2011-03-29
"General Electric Company","United States","3250000 - 3499999",6,9.5,88,2008-12-24
"Balltec Ltd","United Kingdom",3490095,0,40,0,2015-04-29
"Volkswagen Aktiengesellschaft",Germany,3300000,4,18,77,2009-01-15
"Siemens AG",Germany,3230169,9,14.75,52,2008-12-12
"Huawei Technologies",China,3000000,7,6.25,64,2013-06-25
"paij GmbH",Germany,3000000,0,25,0,2015-03-12
"BP p.l.c.","United Kingdom","2750000 - 2999999",4,3.75,43,2008-11-14
"ELECTRICITE DE FRANCE",France,"2500000 - 2999999",9,14,49,2009-06-12
"TOTAL S.A.",France,"2500000 - 2749000",5,6,28,2008-12-16
"Daimler Aktiengesellschaft",Germany,2500000,5,8.25,41,2008-12-18
AERNNOVA,Spain,"2250000 - 2499999",0,50,0,2012-07-30
ENGIE,France,"2250000 - 2499999",5,3,71,2011-12-13
"GEIE des Utilisateurs d'ERTMS",Belgium,"2250000 - 2499999",0,12,0,2013-09-03
"Bayer AG",Germany,2460000,9,15,38,2008-12-17
"BASF SE",Germany,2300000,9,12.5,35,2008-12-16
"E.ON SE",Germany,"2000000 - 2249999",3,11,44,2011-12-06
"ENEL SpA",Italy,"2000000 - 2249999",8,8.5,75,2008-07-17
"COMPAGNIE FRUITIERE",France,2000000,0,2.5,0,2015-06-29
"ITM Power","United Kingdom",2000000,0,15,0,2012-10-03
"RWE AG",Germany,2000000,3,5.5,25,2010-04-15
"Telefonica, S.A.",Spain,2000000,6,6,89,2008-06-23
AstraZeneca,"United Kingdom","1500000 - 1999999",0,2.75,2,2011-06-07
"Chevron Belgium NV","United States","1750000 - 1999999",2,3.5,4,2012-05-22
"EVONIK INDUSTRIES AG",Germany,"1750000 - 1999999",8,8,6,2008-12-23
GlaxoSmithKline,"United Kingdom","1750000 - 1999999",5,5,11,2009-01-06
"Johnson & Johnson","United States","1750000 - 1999999",12,5.5,10,2009-03-06
"Novartis International AG",Switzerland,"1750000 - 1999999",6,5.25,23,2009-04-27
"Rolls-Royce plc","United Kingdom","1750000 - 1999999",3,5,21,2010-01-26
"FINPOINT GmbH",Germany,1800000,0,9,2,2015-03-30
"Deutsche Post DHL Group",Germany,1764902,7,7,20,2011-01-27
"Allianz SE",Germany,"1500000 - 1749000",4,5.5,19,2009-07-03
ArcelorMittal,Luxembourg,"1500000 - 1749000",3,4,84,2009-06-10
"British American Tobacco","United Kingdom","1500000 - 1749000",6,7,2,2009-01-21
Diageo,"United Kingdom","1500000 - 1749000",4,5.5,18,2011-04-19
"IBM Corporation","United States","1500000 - 1749000",3,5.25,115,2009-01-08
"LVMH Publica",Belgium,"1500000 - 1749000",2,2.5,33,2009-09-22
"Barclays PLC","United Kingdom",1736619,1,2.75,17,2011-08-03
"Towarzystwo Inwestycji Społeczno-Ekonomicznych S.A.",Poland,1514769,0,31.75,0,2015-03-13
