"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Japan Bioindustry Association",Japan,"3750000 - 3999999",0,0.25,0,2015-11-25
"International Federation of Organic Agriculture Movements EU Regional Group",Belgium,"1250000 - 1499999",8,15.25,26,2009-03-04
"European Telecommunications Standards Institute",France,"1000000 - 1249999",1,3.5,6,2015-03-09
"Europe Culture & Citoyenneté",France,1000000,0,2,0,2013-02-24
"International Marine Certification Institute",Belgium,"900000 - 999999",0,1.5,0,2015-03-15
"European Association of Research and Technology Organisations",Belgium,"600000 - 699999",5,4.75,27,2011-09-13
"Fédération Internationale de l'Automobile",France,"500000 - 599999",6,5,32,2011-02-22
GEODE,Belgium,"500000 - 599999",1,3,12,2011-09-07
"Shale Gas Europe",Belgium,"500000 - 599999",0,2.5,0,2013-09-02
"Lantbrukarnas Riksförbund",Sweden,500000,5,2.25,13,2011-01-24
"European Atomic Forum",Belgium,"400000 - 499999",8,3,11,2008-06-23
"ISTITUTO SALUMI ITALIANI TUTELATI",Italy,400000,0,0.5,0,2015-09-02
"European Association of Co-operative Banks",Belgium,"300000 - 399999",9,7.5,10,2009-01-12
"The Initiative for a Competitive Online Marketplace","United Kingdom","300000 - 399999",0,3.75,0,2009-03-23
"Pensioenfederatie (Federation of the Dutch Pension Funds)",Netherlands,386066,2,1.5,14,2010-01-11
"European Energy Forum",France,366270,4,3.75,0,2011-09-08
MEDAC,Italy,342000,0,2,2,2015-11-11
"Alliance Nationale des Mutualités chrétiennes - Landsbond der Christelijke Mutualiteiten",Belgium,"200000 - 299999",0,1,0,2014-04-22
"Assemblée permanente des chambres de métiers et de l'artisanat",France,"200000 - 299999",1,2.25,0,2011-09-27
"BIPAR - European Federation of Insurance Intermediaries",Belgium,"200000 - 299999",4,4,0,2009-02-18
"Conseil National de l'Ordre des Médecins",France,"200000 - 299999",2,0.25,0,2009-12-28
"Lloyd's of London","United Kingdom","200000 - 299999",2,0.75,5,2010-03-09
"Mladá fronta a.s.","Czech Republic","200000 - 299999",0,3.75,1,2015-05-05
"Oil Companies International Marine Forum","United Kingdom","200000 - 299999",0,7,1,2014-07-29
"Prime Collateralised Securities (PCS) UK Limited","United Kingdom","200000 - 299999",0,1,5,2014-11-27
"Suomen Pakkausyhdistys ry",Finland,"200000 - 299999",0,1,0,2015-08-18
"The European Lotteries",Switzerland,"200000 - 299999",3,1.75,1,2010-07-09
"Assemblée permanente des Chambres d'Agriculture",France,"100000 - 199999",2,1.75,2,2012-03-29
"Association des Chambres de Commerce et d'Industrie de Paris/Ile-de-France",France,"100000 - 199999",2,2.5,0,2009-03-27
"Citizens Advice","United Kingdom","100000 - 199999",0,1,0,2015-04-08
"European Association of Environmental and Resource Economists",Italy,"100000 - 199999",0,0.25,0,2011-07-29
"European Committee for Electrotechnical Standardization",Belgium,"100000 - 199999",0,1.75,5,2009-10-18
"European Committee for Standardization",Belgium,"100000 - 199999",0,1.75,4,2011-03-18
"European Council of the Paint, Printing Ink and Artists' Colours Industry",Belgium,"100000 - 199999",0,1,1,2010-12-01
"European Federation of Building Societies",Belgium,"100000 - 199999",1,3,4,2010-07-28
FEICA,Belgium,"100000 - 199999",0,4.5,0,2010-02-22
"Fondazione UniVerde",Italy,"100000 - 199999",0,0.5,0,2014-05-30
"KALAITZI STAVROULA EKDOTIKI METAFRASTIKI DIAFIMISTIKI AE",Greece,"100000 - 199999",0,3.75,0,2015-11-26
"Portal Audiovisuele Makers",Netherlands,"100000 - 199999",0,11,0,2015-05-31
"The Coalition for Energy Savings",Belgium,"100000 - 199999",0,0.75,13,2011-10-12
"Universities Superannuation Scheme Ltd","United Kingdom","100000 - 199999",0,2,1,2015-11-09
"VDE Verband der Elektrotechnik Elektronik Informationstechnik",Germany,"100000 - 199999",2,1,1,2008-10-29
"Société Française des Analystes Financiers",France,180000,0,1,0,2015-05-11
"Associazione fra le società italiane per azioni",Italy,150000,1,1,5,2009-09-29
"CEEP - European Centre of Employers and Enterprises providing Public Services",Belgium,120000,4,2.75,73,2009-03-27
"Organizacion de Productores Pesqueros nº 43 ANACEF",Spain,115957,0,0.5,1,2015-10-22
"Chamber of Commerce and Industry of Serbia",Serbia,100000,3,5,0,2009-05-24
"Lithuanian Business Representation in Brussels",Belgium,100000,0,1,11,2009-03-16
"Apex-Brasil Brussels-Europe",Belgium,"50000 - 99999",3,1.5,0,2010-11-04
"British Broadcasting Corporation","United Kingdom","50000 - 99999",0,2,11,2014-11-13
"Conseil International du Notariat Belge /Internationale Raad van het Belgisch Notariaat",Belgium,"50000 - 99999",2,0.75,1,2013-11-29
"Conseil National de l'Ordre des Sages-femmes",France,"50000 - 99999",0,1,1,2011-06-23
"Consorzio del Prosciutto di Parma",Italy,"50000 - 99999",0,5.25,0,2015-02-06
"Copyright for Creativity",Belgium,"50000 - 99999",0,1,3,2014-02-04
"Creativity Works!",Belgium,"50000 - 99999",0,4,2,2015-09-08
"European Chemical Employers Group",Belgium,"50000 - 99999",2,1.25,5,2009-03-04
"European Hospital and Healthcare Employers' Association",Belgium,"50000 - 99999",0,2,5,2015-05-08
"FCT SOERMAR",Spain,"50000 - 99999",0,2,0,2012-02-21
"Network of European Financial Institutions for Small and Medium Sized Enterprises",Belgium,"50000 - 99999",1,0.75,4,2010-01-12
"RAI RADIOTELEVISIONE ITALIANA SpA",Italy,"50000 - 99999",2,0.75,4,2012-04-02
"Trade Secrets & Innovation Coalition",Belgium,"50000 - 99999",0,0.75,0,2014-01-16
"CLUB PSCO",France,90000,0,0.5,0,2015-07-30
"Catalonia Institute of Construction Technology",Spain,83914,0,1,0,2013-09-27
"FIRST SOCIAL LIFE",Italy,80000,0,3.75,0,2015-09-08
"Ogólnopolski Związek Pracodawców Niepublicznych Operatorów Pocztowych",Poland,53423,0,1,0,2015-07-21
"British Hellenic Chamber of Commerce",Greece,50000,0,0.5,0,2015-06-09
"QUALIFICA / oriGIn Portugal",Portugal,50000,0,252,0,2015-07-12
"Ökologischer Jagdverein Bayern e.V.",Germany,50000,0,20,0,2015-05-27
"Cercle Europe et Economie Sociale",Belgium,"25000 - 49999",0,1,0,2015-03-12
"Consorzio di tutela della DOC Prosecco",Italy,"25000 - 49999",1,0.5,0,2012-05-17
"Deutsche Messe AG",Germany,"25000 - 49999",1,1,13,2011-08-10
"European association for Surface Treatment on Aluminium",Switzerland,"25000 - 49999",0,1,0,2011-02-17
"Hjälp och stöd för utländska unga kriminelitet",Sweden,"25000 - 49999",0,1,0,2014-01-27
"Renewables Grid Initiative e.V.",Germany,"25000 - 49999",0,1,9,2014-06-26
"Sociedade Portuguesa de Autores C.R.L.",Portugal,"25000 - 49999",0,0.75,0,2015-10-29
"Tobacco Industry Platform",Belgium,"25000 - 49999",0,0.25,0,2012-03-27
"FONDAZIONE CENTRO SAN RAFFELE",Italy,48000,2,1,0,2012-09-13
"Sociedad General de Autores y Editores",Spain,44000,1,1,0,2015-07-02
"CommunicateResearch Ltd","United Kingdom",40000,2,1.25,0,2011-03-10
"Association Européenne des Institutions de retraite pour les professions libérales",Belgium,"10000 - 24999",0,0.75,0,2009-01-29
"Association of Mediterranean Energy Regulators",Italy,"10000 - 24999",0,2.75,2,2011-03-04
"CIONET International",Belgium,"10000 - 24999",0,0.75,2,2015-09-16
"Chartered Institute of Arbitrators","United Kingdom","10000 - 24999",0,0.25,0,2015-06-29
"Consorzio nazionale per la raccolta il riciclaggio e il recupero degli imballaggi in plastica",Italy,"10000 - 24999",0,1.25,4,2015-04-23
"Copydan Billeder",Denmark,"10000 - 24999",0,0.5,0,2015-12-17
"Engaged Investment Ltd","United Kingdom","10000 - 24999",0,0.25,0,2015-02-26
"European Committee of Associations of Manufacturers of Gears and Transmission Parts",Germany,"10000 - 24999",0,0.25,0,2008-12-08
"Europäische Vereinigung unabhängiger Journalisten",Luxembourg,"10000 - 24999",0,1.25,0,2013-05-17
"Fédération des Entreprises Publiques Locales",France,"10000 - 24999",1,1,0,2010-09-10
"Kentro Ellinikou Politismou - Hellenic Culture Centre",Greece,"10000 - 24999",0,1.5,0,2010-10-15
"Royal Institution of Chartered Surveyors","United Kingdom","10000 - 24999",0,1,0,2009-03-12
"S.E.F. Italia S.S.D. A R.L.- Sport Educazione e Formazione Società Sportiva Dilettantistica a Responsabilità Limitata",Italy,"10000 - 24999",0,9.75,0,2014-01-26
"Selskabet til Forvaltning af Internationale Komponistrettigheder i Danmark",Denmark,"10000 - 24999",3,1.5,1,2015-02-27
"Slovenský ochranný zväz autorský pre práva k hudobným dielam",Slovakia,"10000 - 24999",1,0.5,0,2014-03-03
"Société Multimédia des Auteurs des Arts Visuels",Belgium,"10000 - 24999",0,0.25,0,2015-10-14
"TONO SA",Norway,"10000 - 24999",0,0.75,0,2015-11-16
"VG Media GmbH",Germany,"10000 - 24999",0,1,0,2015-09-29
"Verwertungsgesellschaft Rundfunk GmbH",Austria,"10000 - 24999",0,0.25,0,2015-11-09
"European Society for Paediatric Gastroenterology Hepatology and Nutrtition","United Kingdom",20000,0,0.25,0,2015-06-13
"LEONI SAS",Italy,20000,0,0.25,0,2014-10-13
"Sveriges Aktiesparares Riksförbund",Sweden,20000,0,0.5,0,2012-03-22
"Verwertungsgesellschaft Bild-Kunst",Germany,20000,0,1.5,0,2014-01-08
"ASOCIACION NACIONAL DE EMPRESAS PESQUERAS EN PAISES TERCEROS",Spain,18422,0,0.5,0,2015-10-26
"Association of Professional Wireless Production Technologies",Germany,16000,0,0.25,2,2014-01-10
"Initiative Urheberrecht",Germany,10000,0,0.25,5,2014-01-06
"Interessengemeinschaft Kreditkartengeschäft",Germany,10000,0,0.5,0,2015-08-18
"ADT-Bundesverband Deutscher Innovations-, Technologie- und Gründerzentren e.V.",Germany,"< 9,999",0,1,0,2009-03-18
"AG Kino - Gilde deutscher Filmkunsttheater e.V.",Germany,"< 9,999",0,0.25,1,2011-09-28
"AGENZIA EUROPEA DEL MEDITERRANEO ""ASSOCIAZIONE PROFESSIONALE""",Italy,"< 9,999",0,1.5,0,2011-12-22
"AIFM Federation Austria",Austria,"< 9,999",0,0.5,0,2009-02-20
"ASSOCIATION DEFENSE DES INTERETS DES VETERINAIRES DANS L'APPLICATION DIRECTIVE SERVICES",France,"< 9,999",0,0.25,0,2011-02-13
"AUDIOGEST - Associação Para a Gestão e Distribuição de Direitos",Portugal,"< 9,999",1,2,2,2014-11-18
"Alliance for Regenerative Medicine","United States","< 9,999",0,0.25,1,2015-10-14
