"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"URT Ltd","United Kingdom","> 10,000,000",0,7.5,0,2015-11-25
"Grafiska Företagen",Sweden,2000000,0,6.25,0,2015-02-03
"Asociacion Agraria Jovenes Agricultores",Spain,"1000000 - 1249999",0,12,2,2015-04-15
"Coordinadora de Organizaciones de Agricultores y Ganaderos - Iniciativa Rural",Spain,"1000000 - 1249999",0,4.5,0,2015-05-08
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"1000000 - 1249999",5,18.75,196,2009-02-02
"European Broadcasting Union - Union Européenne de Radio-télévision AISBL",Belgium,"1000000 - 1249999",5,7,41,2009-04-30
"GSMA Europe","United Kingdom","1000000 - 1249999",5,4.5,56,2011-12-22
"Union des Industries de la Fertilisation",France,"1000000 - 1249999",0,11,2,2015-02-10
"GDA- Gestão dos Direitos dos Artistas",Portugal,1200000,0,3.25,0,2015-08-31
"International Trade Union Confederation",Belgium,1013699,5,1.25,3,2009-04-27
"Confederatia Sindicala Nationala MERIDIAN",Romania,"900000 - 999999",0,33.75,0,2015-03-26
"Institute of Chartered Accountants in England and Wales","United Kingdom","800000 - 899999",0,2.5,7,2008-12-04
"FEDERAZIONE ITALIANA DELLA CACCIA BRESCIA",Italy,"700000 - 799999",0,1,0,2015-03-12
"Norwegian Film Makers Association",Norway,629000,0,0.25,0,2015-09-29
"Associazione degli Enti Previdenziali Privati",Italy,"500000 - 599999",0,11,2,2015-09-30
"European Biomass Association",Belgium,"500000 - 599999",4,1.75,11,2010-10-28
"European CanCer Organisation",Belgium,"500000 - 599999",0,3,4,2011-07-20
"Fédération Nationale du Crédit Agricole",France,"500000 - 599999",0,1,0,2015-04-17
"The Swedish Trade Union Confederation",Sweden,577500,0,5.5,6,2015-06-26
"Bundesarbeitskammer Österreich",Austria,"400000 - 499999",0,6.5,5,2009-06-26
"Bureau Européen de l'Agriculture Française",Belgium,"400000 - 499999",3,4,5,2011-08-04
"Cyprus Hotel Association",Cyprus,"400000 - 499999",0,0.75,0,2015-07-24
"European Transport Workers' Federation",Belgium,"400000 - 499999",10,4.25,50,2009-02-12
Rederscentrale,Belgium,"400000 - 499999",0,3.75,0,2009-12-21
"Union des Transports Publics et ferroviaires",France,"400000 - 499999",2,2,3,2009-06-05
"Wirtschaftsvereinigung Stahl",Germany,400000,1,2.75,11,2009-06-23
"ASSOCIATION DE L'ECONOMIE NUMERIQUE",France,"300000 - 399999",0,1,0,2015-12-22
"Association Française des Editeurs de Logiciels et Solutions Internet",France,"300000 - 399999",0,2.5,0,2015-09-30
"BREIZ EUROPE",France,"300000 - 399999",2,2.25,22,2011-09-30
"Deutscher Gewerkschaftsbund",Germany,"300000 - 399999",3,7,30,2009-09-30
"European Federation of Journalists",Belgium,"300000 - 399999",2,0.5,20,2011-09-06
"European Society of Cardiology",France,"300000 - 399999",2,1.25,12,2011-10-20
"Food Supplements Europe",Belgium,"300000 - 399999",0,1.5,6,2013-07-10
"Industriegewerkschaft Metall",Germany,"300000 - 399999",2,3.75,20,2014-03-13
"Irish Road Haulage Association",Ireland,"300000 - 399999",0,1,3,2015-09-15
"Palkansaajajärjestöjen EU-edustusto FinUnions",Belgium,"300000 - 399999",0,2,5,2015-01-28
"Unión de Uniones de Agricultores y Ganaderos",Spain,"300000 - 399999",0,12,0,2015-05-18
"Fédération des Syndicats de la Distribution Automobile",France,300000,0,0.75,0,2015-12-24
"Armateurs de France",France,"200000 - 299999",1,2.5,1,2015-02-06
"Association Nationale des Sociétés par Actions",France,"200000 - 299999",0,1.25,1,2015-05-28
"Comité Régional des Pêches Maritimes et des Elevages Marins Nord - Pas de Calais / Picardie",France,"200000 - 299999",0,6,0,2015-09-14
"Confédération Française Démocratique du Travail",France,"200000 - 299999",0,10.75,2,2014-07-18
"Confédération des Associations Nationales de Tanneurs et Mégissiers de la Communauté Européenne",Belgium,"200000 - 299999",0,1,0,2015-03-16
"European Confederation of Directors' Associations",Belgium,"200000 - 299999",0,2,0,2011-12-13
"European Trade Union Committee for Education",Belgium,"200000 - 299999",3,9.75,13,2010-01-14
"Federazione Italiana Tabaccai",Italy,"200000 - 299999",2,1.5,0,2012-04-18
"Les entreprises du médicament",France,"200000 - 299999",2,0.75,1,2012-07-25
"Udvalget til Beskyttelse af Videnskabeligt Arbejde",Denmark,"200000 - 299999",0,0.25,0,2015-05-22
"Vágóállat és Hús Szakmaközi Szervezet és Terméktanács",Hungary,"200000 - 299999",1,0.25,0,2015-05-06
"Österreichischer Gewerkschaftsbund",Austria,"200000 - 299999",0,5,12,2010-10-17
"Federatie Nederlandse Vakbeweging",Netherlands,250000,0,2,5,2015-04-10
"Association Chimie du Végétal",France,240000,0,1,0,2015-12-23
"industriAll European Trade Union",Belgium,239000,0,9,54,2014-11-03
"Confédération Européenne de la Production de Maïs",France,220000,0,2.25,4,2014-04-22
"Fédération Nationale de l'Habillement",France,200000,0,0.75,5,2015-12-18
"Médiation du Tourisme et du Voyage",France,200000,0,6,0,2015-05-30
"dbb beamtenbund und tarifunion",Germany,200000,0,2.5,0,2010-01-15
"ABDA-Bundesvereinigung Deutscher Apothekerverbände",Germany,"100000 - 199999",2,1.25,1,2011-11-17
"ASSOCIAZIONE NAZIONALE ITALIANA IMPRENDITORI PESCA",Italy,"100000 - 199999",0,20,0,2011-10-19
"Abogacía Española, Delegación en Bruselas",Belgium,"100000 - 199999",3,1,0,2014-05-12
"Association des yaourts & laits fermentés vivants",Belgium,"100000 - 199999",0,1,1,2015-02-10
"Bundesverband der Wertpapierfirmen e.V.",Germany,"100000 - 199999",0,1.25,0,2015-04-13
"COOP de France",France,"100000 - 199999",1,2,3,2008-10-03
"Chartered Institute of Taxation","United Kingdom","100000 - 199999",0,1,0,2012-07-17
"Colegio Oficial de Agentes de la Propiedad Industrial",Spain,"100000 - 199999",0,4.75,0,2015-04-27
"Confédération Européenne des Entrepreneurs de Travaux Techniques Agricoles, Ruraux et Forestiers/ European Organisation of Agricultural and Rural Contractors / Zentralverband der europäischen Lohnunternehmer",Belgium,"100000 - 199999",0,1.25,6,2010-07-01
"Conseil supérieur du notariat",France,"100000 - 199999",2,2,2,2011-08-08
"Deutscher Anwaltverein",Germany,"100000 - 199999",4,5.5,13,2009-04-14
"EUROCINEMA, Association de producteurs de cinéma et de télévision",Belgium,"100000 - 199999",1,2,2,2011-10-03
"EUROPEAN FINANCIAL PLANNING ASSOCIATION",Spain,"100000 - 199999",0,0.75,0,2015-09-27
"European Academy of Allergy and Clinical Immunology",Switzerland,"100000 - 199999",0,2,1,2014-11-24
"European Association of Geoscientists and Engineers",Netherlands,"100000 - 199999",2,1.25,0,2015-10-14
"European Biosafety Network","United Kingdom","100000 - 199999",0,1,1,2015-03-05
"European Digital Media Association","United Kingdom","100000 - 199999",3,3,30,2012-02-01
FTF,Denmark,"100000 - 199999",0,5,0,2015-04-15
"Fédération Française d'Equitation",France,"100000 - 199999",2,1.25,4,2011-05-31
"Fédération Française du Bâtiment",France,"100000 - 199999",0,1.25,1,2009-07-23
"Fédération Nationale des Syndicats d'Exploitants Agricoles",France,"100000 - 199999",0,3,16,2009-08-13
"Fédération européenne des emplois de la famille",Belgium,"100000 - 199999",0,2.25,9,2015-10-02
"Julkisten ja hyvinvointialojen liitto JHL ry",Finland,"100000 - 199999",0,2,0,2015-02-26
"Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners",Finland,"100000 - 199999",1,1.25,62,2009-05-22
"Société civile des auteurs multimédia",France,"100000 - 199999",0,2.5,0,2015-09-24
"Union des Industries Chimiques",France,"100000 - 199999",1,2,0,2008-11-20
"Unione Italiana del Lavoro",Italy,"100000 - 199999",0,5.25,10,2015-02-24
"European Council of the Liberal Professions",Belgium,161671,3,1.5,1,2015-10-01
"Bygge-, Anlægs- og Trækartellet",Denmark,150000,0,2,0,2012-09-19
"European Confederation of Institutes of Internal Auditing",Belgium,150000,0,3,0,2014-10-21
"União Geral de Trabalhadores",Portugal,150000,0,2,1,2015-06-11
"Cercle des Réseaux européens",Belgium,136785,0,0.5,11,2015-02-04
"Svenska Lantbruksproducenternas Centralförbund SLC r.f.",Finland,132500,0,0.5,1,2015-04-29
"Deutscher Gutachter und Sachverständigen Verband",Germany,113698,0,0.25,0,2011-07-05
"Association Générale des Producteurs de Blé et autres céréales",France,100000,0,1,3,2008-12-12
"Association française du gaz",France,100000,0,0.75,2,2014-12-18
Interchanvre,France,100000,0,0.25,0,2010-10-25
"UNIÓN PROFESIONAL",Spain,100000,0,4,0,2011-09-19
"ADIV ASSOCIATION",France,"50000 - 99999",0,0.25,0,2015-01-29
Boerenbond,Belgium,"50000 - 99999",0,1.75,9,2012-09-07
"Bundestierärztekammer e.V.",Germany,"50000 - 99999",0,1,1,2015-09-11
"Confederação Nacional da Agricultura",Portugal,"50000 - 99999",0,2.25,1,2015-11-17
"Confédération Française du Commerce de gros et du Commerce International",France,"50000 - 99999",0,1.25,0,2013-03-04
"Conseil Supérieur de l'Ordre des Experts-Comptables",France,"50000 - 99999",0,0.25,0,2015-09-28
"European Association of Electrical Contractors",France,"50000 - 99999",0,1,6,2008-07-10
"European Association of Fish Producers Organisations",Belgium,"50000 - 99999",0,1,3,2011-07-17
"European Cabin Crew Association",Belgium,"50000 - 99999",3,1.75,1,2014-11-20
"European Federation of Accountants and Auditors for Small and Medium-sized Enterprises",Belgium,"50000 - 99999",0,1.75,0,2015-05-05
"European Federation of Origin Wines",Belgium,"50000 - 99999",0,1,10,2010-04-23
"European Fluorocarbons Technical Committee",Belgium,"50000 - 99999",0,1,0,2011-12-08
"European Nuclear Society",Belgium,"50000 - 99999",0,0.25,0,2015-02-03
"Federation of European Film Directors - Fédération Européenne des Réalisateurs de l'Audiovisuel",Belgium,"50000 - 99999",1,0.75,8,2009-09-08
"Fédération Nationale d'Agriculture Biologique des régions de France",France,"50000 - 99999",2,0.75,0,2014-09-25
"Fédération Nationale des Unions des Jeunes Avocats",France,"50000 - 99999",0,5,0,2015-06-10
"Fédération des Entreprises du Commerce et de la Distribution",France,"50000 - 99999",3,2.75,5,2014-08-18
"Fédération des Industriels des Réseaux d'Initiative Publique",France,"50000 - 99999",0,2.75,0,2015-11-03
"GMB trade union","United Kingdom","50000 - 99999",0,2,2,2010-08-03
"Kaupan liitto ry - Finnish Commerce Federation",Finland,"50000 - 99999",0,1,10,2015-02-06
"Organisation Centrale des producteurs exportateurs d'Ananas et Bananes de Côte d'Ivoire","Ivory Coast","50000 - 99999",0,0.75,4,2015-11-12
"REHVA - Federation of European Heating, Ventilation and Air-conditioning Associations",Netherlands,"50000 - 99999",1,1,0,2013-02-27
"Suomen Journalistiliitto - Finlands Journalistförbund ry",Finland,"50000 - 99999",0,6.5,0,2015-09-23
"Syndicat Français de l'Industrie Cimentière",France,"50000 - 99999",0,1,0,2015-04-13
"Syndicat des Opticiens Entrepreneurs",France,"50000 - 99999",0,2,0,2015-09-25
"The Central Organisation of Finnish Trade Unions SAK",Finland,"50000 - 99999",0,4,7,2013-06-18
"Uniunea Naţională a Notarilor Publici din România",Romania,"50000 - 99999",0,0.25,0,2010-09-13
"Verband Insolvenzverwalter Deutschlands",Germany,"50000 - 99999",0,1,0,2014-05-15
"Verband Österreichischer Zeitungen",Austria,"50000 - 99999",0,0.5,0,2008-07-08
"fédération du e-commerce et de la Vente à Distance",France,"50000 - 99999",0,2.75,1,2015-04-21
"groupe des entreprises du secteur cheval en agriculture",France,"50000 - 99999",0,1,0,2011-06-01
"Česká bankovní asociace","Czech Republic","50000 - 99999",0,1.5,0,2015-03-25
"UNIÓN DE PEQUEÑOS AGRICULTORES",Belgium,90000,0,1,2,2014-09-24
"European Federation of Geologists",Belgium,83974,1,1.5,0,2011-06-15
"Commission Intersydicale des Déshydrateurs Européens",Belgium,80000,0,0.75,2,2014-04-14
"Fachverband niedergelassener Tierheilpraktiker e.V.",Germany,80000,0,2.25,0,2015-02-11
"British Veterinary Association","United Kingdom",60000,0,0.5,0,2009-11-30
"European Association for Signal Processing",Italy,55000,0,0.5,0,2015-04-01
"Notářská komora České republiky","Czech Republic",52232,0,4,1,2015-02-03
"MVM Társaságcsoporti Szakszervezeti Szövetség",Hungary,51000,0,0.25,2,2015-05-21
"Conseil national de l'Ordre des chirurgiens-dentistes",France,50000,1,1,0,2012-02-06
EUROCOPYA,France,50000,0,1.5,0,2011-11-18
"European Confederation of Independent Trade Unions",Belgium,50000,4,1,13,2012-03-28
"FEDERACIÓN DE COFRADÍAS DE PESCADORES DEL PRINCIPADO DE ASTURIAS",Spain,50000,0,0.5,0,2009-09-03
"International Confederation of European Beet Growers",Belgium,50000,3,4,7,2011-08-26
"Professional Yachting Association",France,50000,0,0.75,0,2012-03-01
"AIRPORT SERVICES ASSOCIATION",Switzerland,"25000 - 49999",0,0.5,3,2015-05-05
"Arbeitgeberverband des privaten Bankgewerbes e.V.",Germany,"25000 - 49999",0,0.75,0,2015-02-11
Arbetsgivarverket,Sweden,"25000 - 49999",0,0.75,0,2015-03-10
"Asociatia Profesionala AGROBIOTECHROM organizatie non",Romania,"25000 - 49999",0,2,0,2015-03-06
"Association Française des Professionnels des Titres",France,"25000 - 49999",0,25,0,2015-09-02
"Association Française des investisseurs pour la croissance",France,"25000 - 49999",0,0.5,0,2013-06-27
"Association technique d'harmonisation",France,"25000 - 49999",0,0.25,1,2010-12-07
"BLOCUL NATIONAL SINDICAL",Romania,"25000 - 49999",0,14,0,2015-06-04
"Berufsverband Kinematografie",Germany,"25000 - 49999",0,1,0,2015-04-20
"Confederatia Nationala Sindicala ""CartelALFA""",Romania,"25000 - 49999",0,30.75,0,2015-06-05
"Confederazione italiana libere professioni",Italy,"25000 - 49999",4,1.25,0,2010-09-13
"European Council of Engineers Chambers",Austria,"25000 - 49999",0,3,0,2010-11-16
"European Metal Union",Belgium,"25000 - 49999",0,0.25,1,2014-06-12
"European Society of Radiology",Austria,"25000 - 49999",0,3,3,2014-04-30
"Fédération Française des Tuiles et Briques",France,"25000 - 49999",0,0.5,0,2009-01-16
"Fédération Générale du Travail de Belgique",Belgium,"25000 - 49999",0,0.5,5,2015-05-20
"Fédération Nationale des Syndicats d'Agents Généraux d'assurance",France,"25000 - 49999",0,0.25,0,2013-08-20
"Fédération des entreprises internationales de la mécanique et de l'électronique",France,"25000 - 49999",0,1.5,0,2009-03-16
"Groupement National des Entreprises de Voitures de Taxi et de Location avec Chauffeur",Belgium,"25000 - 49999",0,1.5,0,2015-09-10
"Institut der Wirtschaftsprüfer in Deutschland e.V.",Germany,"25000 - 49999",0,1,3,2015-03-16
"International Valuation Standards Council","United Kingdom","25000 - 49999",0,0.5,0,2015-02-09
"Irish Pharmacy Union",Ireland,"25000 - 49999",0,1.5,0,2011-07-18
LBC-NVK,Belgium,"25000 - 49999",1,0.75,2,2015-02-27
"Landwirtschaftskammer Österreich",Austria,"25000 - 49999",0,2.5,3,2009-04-16
"Malta Air Traffic Controllers' Association",Malta,"25000 - 49999",0,0.5,0,2015-06-06
"Malta Business Foundation",Malta,"25000 - 49999",2,1.75,0,2015-07-27
"Mouvement des Entrepreneurs sociaux",France,"25000 - 49999",0,0.75,0,2015-03-13
"Paris EUROPLACE",France,"25000 - 49999",0,1.25,4,2015-02-13
"Public Services International",France,"25000 - 49999",0,6.5,0,2015-02-05
"Svenska Insjöfiskarenas Centralförbund",Sweden,"25000 - 49999",0,1,0,2015-06-23
"Säveltäjät ja Sanoittajat Elvis ry",Finland,"25000 - 49999",0,3,0,2014-01-23
"UNION ARMATEURS A LA PECHE DE FRANCE",France,"25000 - 49999",0,1,0,2015-01-12
"Unione Nazionale Sindacale Imprenditori e coltivatori",Italy,"25000 - 49999",0,9,0,2015-10-05
"CONSEIL NATIONAL DES GREFFIERS DES TRIBUNAUX DE COMMERCE",France,40000,0,0.5,1,2015-06-08
"FEDERATION FRANCAISE DE LA FRANCHISE",France,40000,0,0.25,0,2015-04-21
"Chambre Nationale des Conseils en Investissements Financiers",France,30000,0,1302.25,0,2013-04-11
"Federação Nacional da Educação",Portugal,30000,0,10.5,0,2015-06-15
