"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Svenska kyrkan",Sweden,13087511,0,0.5,2,2016-12-07
"Secretariat of COMECE (Commission of the Episcopates of the European Union)",Belgium,"1250000 - 1499999",7,7.5,10,2011-10-07
"European Jewish Association",Belgium,830084,3,2,5,2014-02-06
"EKD-Büro Brüssel / EKD-Office Brussels",Belgium,"500000 - 599999",4,2.75,14,2011-10-12
"Synodalverband Südliches Ostfriesland",Germany,436000,0,6,0,2018-01-29
"European Union Office of The Church of Jesus Christ of Latter-day Saints",Belgium,"200000 - 299999",4,2.5,6,2013-09-18
"Africa Europe Faith and Justice Network",Belgium,"100000 - 199999",1,2,0,2009-06-11
"Church of Cyprus to the E.U. in Brussels",Belgium,"100000 - 199999",3,3,0,2010-07-13
"Conference of European Churches",Belgium,"100000 - 199999",9,1.75,2,2012-06-08
"Unie Vrijzinnige Verenigingen",Belgium,125000,1,2.5,0,2016-10-24
"Evangelical Lutheran Church of Finland, Church Council",Finland,120000,0,1,1,2018-06-13
"B'nai B'rith International","United States","50000 - 99999",1,1.5,8,2015-10-20
"European Evangelical Alliance",Netherlands,"50000 - 99999",1,2.5,0,2015-09-02
"Jesuit European Social Centre",Belgium,"50000 - 99999",3,3.25,2,2011-07-26
"Aid to the Church in Need",Germany,"25000 - 49999",0,1.25,2,2014-04-23
"Asociación Enraizados",Spain,"25000 - 49999",0,1,0,2017-01-07
"Churches' Commission for Migrants in Europe",Belgium,"25000 - 49999",1,1,2,2011-01-14
"European Union for Progressive Judaism","United Kingdom","25000 - 49999",0,1,0,2017-06-08
"Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz - Dienststelle des Länderbeauftragten",Germany,"25000 - 49999",0,1,0,2015-12-21
"Fondazione Migrantes",Italy,"25000 - 49999",0,1.75,0,2016-03-08
"Hospitality Europe",Belgium,"25000 - 49999",1,1,0,2015-04-16
"The Irish Natura And Hill Farmers Assocation",Ireland,"25000 - 49999",0,2,0,2016-10-17
"Welthaus Diözese Graz-Seckau",Austria,"25000 - 49999",0,1,0,2013-12-19
"EUROPEAN MUSLIMS LEAGUE",Italy,40000,0,21.25,0,2012-01-04
"Bahá'í International Community",Belgium,"10000 - 24999",5,1,1,2010-07-19
"Büro Brüssel des Generalsekretariats der Österreichischen Bischofskonferenz",Belgium,"10000 - 24999",1,0.75,0,2012-01-09
"Coordination Office of the Austrian Bishop’s Conference",Austria,"10000 - 24999",0,0.25,0,2013-12-04
"Dreikönigsaktion - Hilfswerk der Katholischen Jungschar",Austria,"10000 - 24999",0,0.75,2,2013-10-30
"EUROPEAN ALEVI UNION","United Kingdom","10000 - 24999",11,15.75,0,2016-03-19
"Irish Council of Churches","United Kingdom","10000 - 24999",0,3.75,0,2017-11-13
"Office of the Anglican Bishop in Europe",Belgium,"10000 - 24999",1,0.75,0,2016-01-14
"Representative Office of The Islamic community in Bosnia and Herzegovina",Bosnia-Herzegovina,"10000 - 24999",2,0.25,0,2016-03-23
"Représentation de l'Eglise Orthodoxe Roumaine auprès des Institutions européennes",Belgium,"10000 - 24999",2,1,0,2011-10-06
"The European Synagogue",Belgium,"10000 - 24999",1,1,0,2018-02-19
"UNIONE FRATI MINORI D'EUROPA ASBL",Belgium,"10000 - 24999",0,3.25,0,2016-07-08
"World Council of Churches",Switzerland,"10000 - 24999",0,0.5,2,2015-09-21
"Representation de l' Eglise de Grece aupres d' Union Europeenne",Belgium,20000,1,2,2,2015-10-18
"HINDU FORUM EUROPE",Belgium,16100,5,1.25,0,2018-06-05
"Ahmadiyya Association for Propagation of Islam","United Kingdom","< 9,999",0,7,0,2015-04-22
"Bektashi World Headquarters",Albania,"< 9,999",0,1,0,2018-09-04
"Chapel for Europe",Belgium,"< 9,999",0,0.5,0,2013-02-15
"Comité Protestant évangélique pour la Dignité Humaine",France,"< 9,999",0,0.25,0,2011-09-06
"Committee of the Representatives of the Orthodox Churches in European Union",Belgium,"< 9,999",0,3.5,1,2017-01-27
"Démocratie, Construction européenne et Religions",France,"< 9,999",0,0.75,0,2011-10-05
"European Buddhist Union",France,"< 9,999",0,3,0,2018-02-03
"Israelitische Kultusgemeinde Wien",Austria,"< 9,999",0,0.5,1,2014-12-02
"Karmapa Foundation Europe",Belgium,"< 9,999",0,1.25,0,2016-02-01
"Kommissariat der deutschen Bischöfe - Katholisches Büro in Berlin -",Germany,"< 9,999",2,0.75,1,2013-03-05
"Pro-Cathedral of the Holy Trinity Brussels",Belgium,"< 9,999",2,0.25,0,2016-06-21
"Representation of the Ukrainian Orthodox Church Kyiv Patriarchate to the European Institutions",Ukraine,"< 9,999",0,0.25,1,2015-02-20
"SGI Europe Buddhist Association",Germany,"< 9,999",0,0.5,0,2014-06-18
"Zentralkomitee der deutschen Katholiken",Germany,"< 9,999",0,0.25,0,2016-09-05
"Bulgarian Old Catholic Church",Bulgaria,"no figure available",0,2,0,2018-06-07
"European Office of the Church of Scientology for Public Affairs & Human Rights",Spain,"no figure available",1,1.25,0,2017-07-18
"European Union for Progressive Judaism Rabbinic Assembly",Belgium,"no figure available",0,0.25,0,2017-04-03
"ISKCON Communications Europe",Belgium,"no figure available",4,1,0,2018-06-29
