"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Isis Innovation Ltd","United Kingdom",13762034,0,0.5,1,2015-12-18
"INTRASOFT International",Luxembourg,"> 10,000,000",0,500,1,2015-04-28
"IRG Advisors LLP","United Kingdom","> 10,000,000",0,290,1,2015-03-27
"SSR General and Management Limited","United Kingdom","> 10,000,000",0,26,1,2015-02-24
customs4trade,Belgium,"9000000 - 9249999",0,10,0,2015-02-10
Fleishman-Hillard,Belgium,"6250000 - 6499999",46,26.5,29,2009-03-17
Burson-Marsteller,Belgium,"5000000 - 5249999",26,35,6,2008-10-31
"Interel European Affairs",Belgium,"4750000 - 4999999",21,25.5,11,2008-12-11
"Hill & Knowlton International Belgium",Belgium,"4500000 - 4749000",10,14.75,7,2008-12-22
"AGR FOOD MARKETING",Spain,4306238,0,24,1,2015-04-20
"J J tactical LLP","United Kingdom",3800000,0,10.25,0,2014-08-20
Kreab,Belgium,"3250000 - 3499999",26,30,65,2008-10-15
"G Plus Ltd","United Kingdom","3000000 - 3249999",23,22,44,2008-12-15
"APCO Worldwide","United States","2500000 - 2749000",27,7.5,15,2009-02-06
Grayling,Belgium,"2250000 - 2499999",9,23.5,6,2010-04-27
"Rohde Public Policy",Belgium,"2250000 - 2499999",10,9,5,2010-10-01
"cabinet DN consulting sprl",Belgium,"2250000 - 2499999",23,25,23,2010-06-02
"Ecofys Netherlands B.V.",Netherlands,"2000000 - 2249999",0,8.25,3,2011-03-28
"HII GmbH Industrieanlagen Bau und Beratung",Germany,2000000,0,21,0,2015-04-20
"Avisa Partners",Belgium,"1750000 - 1999999",5,11,41,2009-05-07
"Edelman Public Relations Worldwide",Belgium,"1750000 - 1999999",14,6.75,20,2012-01-23
"FIPRA International Limited","United Kingdom","1500000 - 1999999",26,28.75,45,2010-10-06
"FTI Consulting Belgium","United States","1750000 - 1999999",30,32.5,54,2010-04-01
"Hume Brophy",Ireland,"1750000 - 1999999",19,17,28,2009-01-07
"Cambre Associates",Belgium,"1500000 - 1749000",10,19.25,5,2009-02-09
"Weber Shandwick",Belgium,"1500000 - 1749000",14,15,22,2009-05-29
"Insight Consultants",Ireland,"1250000 - 1499999",0,6,2,2015-11-13
"ARCTURUS GROUP",Belgium,"1000000 - 1249999",9,15,14,2011-09-16
"Brunswick Group LLP","United Kingdom","1000000 - 1249999",15,10.5,17,2010-11-02
COGEA,Italy,"1000000 - 1249999",0,9,0,2015-01-19
EURALIA,Belgium,"1000000 - 1249999",9,11,1,2009-12-31
"ACTION EUROPE",Belgium,1200000,0,3.75,0,2014-11-19
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,1115534,0,12.75,0,2011-05-06
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1000000,4,9,1,2011-10-27
"aviationexperts PCS GmbH & Co. KG",Germany,1000000,0,4.5,0,2015-03-26
"ARS Progetti Spa",Italy,"900000 - 999999",1,3.75,0,2014-07-16
"Community Public Affairs",Belgium,"900000 - 999999",10,7.25,14,2014-01-14
"Instinctif Partners","United Kingdom","900000 - 999999",2,11.75,0,2011-01-06
"LOGOS Public Affairs",Belgium,"900000 - 999999",7,10,3,2008-12-16
"Strategis Communications sprl",Belgium,"900000 - 999999",1,6,0,2009-01-18
"EPPA SA",Belgium,"800000 - 899999",9,14,15,2009-02-26
"Zabala Innovation Consulting, S.A.",Spain,850000,5,4,1,2013-11-19
Aspect,Belgium,"700000 - 799999",3,4,8,2012-08-22
"Corporate & Public Strategy Advisory Group",Belgium,"700000 - 799999",0,10,0,2011-10-12
"EZN Erfinderzentrum Norddeutschland GmbH",Germany,700000,0,9,0,2015-02-13
"Ambiente Italia srl",Italy,"600000 - 699999",0,7.5,0,2015-07-30
"Cicero Consulting Limited","United Kingdom","600000 - 699999",5,20.5,6,2011-10-18
"PA Europe",Belgium,"600000 - 699999",4,7.5,9,2009-11-23
PwCIL,"United Kingdom","600000 - 699999",7,3,30,2010-11-12
"A.T. MANAGEMENT FUNDING AND DEVELOPMENT CONSULTANTS",Greece,610088,0,4,0,2015-10-15
"Albright Stonebridge Group LLC","United States","500000 - 599999",0,1,2,2015-12-08
"Hanover Communications International",Belgium,"500000 - 599999",8,10,4,2014-10-10
"Luther Pendragon Brussels",Belgium,"500000 - 599999",4,5.25,1,2011-08-31
"Schuman Associates",Belgium,"500000 - 599999",8,7.5,2,2010-06-02
"PACT European Affairs",Belgium,550000,0,6,2,2015-02-23
"APC ADVANCED PLANNING-CONSULTING S.A.",Greece,"400000 - 499999",0,6.25,0,2009-12-30
"Afore Consulting",Belgium,"400000 - 499999",8,3.75,15,2011-01-04
"Athenora Consulting",Belgium,"400000 - 499999",5,5,8,2008-06-23
"EUK Consulting",Belgium,"400000 - 499999",5,3.25,7,2009-03-09
