"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Svenska kyrkan",Sweden,282892231,0,0.5,2,2016-12-07
"EKD-Büro Brüssel / EKD-Office Brussels",Belgium,"400000 - 499999",5,2.5,14,2011-10-12
"Conference of European Churches",Belgium,"100000 - 199999",5,1.75,2,2012-06-08
"Unie Vrijzinnige Verenigingen",Belgium,125000,2,2.5,0,2016-10-24
"B'nai B'rith International","United States","50000 - 99999",1,1.5,8,2015-10-20
"Church Council, Evangelical Lutheran Church of Finland",Finland,58200,0,6,0,2016-12-15
"Aid to the Church in Need",Germany,"25000 - 49999",0,1.25,2,2014-04-23
"Churches' Commission for Migrants in Europe",Belgium,"25000 - 49999",2,1,2,2011-01-14
"EUROPEAN ALEVI UNION","United Kingdom","25000 - 49999",0,5.25,0,2016-03-19
"European Evangelical Alliance",Netherlands,"25000 - 49999",0,2.5,0,2015-09-02
"European Jewish Congress European Office",Belgium,"25000 - 49999",4,3.25,4,2011-08-18
"Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz - Dienststelle des Länderbeauftragten",Germany,"25000 - 49999",0,1,0,2015-12-21
"Fondazione Migrantes",Italy,"25000 - 49999",0,1.75,0,2016-03-08
"Jesuit European Social Centre",Belgium,"25000 - 49999",2,2,2,2011-07-26
"Representation de l' Eglise de Grece aupres d' Union Europeenne",Belgium,45000,1,2,2,2015-10-18
"EUROPEAN MUSLIMS LEAGUE",Italy,40000,0,21.25,0,2012-01-04
"Büro Brüssel des Generalsekretariats der Österreichischen Bischofskonferenz",Belgium,"10000 - 24999",1,0.75,0,2012-01-09
"Coordination Office of the Austrian Bishop’s Conference",Austria,"10000 - 24999",0,0.25,0,2013-12-04
"European Union Office of The Church of Jesus Christ of Latter-day Saints",Belgium,"10000 - 24999",5,3,6,2013-09-18
"Hospitality Europe",Belgium,"10000 - 24999",0,1,0,2015-04-16
"Office of the Anglican Bishop in Europe",Belgium,"10000 - 24999",2,0.75,0,2016-01-14
"The Ecumenical EU Office",Sweden,"10000 - 24999",0,1.75,0,2010-12-06
"Welthaus Diözese Graz-Seckau",Austria,"10000 - 24999",0,1,0,2013-12-19
"World Council of Churches",Switzerland,"10000 - 24999",0,0.5,2,2015-09-21
"Ahmadiyya Association for Propagation of Islam","United Kingdom","< 9,999",0,7,0,2015-04-22
"Bahá'í International Community",Belgium,"< 9,999",0,1,1,2010-07-19
"Chapel for Europe",Belgium,"< 9,999",2,0.75,0,2013-02-15
"Church of Cyprus to the E.U. in Brussels",Belgium,"< 9,999",2,2,0,2010-07-13
"Churches' Legislation Advisory Service","United Kingdom","< 9,999",0,0.25,0,2011-11-23
"Comité Protestant évangélique pour la Dignité Humaine",France,"< 9,999",0,0.25,0,2011-09-06
"Dreikönigsaktion - Hilfswerk der Katholischen Jungschar",Austria,"< 9,999",0,1,2,2013-10-30
"Démocratie, Construction européenne et Religions",France,"< 9,999",0,0.25,0,2011-10-05
"European Jewish Association",Belgium,"< 9,999",2,2,5,2014-02-06
"FORUMBrussels International",Germany,"< 9,999",1,1,0,2011-08-02
"Hindu Forum of Europe",Belgium,"< 9,999",1,2,0,2013-09-11
"Israelitische Kultusgemeinde Wien",Austria,"< 9,999",0,0.5,1,2014-12-02
"Karmapa Foundation Europe",Belgium,"< 9,999",0,1.25,0,2016-02-01
"Kommissariat der deutschen Bischöfe - Katholisches Büro in Berlin -",Germany,"< 9,999",4,0.75,1,2013-03-05
"Pro-Cathedral of the Holy Trinity Brussels",Belgium,"< 9,999",0,0.25,0,2016-06-21
"QUALITIVIDADE - CONSULTORIA LDA",Portugal,"< 9,999",0,3,0,2014-10-29
"Representation of the Russian Orthodox Church to the European Institutions",Belgium,"< 9,999",0,0.5,0,2014-02-04
"Representation of the Ukrainian Orthodox Church Kyiv Patriarchate to the European Institutions",Ukraine,"< 9,999",0,0.25,1,2015-02-20
"Representative Office of The Islamic community in Bosnia and Herzegovina",Bosnia-Herzegovina,"< 9,999",1,0.25,0,2016-03-23
"Représentation de l'Eglise Orthodoxe Roumaine auprès des Institutions européennes",Belgium,"< 9,999",2,1.25,0,2011-10-06
"SGI Europe Buddhist Association",Germany,"< 9,999",0,0.5,0,2014-06-18
"Secretariat of COMECE (Commission of the Episcopates of the European Community)",Belgium,"< 9,999",8,8.25,10,2011-10-07
"UNIONE FRATI MINORI D'EUROPA ASBL",Belgium,"< 9,999",0,3.25,0,2016-07-08
"Zentralkomitee der deutschen Katholiken",Germany,"< 9,999",0,0.25,0,2016-09-05
