"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
EUROCITIES,Belgium,"3250000 - 3500000",0,,51,2009-12-18
"Region of Istria",Croatia,"1000000 - 1250000",0,,0,2011-12-13
"House of the Dutch Provinces",Belgium,"700000 - 800000",0,,3,2010-11-05
"Regio Randstad",Netherlands,"600000 - 700000",0,,0,2011-11-18
"Vereniging van Nederlandse Gemeenten",Netherlands,"600000 - 650000",0,,3,2010-09-01
"Central Denmark EU Office",Belgium,"450000 - 500000",0,,3,2011-12-15
"North Norway European Office",Norway,"450000 - 500000",0,,0,2011-09-06
"Local Government Denmark",Denmark,"400000 - 450000",0,,2,2011-09-15
"Association des Régions de France",France,"350000 - 400000",0,,0,2011-10-18
"Eastern Norway County Network",Norway,"300000 - 350000",0,,0,2009-02-20
"Mid Sweden European Office",Belgium,"300000 - 350000",0,,1,2012-01-30
"REGIONE EMILIA-ROMAGNA - P.O. GESTIONE PESCA E ACQUACOLTURA",Italy,"300000 - 350000",0,,3,2011-06-29
"G-4 Europa",Belgium,"250000 - 300000",0,,0,2008-10-16
"Provincie Noord-Holland",Netherlands,"250000 - 300000",0,,1,2012-01-27
"Bureau Brussel Vewin -Unie van Waterschappen",Netherlands,"200000 - 250000",0,,2,2012-01-13
"JLAG LTD","United Kingdom","150000 - 200000",0,,0,2010-06-25
"Malmö stad/City of Malmö",Sweden,"150000 - 200000",0,,0,2011-08-02
"Regionalne Biuro Województwa Łódzkiego w Brukseli",Belgium,"150000 - 200000",0,,0,2012-01-10
"Consejería de Agricultura. Junta de Andalucía",Spain,"100000 - 150000",0,,0,2011-01-25
"FUNDACIÓN COMUNIDAD VALENCIANA-REGIÓN EUROPEA",Belgium,"100000 - 150000",0,,1,2010-12-15
"Handwerkskammer Frankfurt-Rhein-Main",Germany,"100000 - 150000",0,,1,2010-11-30
"The Association of Finnish Local and Regional Authorities",Finland,"100000 - 150000",0,,2,2011-09-26
"Association européenne des élus de montagne",France,"50000 - 100000",0,,0,2012-01-03
"Biuro Regionalne Województwa Podlaskiego",Poland,"50000 - 100000",0,,0,2011-11-15
"Climate Alliance of European cities with indigenous rainforest peoples",Germany,"50000 - 100000",0,,6,2010-12-07
"Consorzio Teatro Pubblico Pugliese",Italy,"50000 - 100000",0,,0,2009-12-18
"Hampshire County Council","United Kingdom","50000 - 100000",0,,0,2010-11-25
"Hydrogen, fuel cells, Electro-mobility in European Regions",Belgium,"50000 - 100000",0,,0,2010-08-11
"National Union of County Councils of Romania",Romania,"50000 - 100000",0,,0,2011-08-10
"Organización de Productores Pesqueros de Almadrabas",Spain,"50000 - 100000",0,,0,2011-09-30
"Provincie Noord-Brabant",Netherlands,"50000 - 100000",0,,1,2012-02-08
"Romanian Association of Cities",Romania,"50000 - 100000",0,,0,2012-01-02
"ARCO LATINO",Spain,"< 50,000",0,,0,2011-02-04
"ASOCIACION IMPULSO Y DESARROLLO",Spain,"< 50,000",0,,0,2011-11-15
