"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Aviation Strategy & Concepts",Belgium,"400000 - 499999",1,3,3,2012-08-23
"Carine Moitier",Belgium,400000,0,5,0,2016-12-22
TELAGE,Belgium,250000,0,0.5,1,2014-12-19
"GIGLIO & Partners",Italy,"100000 - 199999",0,0.5,0,2010-01-06
"M. Raymond BARBIER",France,"100000 - 199999",0,0.25,0,2015-10-28
"Vlassembrouck Consult",Belgium,"100000 - 199999",1,1,0,2012-01-10
"Smart Business Diplomacy",Belgium,165000,0,1,0,2011-05-07
"Ann Becker Consulting Sprl",Belgium,"50000 - 99999",0,1,1,2015-03-12
"BMGindroz Consulting",Switzerland,"50000 - 99999",0,1,0,2016-10-04
"Bybrook Capital LLP","United Kingdom","50000 - 99999",0,0.75,0,2016-09-27
"Cabinet Bob Schmitz",Belgium,"50000 - 99999",1,2,1,2012-11-18
"Dr. Horst Hejny Consulting",Germany,"50000 - 99999",0,1,0,2015-05-29
"James Ramsay",Belgium,"50000 - 99999",1,1,0,2012-07-01
"Katarzyna Jakimowicz",Poland,"50000 - 99999",1,1,0,2015-01-20
"Regulatory Solutions",Belgium,"50000 - 99999",0,0.25,1,2016-12-08
"SC Alma Trade & Tours SRL",Romania,"50000 - 99999",0,1.5,0,2016-12-14
"The Skill Set",Ireland,"50000 - 99999",1,1,0,2012-04-22
Veniceside,Italy,"50000 - 99999",0,0.75,0,2015-03-11
"ing. Massimo Di Rosario",Italy,"50000 - 99999",0,0.5,0,2016-11-14
ALTERTOX,Belgium,80000,1,1,0,2014-04-29
"HS Data Analysis and Consultancy",Germany,80000,0,1,0,2016-08-16
GrahamBishop.com,"United Kingdom",50000,0,2,5,2015-02-09
"Acceleratio B.V.",Netherlands,"25000 - 49999",0,1,0,2016-09-29
"Bartholomew  Advisors SCS",Belgium,"25000 - 49999",1,1,5,2013-08-21
"Cadenza Consulting",Belgium,"25000 - 49999",0,1,0,2015-05-11
"Ciani Consulenti",Italy,"25000 - 49999",0,2,0,2016-05-13
"Elizabeth Drury","United Kingdom","25000 - 49999",1,0.75,0,2013-09-04
Fortzer,Belgium,"25000 - 49999",1,1,0,2011-09-01
"James Cogan",Italy,"25000 - 49999",0,1,0,2016-05-08
"John Swift Consultancy","United Kingdom","25000 - 49999",0,1,0,2015-07-17
"Mathieu Fonteneau",Belgium,"25000 - 49999",0,1,2,2015-03-24
"Pollet Environmental Consulting",Belgium,"25000 - 49999",0,0.25,0,2009-02-20
"Schellter Strategy Consulting bvba",Belgium,"25000 - 49999",0,2,0,2011-07-22
"Shifting Values e.U.",Austria,"25000 - 49999",0,1,0,2013-03-07
"Sidekick Project Support",Netherlands,"25000 - 49999",0,1,0,2016-11-28
"VOF Herman Eerdekens",Belgium,"25000 - 49999",0,0.5,0,2015-04-23
"Van Dijk EU Consultancy",Netherlands,"25000 - 49999",0,1,0,2015-05-06
"Euro Freelancers",Belgium,45600,1,0.75,0,2012-02-09
"Marko Chalupa - Agency for Marketing, Webdesign and Web-development",Germany,35000,0,1.75,0,2013-11-02
"KM Brussels",Belgium,30000,0,1,0,2014-11-13
"StigsonPartners AB",Sweden,30000,0,0.25,0,2016-05-08
"Consumer Packaging Manufacturers Alliance","United Kingdom",25000,0,1,0,2016-10-24
"Parker Doe Partnership LLP","United Kingdom",25000,0,0.5,0,2016-04-14
"AC+ Consult SPRL",Belgium,"10000 - 24999",0,1,0,2016-08-04
"ASDM Consulting",Belgium,"10000 - 24999",1,1.25,2,2015-07-30
"Anja Siegemund",Belgium,"10000 - 24999",1,1,0,2011-09-11
"Business Platform Europe",Belgium,"10000 - 24999",1,0.25,0,2013-12-23
"CHARHON CONSULTANTS",Belgium,"10000 - 24999",0,1,0,2016-04-05
"Christopher Irwin","United Kingdom","10000 - 24999",0,0.25,0,2009-03-20
"Commentum political communication",Germany,"10000 - 24999",0,0.5,0,2013-01-31
"Degeorges Consulting ehf.",Iceland,"10000 - 24999",0,0.25,0,2014-12-02
"ELSA &PARTNERS",Spain,"10000 - 24999",0,1,7,2015-04-22
ESB,"United Kingdom","10000 - 24999",0,1,5,2015-02-16
EuroCogit,Italy,"10000 - 24999",1,2.5,0,2016-11-22
"F.I.S.C. - Federazione Italiana Sport Cinofili A.S.D. A.P.S.",Italy,"10000 - 24999",0,9.75,0,2014-01-26
"Fastlane Consulting",Belgium,"10000 - 24999",0,0.5,0,2013-06-27
FortyEight,Belgium,"10000 - 24999",1,1,11,2015-05-20
"Gray EU Affairs",Belgium,"10000 - 24999",0,1,0,2015-10-05
"Gustaaf Bos Consulting",Belgium,"10000 - 24999",0,0.75,0,2015-11-18
"Hongwei SHI",China,"10000 - 24999",0,0.5,0,2016-07-09
"JEN Sandra",Belgium,"10000 - 24999",0,0.75,0,2011-11-09
"Jean Verrier",France,"10000 - 24999",0,0.5,0,2015-11-23
"Konstantina Zoehrer",Austria,"10000 - 24999",0,1,0,2015-09-07
"LDG Consulting di Alvaro Longobardi",Italy,"10000 - 24999",0,1.5,0,2016-09-26
"Lourdes Cavero Mestre",Spain,"10000 - 24999",0,2,0,2015-01-19
"Luca Ruggero Jacovella",Italy,"10000 - 24999",0,1,0,2013-06-06
Lumina,Belgium,"10000 - 24999",1,1,0,2011-05-23
MAQASSAR,Belgium,"10000 - 24999",0,0.25,0,2011-05-10
"Marco Casali",Italy,"10000 - 24999",0,2,0,2015-11-01
"Marco Lusetti",Italy,"10000 - 24999",0,1,0,2015-09-23
"Marking Public Affairs bvba",Belgium,"10000 - 24999",1,1,0,2011-12-19
"Mgruppen Svenska Managementgruppen AB",Sweden,"10000 - 24999",0,0.25,4,2016-07-07
Multivoxx,Belgium,"10000 - 24999",0,1,0,2016-09-26
"Odesseana Consulting",Germany,"10000 - 24999",1,1,0,2014-09-11
"PRK CONTACTS",France,"10000 - 24999",0,0.5,0,2016-02-25
"Petr Kolar","Czech Republic","10000 - 24999",0,1,1,2014-12-08
"Phil Papard Consulting","United Kingdom","10000 - 24999",0,0.25,0,2015-09-09
"Pionero Partners","United Kingdom","10000 - 24999",0,0.75,0,2015-10-19
"Professor Eric Sampson","United Kingdom","10000 - 24999",0,0.5,0,2016-11-20
"Relations and Property Management bvba",Belgium,"10000 - 24999",1,0.5,0,2012-03-17
"SRA Consulting",Austria,"10000 - 24999",1,0.25,0,2015-07-16
"Sophie Delair",Belgium,"10000 - 24999",0,0.5,0,2014-02-03
"The Fullilove Consulting Group","United States","10000 - 24999",1,1,0,2009-02-10
"Toerkel Consulting GmbH",Germany,"10000 - 24999",0,0.25,1,2015-05-14
Videokuvatalo,Finland,"10000 - 24999",0,1,1,2015-10-13
"nicola capurso",Italy,"10000 - 24999",0,0.5,0,2015-03-25
"Alessandra Zambrano",Italy,20000,0,50,0,2014-08-07
"Candice Joy Alexander",Greece,20000,0,1,0,2014-08-08
"Josep Salvat i Sangrà",Spain,18000,0,1,0,2015-06-15
"DIERREPI CONSULTING di Dom Rosario Poidimani",Italy,15000,0,1.75,0,2012-02-28
"Jonkergouw Creating Solutions - The Social Innovators",Netherlands,15000,0,0.5,0,2015-02-20
"Mindbase Strategic Consulting Stefan Herwig e.K.",Germany,15000,0,1,1,2016-01-14
"Vandoren Consulting",Belgium,15000,0,0.5,3,2015-05-13
"Natuur en Recht (english name: Collective of Animal and Plant Stakeholders)",Netherlands,12000,1,0.75,0,2016-06-03
"Les Dossiers Européens",Belgium,10000,1,1,0,2015-06-16
"2thePoint Consulting",Belgium,"< 9,999",1,1,0,2015-01-29
"ADIMO sprl / Every European Digital",Belgium,"< 9,999",0,1,1,2015-01-05
"AMC Strategy","United Kingdom","< 9,999",0,0.25,4,2015-01-19
"ANGEL REBOLLO PIRIZ",Belgium,"< 9,999",1,1,0,2015-01-13
"ANTON KERN D.I.",Belgium,"< 9,999",0,0.25,0,2012-03-04
"ARBELLOT-REPAIRE François",France,"< 9,999",0,0.75,0,2016-05-24
"Aidan Stradling Consultancy - North East England","United Kingdom","< 9,999",0,0.25,0,2009-04-20
"Alberto Alemanno",France,"< 9,999",0,0.25,0,2015-01-25
Alluve,Netherlands,"< 9,999",0,0.25,0,2014-01-11
"Antiterrorism Consulting",Italy,"< 9,999",0,0.25,0,2014-03-31
"BJD Reinsurance Consulting, SARL",France,"< 9,999",0,0.25,0,2013-06-11
BONANOVA,Belgium,"< 9,999",0,1,3,2013-11-26
"Baumgartner Consulting FZE","United Arab Emirates","< 9,999",0,0.25,0,2016-10-30
"Bird and Associates","United Kingdom","< 9,999",0,0.25,0,2016-12-29
"Bob Rayner Consulting Limited","United Kingdom","< 9,999",0,1,0,2015-09-14
"Brucovie Consult sprl",Belgium,"< 9,999",0,0.75,0,2012-05-23
"Bureau Bungenberg",Germany,"< 9,999",0,1,0,2014-06-10
"Butler Business & Media LLC dba Music Confidential","United States","< 9,999",0,0.25,1,2015-06-29
CHORUSCONSULT,Belgium,"< 9,999",0,0.25,0,2009-01-27
"CRISTINA VICINI",Belgium,"< 9,999",0,1,0,2012-04-10
"Chris Davies Ltd","United Kingdom","< 9,999",0,1,0,2014-12-02
"Classic IT Services",Netherlands,"< 9,999",0,1,0,2016-11-29
"Coline Donon",Belgium,"< 9,999",0,0.5,0,2014-11-15
"Cristina Da Milano",Italy,"< 9,999",0,0.5,0,2016-10-08
"DOCUMENTACION DE MEDIOS S.A.",Spain,"< 9,999",0,1.5,0,2013-12-18
"DORADZTWO WIERZCHOWSKI",Poland,"< 9,999",0,1,0,2008-09-17
Datajockey,Germany,"< 9,999",0,0.25,0,2012-08-07
"Demorais Consulting Ltd","United Kingdom","< 9,999",0,0.5,0,2012-02-27
"Dr. Spoo Umwelt-Consulting",Germany,"< 9,999",0,1,0,2012-10-25
"E J Consultants (London) Limited","United Kingdom","< 9,999",0,1,0,2015-02-02
"E-Energy Market BV",Netherlands,"< 9,999",0,0.25,0,2008-08-13
"EURO - PA",France,"< 9,999",1,1,0,2014-04-30
"Ekaterina Tsaranok",Belgium,"< 9,999",1,1,0,2015-01-29
"Emilie Martin Consulting",Germany,"< 9,999",0,0.75,0,2013-06-03
"Emilio Domínguez del Valle",Spain,"< 9,999",0,0.5,0,2015-06-25
"Emmanuele Cangianelli",Italy,"< 9,999",0,1,0,2013-01-24
