"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",6,19,21,2009-01-07
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2750000 - 2999999",0,38,0,2016-05-31
"Conference of Peripheral Maritime Regions (CRPM)",France,"2750000 - 2999999",2,25,26,2008-11-28
"European Association Automotive Suppliers",Belgium,"2750000 - 2999999",6,16,50,2011-05-06
"European Fund and Asset Management Association",Belgium,"2750000 - 2999999",9,10.5,6,2008-11-28
"European Youth Forum",Belgium,"2750000 - 2999999",13,28.5,36,2012-01-18
"G Plus Ltd","United Kingdom","2750000 - 2999999",28,19,44,2008-12-15
Natagora,Belgium,"2750000 - 2999999",0,50,0,2016-08-18
"Institut d’ Investigació en Ciències de la Salut Germans Trias i Pujol",Spain,2943000,0,4.5,0,2016-11-09
"AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA",Italy,2814332,3,1.5,3,2015-10-29
"Deutscher Industrie- und Handelskammertag e.V.",Germany,2810000,19,18.25,56,2009-02-20
"Dipartimento di Epidemiologia",Italy,2800000,0,75.75,0,2015-12-28
"Volkswagen Aktiengesellschaft",Germany,2800000,4,15.5,77,2009-01-15
"Third Generation Environmentalism Ltd","United Kingdom",2782638,6,25,60,2012-01-11
"Siemens AG",Germany,2764773,13,11.5,52,2008-12-12
"APCO Worldwide","United States","2500000 - 2749000",23,6.75,15,2009-02-06
"Avisa Partners",Belgium,"2500000 - 2749000",4,10.5,41,2009-05-07
"BP p.l.c.","United Kingdom","2500000 - 2749000",4,3,43,2008-11-14
"Barilla Center for Food & Nutrition Foundation",Italy,"2500000 - 2749000",0,3.25,5,2010-03-17
"Bundesverband deutscher Banken e.V.",Germany,"2500000 - 2749000",2,18,51,2008-09-05
"Daimler Aktiengesellschaft",Germany,"2500000 - 2749000",5,8,41,2008-12-18
"European University Association",Belgium,"2500000 - 2749000",11,38.5,18,2010-01-12
"GEIE des Utilisateurs d'ERTMS",Belgium,"2500000 - 2749000",0,12,0,2013-09-03
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2500000 - 2749000",5,10.25,29,2008-08-01
Grayling,Belgium,"2500000 - 2749000",13,21.5,6,2010-04-27
"IDIADA Automotive Technology, S.A",Spain,"2500000 - 2749000",0,2,0,2016-11-02
"International Swaps and Derivatives Association","United States","2500000 - 2749000",2,5,10,2009-02-08
"Samsung Electronics Europe","United Kingdom","2500000 - 2749000",5,3.75,24,2011-11-30
"TOTAL S.A.",France,"2500000 - 2749000",6,6,28,2008-12-16
WindEurope,Belgium,"2500000 - 2749000",3,7.25,82,2011-08-24
"Zentralverband Elektrotechnik- und Elektronikindustrie e.V.",Germany,"2500000 - 2749000",6,8.5,10,2011-08-24
"Stichting Cinekid",Netherlands,2635009,0,17,0,2016-09-21
ACTIRIS,Belgium,2580408,0,3,0,2016-01-26
"Verband der Automobilindustrie",Germany,2500000,3,14,50,2010-12-14
"ELECTRICITE DE FRANCE",France,"2250000 - 2499999",12,14,49,2009-06-12
ENGIE,France,"2250000 - 2499999",5,13,71,2011-12-13
"EUTOP Brussels SPRL",Belgium,"2250000 - 2499999",0,8.75,1,2016-12-22
"Friends of Europe",Belgium,"2250000 - 2499999",1,26.5,44,2011-09-23
FuelsEurope,Belgium,"2250000 - 2499999",7,10.5,35,2010-12-08
"Goldsmiths, University of London","United Kingdom","2250000 - 2499999",0,50,0,2016-10-13
"Instituto da Segurança Social dos Açores",Portugal,"2250000 - 2499999",0,107,0,2016-09-20
"National Széchényi Library, Hungary",Hungary,"2250000 - 2499999",0,0.75,0,2016-06-02
"Non Profit Enterprise and Self-sustainability Team","United States","2250000 - 2499999",0,1,0,2015-03-02
"Open Society European Policy Institute",Belgium,"2250000 - 2499999",12,19.75,61,2008-08-21
"The Cobalt Development Institute","United Kingdom","2250000 - 2499999",0,7,4,2015-02-10
"Weber Shandwick",Belgium,"2250000 - 2499999",15,15,22,2009-05-29
"European Agency for Special Needs and Inclusive Education",Denmark,2309335,4,26,5,2015-02-09
"BASF SE",Germany,2300000,10,12.5,35,2008-12-16
"Airports Council International - European Region",Belgium,"2000000 - 2249999",5,11.25,56,2010-04-22
