"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Mission Opérationnelle Transfrontalière",France,"900000 - 999999",0,6,0,2015-09-14
"Association of European Border Regions",Germany,"300000 - 399999",0,2.5,2,2015-10-22
"North Calotte Council",Finland,315800,0,5.25,0,2015-12-03
"Eixo Atlantico do Noroeste Peninsular",Spain,"200000 - 299999",0,3.75,0,2015-10-08
"Határon Átnyúló Kezdeményezések Közép-európai Segítő Szolgálata",Hungary,"100000 - 199999",0,2,0,2015-12-29
"European  grouping of territorial Cooperation, ZASNET",Portugal,154848,0,2,0,2015-11-04
"European Straits Initiative",France,"50000 - 99999",0,6.25,0,2015-10-20
"Initiativkreis metropolitane Grenzregionen",Germany,"25000 - 49999",0,5,0,2015-12-07
"Eurodistrict PAMINA",France,"10000 - 24999",0,0.25,0,2015-10-28
"Climate Alliance of European cities with indigenous rainforest peoples",Germany,"< 9,999",0,2.25,6,2010-12-07
"Comunidade Intermunicipal do Douro",Portugal,"< 9,999",0,7,0,2015-07-28
"Energy Charter Secretariat",Belgium,"< 9,999",0,2,1,2015-11-17
"Euroregion Baltic",Poland,"< 9,999",0,0.25,0,2015-11-24
"INTERACT Point Vienna",Austria,"< 9,999",0,1,0,2013-05-06
"Internationale Bodenseekonferenz",Germany,"< 9,999",0,3.5,0,2015-12-17
"Network of European Regions Using Space Technologies",Belgium,"< 9,999",2,2,2,2013-06-07
"Red Ibérica de Entidades Transfronterizas",Portugal,"< 9,999",0,0.5,0,2015-05-20
"World Union of Wholesale Markets",Netherlands,"< 9,999",0,1.75,1,2013-02-07
"NATIONAL DEMOCRATIC CONGRESS FRANCE CHAPTER",France,4500,0,1.25,0,2015-11-11
Svinesundskommittén,Sweden,4000,0,1.5,0,2015-12-14
"Natuur- en Vogelwerkgroep Krimpenerwaard",Netherlands,0,0,22.5,0,2015-06-30
"ARCO LATINO",Spain,"no figure available",0,0.5,0,2011-02-04
"Airport Regions Conference",Belgium,"no figure available",1,0.25,1,2015-02-09
"Alps-Adriatic Rectors' Conference",Slovenia,"no figure available",0,10,0,2014-10-08
"Assembly of European Regions",France,"no figure available",5,15,21,2014-02-26
"Assemblée des Régions Européennes Fruitières, Légumières et Horticoles",France,"no figure available",0,3,1,2013-07-23
"Assemblée des Régions Européennes Viticoles",France,"no figure available",0,3,0,2011-07-19
"Associação Sindical Autónoma de Polícia -asapol",Portugal,"no figure available",0,2.75,0,2014-11-22
"Balkan Economic Forum",Greece,"no figure available",0,3.25,0,2014-08-07
"Danube Strategy Point",Belgium,"no figure available",0,6,0,2015-05-27
"Emirates Human Rights Association","United Arab Emirates","no figure available",0,112.5,0,2015-04-08
"Euro Contrôle Route",Belgium,"no figure available",0,1,0,2015-05-04
"European Association of Regional and Local Authorities for Lifelong Learning",Belgium,"no figure available",1,0.75,1,2015-02-05
"European Heritage Heads Forum",Belgium,"no figure available",0,9,0,2014-09-02
"European Network of Cities and Regions for the Social Economy AISBL",Belgium,"no figure available",2,2,0,2011-04-13
"Group of European Municipalities with Nuclear Facilities",Spain,"no figure available",1,18.5,0,2015-04-15
"HELPEOPLE FOUNDATION ONLUS",Italy,"no figure available",0,25,0,2015-05-14
"Hungarian Coeliac Society",Hungary,"no figure available",0,0.25,0,2010-03-12
IKA,Denmark,"no figure available",0,2,0,2011-09-05
"International Federation of Aeronautical Information Management Associations",Portugal,"no figure available",0,0.25,0,2011-07-14
"International Federation of Air Traffic Safety Electronics Associations",Germany,"no figure available",0,1.25,0,2012-11-28
"Irish Creamery Milk Suppliers Association",Ireland,"no figure available",1,3,10,2011-04-19
"Joint Programming Initiative on Agriculture, Food Security and Climate Change",France,"no figure available",0,15,2,2011-11-28
Medcities,Spain,"no figure available",0,5.5,0,2015-08-21
"Network of Sustainable Aegean Islands",Greece,"no figure available",0,0.75,0,2015-02-02
"Nordic Council",Denmark,"no figure available",1,25,1,2015-03-19
"North Sea Commission",Norway,"no figure available",0,2,0,2010-01-14
Partenalia,Belgium,"no figure available",5,4,0,2011-09-12
"Réseau des Chambres de Commerce et d'Industrie Insulaires de l'Union européenne",Greece,"no figure available",0,2.5,0,2015-02-11
