"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"FAIB, FEDERATION OF EUROPEAN & INTERNATIONAL ASSOCIATIONS ESTABLISHED IN BELGIUM",Belgium,"< 9,999",0,0.5,0,2011-01-26
"Local Councils Association of the Punjab",Pakistan,"< 9,999",0,0.25,0,2019-02-11
"Union of the Baltic Cities",Poland,"< 9,999",0,0.25,0,2008-12-18
"Xarxa FP",Spain,"< 9,999",0,0.25,0,2016-03-16
"bon't worry onlus - noi possiamo",Italy,"< 9,999",0,0.25,0,2017-09-16
"Alumni Europae",Belgium,7500,0,2.5,1,2017-07-20
"SOCIETE MONDIALE DES CREATEURS",France,2500,0,3.5,0,2020-01-14
"EUROPREV (WONCA Europe network for prevention and health promotion in GP/FM)",Slovenia,0,0,0.5,0,2016-11-25
"Hydrogen Ireland","United Kingdom","no figure available",0,1,0,2020-08-05
"Reseau européen des services d'inspection de la justice",Belgium,"no figure available",0,1.5,0,2020-05-04
"UArctic Association",Finland,"no figure available",0,2.5,0,2020-11-03
