"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Korea Shipowners' Association","South Korea","3250000 - 3500000",0,,0,2012-04-12
"ΠΑΝΕΛΛΗΝΙΟ ΣΥΝΔΙΚΑΤΟ ΧΕΡΣΑΙΩΝ ΕΜΠΟΡΕΥΜΑΤΙΚΩΝ ΜΕΤΑΦΟΡΩΝ",Greece,"1500000 - 1750000",0,,0,2011-11-10
"European Trade Union Committee for Education",Belgium,"1000000 - 1250000",7,,13,2010-01-14
"Syndicat National de l'Industrie de la nutrition Animale",France,"1000000 - 1250000",0,,0,2011-01-31
"Associação dos Profissionais da Inspecção Tributária",Portugal,"500000 - 600000",0,,0,2010-12-04
"European Newspaper Publishers' Association",Belgium,500000,1,,50,2008-07-04
"Bundesarbeitskammer Österreich",Austria,"300000 - 350000",0,,5,2009-06-26
"Fédération Nationale des Syndicats d'Exploitants Agricoles",France,"250000 - 300000",0,,16,2009-08-13
"Fédération des Entreprises de la Beauté",France,"250000 - 300000",0,,0,2011-12-21
"Deutscher Gewerkschaftsbund",Germany,286000,5,,30,2009-09-30
"Federazione Italiana Tabaccai",Italy,"200000 - 250000",1,,0,2012-04-18
"LO - The Swedish Trade Union Confederation",Sweden,"200000 - 250000",0,,1,2010-06-21
"Österreichischer Gewerkschaftsbund",Austria,"200000 - 250000",0,,12,2010-10-17
"dbb beamtenbund und tarifunion",Germany,200000,0,,0,2010-01-15
"Confédération Générale des Cadres CFE-CGC",France,"150000 - 200000",0,,1,2010-08-10
"Danish Union of Teachers",Denmark,"150000 - 200000",4,,0,2011-09-01
"Irish Congress of Trade Unions",Ireland,"150000 - 200000",0,,0,2012-08-20
"Landsorganisasjonen i Norge",Belgium,"150000 - 200000",0,,0,2010-04-26
"Landsorganisationen i Danmark",Denmark,"150000 - 200000",0,,8,2010-08-27
BAT-kartellet,Denmark,150000,0,,0,2012-09-19
"Fédération Nationale des Activités de la Dépollution et de l'Environnement",France,"100000 - 150000",1,,1,2009-11-25
"Vereinte Dienstleistungsgewerkschaft",Germany,"100000 - 150000",1,,3,2012-09-04
"Association Générale des Producteurs de Blé et autres céréales",France,100000,1,,3,2008-12-12
"European Confederation of Independent Trade Unions",Belgium,100000,3,,13,2012-03-28
"Sveriges Akademikers Centralorganisation",Sweden,100000,0,,0,2012-09-18
"CNV Internationaal",Netherlands,"50000 - 100000",0,,0,2011-01-17
"CONFEDERAZIONE SINDACALE ITALIANA LIBERE PROFESSIONI",Italy,"50000 - 100000",1,,0,2010-09-13
"COOP de France",France,"50000 - 100000",0,,3,2008-10-03
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"50000 - 100000",4,,196,2009-02-02
Finansforbundet,Denmark,"50000 - 100000",0,,0,2012-09-24
"Fédération de l'hospitalisation Privée",France,"50000 - 100000",0,,0,2010-09-02
"UNION DES SYNDICATS DE L'IMMOBILIER",France,"50000 - 100000",0,,0,2012-08-28
"ASSOCIAZIONE NAZIONALE ITALIANA IMPRENDITORI PESCA",Italy,"< 50,000",0,,0,2011-10-19
"Aircraft Engineers International",Netherlands,"< 50,000",0,,0,2011-08-28
"Akava ry",Finland,"< 50,000",0,,11,2012-09-26
"Assocation Française de Forge",France,"< 50,000",0,,0,2010-05-10
"Association Européenne des Cadres de l'Assurance - AECA - European Federation of Executives and Managerial Staff of the Insurance Sector",France,"< 50,000",0,,0,2009-12-28
"Av-tuottajien tekijänoikeusyhdistys Tuotos ry / Collective society for audiovisual producers in Finland",Finland,"< 50,000",0,,0,2011-05-05
"Brussels Office of the Swedish Trade Unions",Belgium,"< 50,000",0,,8,2011-07-05
"CICF INFORMATIQUE",France,"< 50,000",0,,0,2011-03-16
"CONFAGRICOLTURA EMILIA-ROMAGNA",Italy,"< 50,000",0,,3,2010-04-08
"CONFEDERACIÓN SINDICAL DE CCOO",Spain,"< 50,000",0,,0,2012-02-03
"COUNCIL OF EUROPEAN FORESTERS",Romania,"< 50,000",0,,0,2012-01-18
"Cabin Union Denmark",Denmark,"< 50,000",0,,0,2011-07-15
"Centrale Générale des Syndicats Libéraux de Belgique",Belgium,"< 50,000",0,,3,2012-02-14
"Confédération Européenne des Cadres",Belgium,"< 50,000",3,,3,2010-01-07
"Confédération Française Démocratique du Travail",France,"< 50,000",0,,0,2011-01-24
"Confédération Française de l'Encadrement- Confédération Générale des Cadres des Industries Electriques et Gazières",France,"< 50,000",0,,0,2011-03-08
"Confédération des Syndicats Chrétiens",Belgium,"< 50,000",0,,11,2010-01-12
"Conseil National des Professions de l'Automobile",France,"< 50,000",0,,0,2009-08-03
"Danish Society of Engineers",Denmark,"< 50,000",0,,0,2011-09-20
"Democratic Labour Federation of Cyprus",Cyprus,"< 50,000",0,,0,2011-10-03
EUROCADRES,Belgium,"< 50,000",2,,0,2012-03-07
"EUROPEAN FEDERATION OF BUILDING AND WOODWORKERS",Belgium,"< 50,000",0,,16,2012-03-16
"EUROPEAN FEDERATION OF EMPLOYEES IN PUBLIC SERVICES",Belgium,"< 50,000",1,,0,2011-12-23
"EUROPEAN TRANSPORT WORKERS' FEDERATION",Belgium,"< 50,000",5,,50,2009-02-12
"European Arts and Entertainment Alliance",France,"< 50,000",0,,0,2011-03-31
"European Federation of Food, Agriculture and Tourism Trade Union",Belgium,"< 50,000",1,,28,2009-02-03
"European Federation of Public Service Unions",Belgium,"< 50,000",4,,43,2009-04-16
"European/International Federation of Journalists",Belgium,"< 50,000",1,,20,2011-09-06
"F.E.C.C.I.A. Fédération Européenne des Cadres de la Chimie et des Industries Annexes - European Federation of Managerial Staff in the Chemical and Allied Industries",France,"< 50,000",0,,0,2008-08-25
"FEDERATION FRANCAISE DES VINS D APERITIF",France,"< 50,000",0,,1,2012-05-11
"FEDEREC - Federation des Entreprises du Recyclage",France,"< 50,000",0,,1,2008-12-24
"FederFauna, Confederazione Europea delle Associazioni di Allevatori, Commercianti e Detentori di Animali",Italy,"< 50,000",0,,0,2011-10-06
Finansförbundet,Sweden,"< 50,000",0,,0,2009-07-13
