"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Church Council, Evangelical -Lutheran Church of Finland",Finland,"1000000 - 1250000",0,,0,2012-02-16
youthforhumanrights.org,"United States","900000 - 1000000",0,,0,2012-01-27
"Churches´Commission for Migrants in Europe",Belgium,"100000 - 150000",0,,2,2011-01-14
"SACRO SOVRANO MILITARE ORDINE MONASTICO DINASTICO TEMPLARE MATER NAZARENA PIETA' DEL PELLICANO",Italy,"100000 - 150000",0,,0,2010-07-20
"Representation of the Church of Cyprus to the European Institutions",Belgium,"50000 - 100000",0,,0,2010-07-13
"Büro Brüssel des Generalsekretariats der ÖBK",Belgium,"< 50,000",0,,0,2012-01-09
"Churches' Legislation Advisory Service","United Kingdom","< 50,000",0,,0,2011-11-23
"EKD-Büro Brüssel / EKD-Office Brussels",Belgium,"< 50,000",0,,14,2011-10-12
OCIPE,Belgium,"< 50,000",0,,2,2011-07-26
"Orden Católica Española Templaria",Spain,"< 50,000",0,,0,2011-11-03
"Pepper Public Affairs","United Kingdom","< 50,000",0,,0,2011-02-21
"QUAKERS AND KINDRED ANIMALS","United Kingdom","< 50,000",0,,0,2009-09-27
"Representation of the Church of Greece to the European Union",Belgium,"< 50,000",0,,0,2009-11-13
"Rytířský řád sv. Konstantina a Heleny","Czech Republic","< 50,000",0,,0,2010-09-16
"Societatea Kopimista Romana",Romania,"< 50,000",0,,0,2012-01-12
"The Ecumenical Office for EU Relations",Sweden,"< 50,000",0,,0,2010-12-06
"Beulah Baruch Ministries","United Kingdom","no figure available",0,,0,2010-09-28
"Chiesa Ortodossa Bielorussa Eslava",Italy,"no figure available",0,,0,2011-07-13
"EUROPEAN MUSLIMS LEAGUE",Italy,"no figure available",0,,0,2012-01-04
"European Jewish Congress European Office",Belgium,"no figure available",0,,4,2011-08-18
"FORUMBrussels International",Germany,"no figure available",0,,0,2011-08-02
"MI MAGUNK-SAJÁTMAGUNKÉRT EGYESÜLET",Hungary,"no figure available",0,,0,2010-06-24
"OSMTH - Souveräne Templer-Komturei in Mönchengladbach c/o Dr.Leo Fiethen",Germany,"no figure available",0,,0,2011-07-31
"Pan European Pakistani Christian Alliance",Norway,"no figure available",0,,0,2011-05-28
"Représentation de l'Eglise Orthodoxe Roumaine auprès des Institutions européennes",Belgium,"no figure available",0,,0,2011-10-06
"Secretariat of COMECE (Commission of the Episcopates of the European Community)",Belgium,"no figure available",0,,10,2011-10-07
