"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Mission Opérationnelle Transfrontalière",France,"900000 - 999999",0,6,0,2015-09-14
"Eixo Atlantico do Noroeste Peninsular",Spain,"700000 - 799999",0,3.75,0,2015-10-08
"United Cities and Local Governments Middle East and West Asia Section",Turkey,"700000 - 799999",0,10.75,0,2018-02-01
"Implement a European-wide coordination of research and innovation programs on raw materials to strengthen the industry competitiveness and the shift to a circular economy",Portugal,725000,0,2,0,2016-10-18
"Assembly of European Regions",France,"600000 - 699999",6,7.5,21,2014-02-26
"Colegio de registradores de la propiedad y mercantiles de España",Spain,500000,0,4.5,0,2017-03-24
"Stiftelsen Jamtli",Sweden,"400000 - 499999",0,5.75,0,2017-06-05
"United Cities and Local Governments - Asia Pacific",Indonesia,"400000 - 499999",0,3.5,0,2018-06-18
"COMMONWEALTH LOCAL GOVERNMENT FORUM","United Kingdom",454063,0,6.25,0,2016-12-02
"Association of European Border Regions",Germany,"300000 - 399999",0,7.75,2,2015-10-22
PLATFORMA,Belgium,"300000 - 399999",5,7,8,2017-02-02
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"300000 - 399999",0,1.5,0,2016-11-28
Vinnova,Sweden,300000,2,1.5,3,2018-07-20
"Asociación Civil Internacional de la Red de Ciudades Mercociudades",Uruguay,"200000 - 299999",0,15,0,2018-02-06
"European Federation of Agencies and Regions for Energy and the Environment",Belgium,"200000 - 299999",0,5,4,2011-07-05
"Internationale Bodenseekonferenz",Germany,"200000 - 299999",0,3.5,0,2015-12-17
RAILPOL,Netherlands,"200000 - 299999",0,3.25,0,2016-08-01
"Université de la Grande Région",Luxembourg,"200000 - 299999",0,2.5,1,2018-03-14
"North Calotte Council",Finland,298961,0,7.75,0,2015-12-03
"Federation of Irish Beekeepers Associations",Ireland,281938,0,0.5,0,2017-12-27
"Euregio Scheldemond",Belgium,200000,0,2,0,2018-03-09
"Egmont Group of Financial Intelligence Units",Canada,"100000 - 199999",0,1,0,2018-08-09
"Euro Contrôle Route",Belgium,"100000 - 199999",0,1,0,2016-07-07
"European Network of Cities and Regions for the Social Economy AISBL",Belgium,"100000 - 199999",2,2,0,2011-04-13
"Hydrogen, fuel cells and electro-mobility in European regions",Belgium,"100000 - 199999",0,1,0,2017-10-23
"Interact programme",Slovakia,"100000 - 199999",1,2.5,0,2018-10-25
"Joint Programming Initiative on Agriculture, Food Security and Climate Change",France,"100000 - 199999",0,9,2,2011-11-28
"Municipal Waste Europe",Belgium,"100000 - 199999",5,2,8,2009-04-21
"Network of Regional Governments for Sustainable Development",Belgium,"100000 - 199999",0,0.75,0,2018-01-09
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"100000 - 199999",0,11.25,0,2018-03-07
"European Metropolitan Transport Authorities",France,154128,0,1.75,1,2015-05-31
"Airport Regions Conference",Belgium,"50000 - 99999",0,3,1,2015-02-09
"Assemblée des Régions Européennes Fruitières, Légumières et Horticoles",France,"50000 - 99999",1,2.75,1,2013-07-23
"Association européenne des élus de montagne",France,"50000 - 99999",0,3,0,2016-11-24
"Diplomaten International DMW",Germany,"50000 - 99999",0,7.5,0,2013-01-20
"European Straits Initiative",France,"50000 - 99999",0,0.75,0,2015-10-20
Finabel,Belgium,"50000 - 99999",1,3,0,2018-05-17
"Overseas Countries and Territories Association",Belgium,"50000 - 99999",2,3,1,2017-03-06
"REGIOEUROPA ASBL",Belgium,"50000 - 99999",1,1,0,2017-12-21
"Union of International Haulers",Bulgaria,"50000 - 99999",0,6.5,5,2016-10-14
"Open Traffic Systems City Association e.V.",Germany,99211,0,0.5,0,2016-10-17
"ASSOCIATION INTERNATIONALE DES MAIRES FRANCOPHONES",France,"25000 - 49999",0,4,0,2016-12-02
"BioFuel Region BFR AB",Sweden,"25000 - 49999",0,0.5,0,2018-10-16
CEDR,Belgium,"25000 - 49999",0,0.75,5,2015-01-07
"Cittalia Fondazione ANCI sulle politiche sociali per l'accoglienza, l'integrazione e la cittadinanza",Italy,"25000 - 49999",0,1.5,0,2011-10-25
"European Association of Development Agencies",Belgium,"25000 - 49999",0,0.25,1,2016-12-20
"European Federation of Road Traffic Victims",Belgium,"25000 - 49999",0,1,8,2011-05-17
"Unioncamere Lombardia",Italy,"25000 - 49999",2,1.5,1,2013-05-21
"European Timber Trade Federation",Netherlands,45000,0,1,0,2016-10-06
"Norwegian Coastal Administration",Norway,44816,0,1.25,0,2016-11-16
"Reference Sites Collaborative Network",Belgium,35000,0,1,0,2016-01-27
"Conference of Atlantic Arc Cities",France,"10000 - 24999",0,1.5,0,2014-08-05
"Eurodistrict PAMINA",France,"10000 - 24999",3,0.75,0,2015-10-28
"FEDERATION OF SRI LANKAN LOCAL GOVERNMENT AUTHORITIES","Sri Lanka","10000 - 24999",0,0.25,0,2016-12-23
"KIMO International","United Kingdom","10000 - 24999",1,0.75,0,2013-11-22
"Nordic Council",Denmark,"10000 - 24999",1,1,1,2015-03-19
"Nordic Council of Ministers",Denmark,"10000 - 24999",0,0.75,0,2018-04-16
Partenalia,Belgium,"10000 - 24999",2,1,0,2011-09-12
"Pôle de compétitivité Chimie-environnement Auvergne-Rhône-Alpes",France,"10000 - 24999",0,1.25,0,2018-01-17
AQUAPOL,Netherlands,"< 9,999",0,4,0,2017-04-25
