"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Dipartimento di Epidemiologia",Italy,2800000,0,37.75,0,2015-12-28
Viapass,Belgium,2375641,0,9,1,2018-04-26
"Conseil des Communes et Régions d'Europe",Belgium,"2000000 - 2249999",12,19,10,2009-05-15
"South Denmark European office",Denmark,1609591,0,10,0,2017-10-11
"Skane Lans Landsting",Sweden,"1250000 - 1499999",0,20,0,2017-11-08
"Conference of Peripheral Maritime Regions (CRPM)",France,"1000000 - 1249999",7,13,26,2008-11-28
"Stockholm Region Assocation for European Affairs (Stockholm Region EU Office)",Sweden,"800000 - 899999",3,5,0,2012-01-05
"Central Denmark EU Office",Belgium,"700000 - 799999",0,8,3,2011-12-15
"Channel Islands Brussels Office",Belgium,"700000 - 799999",0,3,2,2011-10-04
"Ile-de-France Europe",France,"700000 - 799999",7,8,4,2011-07-27
"North Denmark EU Office",Belgium,"700000 - 799999",1,7,0,2015-02-17
"Skane European Office",Belgium,610000,0,4,4,2013-03-05
"Association Occitanie Europe",France,"500000 - 599999",0,7,3,2009-08-31
"Region Västra Götaland",Sweden,"500000 - 599999",0,4,0,2010-04-21
"Syndicat Intercommunal de Réidener Kanton - Groupe LEADER Atert- Wark",Luxembourg,"500000 - 599999",0,2,0,2017-11-17
"Vereniging van Nederlandse Gemeenten",Netherlands,"500000 - 599999",0,5.25,3,2010-09-01
"Mid Sweden European Office",Sweden,"400000 - 499999",0,2,1,2012-01-30
"Regione Toscana - Ufficio di collegamento con le Istituzioni Comunitarie a Bruxelles",Italy,"400000 - 499999",0,8,1,2016-07-26
"Valkas novada dome",Latvia,480000,0,23,0,2015-11-03
"Provincie Noord-Holland",Netherlands,400000,0,2,1,2012-01-27
"Region Värmland",Sweden,400000,0,3,0,2017-03-28
"East and North Finland EU Office",Finland,"300000 - 399999",0,5,8,2015-01-12
"RED DE INFORMACIÓN AMBIENTAL DE ANDALUCÍA. CONSEJERÍA DE MEDIO AMBIENTE Y ORDENACIÓN DEL TERRITORIO. JUNTA DE ANDALUCÍA",Spain,"300000 - 399999",0,0.25,0,2017-10-05
"REGIONE AUTONOMA DELLA SARDEGNA",Italy,"300000 - 399999",0,4.5,0,2017-12-11
MEDAC,Italy,394000,0,2,2,2015-11-11
"Kommunalgemeinschaft Euroregion Oberes Elbtal/Osterzgebirge",Germany,320000,0,4.75,0,2018-03-08
"Cellule d’Animation du Réseau wallon de Développement rural",Belgium,316035,0,4,0,2016-11-22
"Openbare Vlaamse Afvalstoffenmaatschappij",Belgium,300000,0,9.5,0,2015-09-09
"Bureau Bourgogne Franche-Comté Europe",France,"200000 - 299999",0,3,1,2010-01-18
"Bureau Brussel Vewin - Unie van Waterschappen",Netherlands,"200000 - 299999",4,2,2,2012-01-13
"Catalan Institute for Cultural Companies",Spain,"200000 - 299999",2,6,0,2013-09-19
"Central Sweden European Office",Belgium,"200000 - 299999",0,3,1,2012-02-21
"Provincie Limburg",Netherlands,"200000 - 299999",0,2,2,2012-03-13
"Småland Blekinge Halland South Sweden",Belgium,"200000 - 299999",0,3,0,2012-10-22
