"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"City of London Corporation","United Kingdom","1750000 - 1999999",3,11.25,11,2015-09-25
"Scotland Europa",Belgium,"1750000 - 1999999",4,9,3,2011-07-11
"Airports Council International - European Region",Belgium,"1000000 - 1249999",5,11.25,56,2010-04-22
"Ajuntament de Barcelona",Spain,"1000000 - 1249999",0,20,0,2018-02-08
"Swedish Association of Local Authorities and Regions",Sweden,"1000000 - 1249999",0,10.5,3,2016-06-13
"city of Dieppe",France,"1000000 - 1249999",0,10,0,2017-12-08
"Obszar Metropolitalny Gdansk-Gdynia-Sopot",Poland,913692,0,5.25,0,2017-09-28
"Oulun kaupunki/ City of Oulu",Finland,"800000 - 899999",0,4.5,0,2014-09-23
"Deutsche Sozialversicherung Arbeitsgemeinschaft Europa",Germany,"700000 - 799999",5,5,12,2008-06-27
"Göteborgs Stad/City of Gothenburg",Sweden,700000,0,21,0,2018-03-27
"Gothenburg European Office",Sweden,"500000 - 599999",0,3.5,1,2011-06-08
"Gemeente Den Haag",Netherlands,"400000 - 499999",0,15.5,1,2015-02-24
"Stockholms stad",Sweden,"400000 - 499999",0,5.5,0,2015-08-19
"Maritime Technology Cluster FVG",Italy,436165,0,9,0,2014-01-17
"Département du Finistère",France,"300000 - 399999",0,5,0,2017-09-18
"Helsinki EU Office (vastuutaho Uudenmaan liitto)",Finland,"300000 - 399999",0,6,15,2013-07-25
"North Western Waters Advisory Council",Ireland,"300000 - 399999",0,3.75,3,2008-08-28
"Assemblée des Départements de France",France,"200000 - 299999",0,1.5,0,2017-09-25
"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH",Germany,"200000 - 299999",12,6.5,13,2011-07-14
"Federacion Dominicana de Municipios","Dominican Republic","200000 - 299999",0,0.25,0,2018-03-01
GKV-Spitzenverband,Germany,"200000 - 299999",0,2.5,0,2014-01-16
"Hellenic Association of Municipal Water and Sewerage Companies",Greece,"200000 - 299999",0,0.5,0,2018-10-17
"Malmö stad/City of Malmö",Sweden,250000,0,40,0,2011-08-02
"Brest metropole",France,200000,0,5,0,2018-03-05
"MUNICIPALITY OF IRAKLIO ATTIKIS GREECE",Greece,200000,0,3.75,0,2017-02-17
