"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Manuel Serrano Ortega",Spain,1200000,0,,0,2012-12-15
CSPH-INTERNATIONAL,France,"900000 - 1000000",2,,3,2011-11-28
"Formación Comercialización Asesoramiento Camarinal SL",Spain,700000,0,,0,2012-12-02
"EUROPE FOR BUSINESS LTD","United Kingdom","600000 - 700000",0,,0,2011-12-16
"2 m communication",Belgium,"500000 - 600000",1,,0,2009-04-21
"Olivier BELLET Consulting",Belgium,"500000 - 600000",1,,0,2012-06-24
"James Ramsay",Belgium,"450000 - 500000",1,,0,2012-07-01
"Juan Marcos Perez Gulin",Spain,"200000 - 250000",0,,0,2012-08-28
"Schellter Strategy Consulting bvba",Belgium,"200000 - 250000",0,,0,2011-07-22
"Studio Dott. Stefano Santarelli",Italy,"200000 - 250000",0,,0,2012-02-13
"Vlassembrouck Consult",Belgium,"200000 - 250000",1,,0,2012-01-10
"De Vier Essen BV",Netherlands,"150000 - 200000",0,,0,2012-03-20
INNOVIMAX,France,"150000 - 200000",0,,0,2010-04-19
"MODUGNO AGROCHIMICA",Italy,"150000 - 200000",0,,0,2012-07-18
"PHC Consulting",France,"150000 - 200000",0,,0,2012-02-09
"de Franssu/ INCIPIT",Belgium,"150000 - 200000",0,,0,2012-01-06
"Alejandro Valdivia-Schneider",Spain,"100000 - 150000",0,,0,2012-02-27
"Cabinet Bob Schmitz",Belgium,"100000 - 150000",0,,1,2012-11-18
"Demorais Consulting Ltd","United Kingdom","100000 - 150000",0,,0,2012-02-27
"Evelyne PIERRON Consultants",France,"100000 - 150000",0,,0,2011-11-04
"F.I.T. Consulting",Belgium,"100000 - 150000",0,,0,2011-10-24
"HI&PP Consult BVBA",Belgium,"100000 - 150000",0,,0,2011-10-13
"PT-Management Consultants",Belgium,"100000 - 150000",2,,0,2011-09-08
"SIE SAS",France,"100000 - 150000",2,,0,2011-02-24
"The Skill Set",Ireland,"100000 - 150000",1,,0,2012-04-22
"Travieso, Sl",Spain,132500,0,,0,2011-07-14
"Piet Steel International",Belgium,125000,0,,0,2012-03-05
"planet.ECO LLC","United States",100000,0,,0,2012-11-29
"Brucovie Consult sprl",Belgium,"50000 - 100000",1,,0,2012-05-23
"Christopher Irwin","United Kingdom","50000 - 100000",0,,0,2009-03-20
"Elizabeth Drury","United Kingdom","50000 - 100000",1,,0,2011-08-18
"Ex Ante - European Legal Affairs & Government Relations",Belgium,"50000 - 100000",0,,0,2011-09-23
"Forum in the European Parliament for Construction","United Kingdom","50000 - 100000",1,,0,2011-12-20
"JACQUES ANTCHOUEY",Senegal,"50000 - 100000",0,,0,2010-08-23
"JKO Consulting",Belgium,"50000 - 100000",0,,0,2011-12-19
Jen,Belgium,"50000 - 100000",1,,0,2011-11-09
"Luca Muscelli Comunicazione",Italy,"50000 - 100000",0,,0,2012-03-05
"Ricard Parés Casanova",Spain,"50000 - 100000",0,,0,2012-09-21
"S.N.G. SPRL",Belgium,"50000 - 100000",1,,0,2011-09-02
"SVQ-Arquitectura. Ciudad Paisaje Territorio, S.L.P.",Spain,"50000 - 100000",0,,0,2009-06-08
"SYLVAIN DE WEERDT",Belgium,"50000 - 100000",0,,0,2010-09-23
"Relations and Property Management bvba",Belgium,70000,1,,0,2012-03-17
A.R.S-CONSULTING,Belgium,"< 50,000",1,,0,2011-09-11
"AKA Advies",Netherlands,"< 50,000",0,,0,2012-12-02
"ANETA IGNATOWICZ","United Kingdom","< 50,000",0,,0,2012-10-22
"ANTON KERN D.I.",Belgium,"< 50,000",0,,0,2012-03-04
"Aidan Stradling Consultancy - North East England","United Kingdom","< 50,000",0,,0,2009-04-20
"Albert A. Hrabak","United States","< 50,000",0,,0,2012-10-29
"Anna Koj",Belgium,"< 50,000",1,,0,2012-08-14
"Antonio Luigi Del Sole",Italy,"< 50,000",0,,0,2011-10-04
"Arboretum Communications",Sweden,"< 50,000",0,,0,2012-05-29
"Aviation Strategy & Concepts",Belgium,"< 50,000",1,,3,2012-08-23
"Belmaco Consultants","Netherlands Antilles","< 50,000",0,,0,2012-10-18
"Bertagni Consulting srl",Italy,"< 50,000",0,,0,2009-03-25
"CAMBAZARD Pierre",France,"< 50,000",1,,0,2011-09-02
"CONCEPT & RESEARCH",Belgium,"< 50,000",0,,0,2010-04-20
"CRISTINA VICINI",Belgium,"< 50,000",0,,0,2012-04-10
Cablexperts,Austria,"< 50,000",0,,0,2011-04-01
"Carsten Klenke",Belgium,"< 50,000",0,,0,2012-04-25
"Casey Campbell","United Kingdom","< 50,000",0,,0,2012-06-22
Condition-ALPHA,Germany,"< 50,000",0,,0,2012-09-07
"Dr. Spoo Umwelt-Consulting",Germany,"< 50,000",0,,0,2012-10-25
"EU Cruise Victims - Ships Safety Consultation","United Kingdom","< 50,000",0,,0,2012-04-27
EUopportunity,Belgium,"< 50,000",0,,0,2012-08-31
"Einion Dafydd","United Kingdom","< 50,000",1,,0,2012-02-29
"Elena Trovesi",Germany,"< 50,000",0,,0,2012-03-15
"Emmanuel Orlando",Italy,"< 50,000",0,,0,2011-05-19
"Environmental Perception",Greece,"< 50,000",0,,0,2011-08-02
EuroGSConsulting,Italy,"< 50,000",0,,0,2011-10-06
Europacte,France,"< 50,000",0,,0,2012-01-04
"Fabel Kommunikation AB",Sweden,"< 50,000",0,,0,2009-12-17
"FastLane Consulting",Belgium,"< 50,000",1,,0,2012-05-30
"Francisca Martinez",Belgium,"< 50,000",0,,0,2011-09-12
"GIGLIO & Partners",Italy,"< 50,000",0,,0,2010-01-06
"Grant Public Affairs Europe",Ireland,"< 50,000",0,,0,2011-09-29
"Guggino Stéphane",France,"< 50,000",0,,0,2011-11-26
"INVERS Versicherungsvermittlungsgesellschaft mbH",Germany,50000,0,,0,2009-05-12
"Innocenzo Genna",Belgium,"< 50,000",1,,0,2011-12-14
JP4C,France,"< 50,000",0,,0,2012-03-13
"Jim Murray",Belgium,"< 50,000",1,,1,2009-03-30
"Joachim Toens Consultancy",Germany,"< 50,000",0,,0,2012-10-17
"Joan Parera",Spain,"< 50,000",0,,0,2011-07-26
"Johann Friedmann",Belgium,"< 50,000",0,,0,2011-08-13
"José Luis Baró Fuentes",Belgium,"< 50,000",0,,0,2011-08-17
"Joulia-Paris Tamar",Belgium,"< 50,000",0,,0,2012-06-24
"Kancelaria Doradcza SOLSKI i Partnerzy sp. z o.o.",Poland,"< 50,000",0,,0,2012-01-04
"Kateryna SHALAYEVA",France,"< 50,000",0,,0,2012-06-23
Lumina,Belgium,"< 50,000",2,,0,2011-05-23
"MARCELLO MISSAGLIA",Italy,"< 50,000",0,,0,2008-07-07
"Marcus Guardian",Belgium,"< 50,000",0,,0,2012-01-29
"Marina Tamagnini",Belgium,"< 50,000",0,,0,2012-01-16
"Martin Heran","Czech Republic","< 50,000",0,,0,2012-12-07
"Maryke Hanneman",Belgium,"< 50,000",0,,0,2011-10-26
"NETWORKING The Matching Game",Belgium,"< 50,000",0,,0,2011-06-23
"Nitescu Dragos",Switzerland,"< 50,000",0,,0,2012-02-24
"Octopux Consulting",Belgium,"< 50,000",0,,0,2012-08-14
Pandic,"United Kingdom","< 50,000",1,,0,2012-12-11
"Per Boqvist",Norway,"< 50,000",0,,0,2010-03-10
"Philippe Putman BVBA",Belgium,"< 50,000",0,,0,2011-10-19
"Pollet Environmental Consulting",Belgium,"< 50,000",0,,0,2009-02-20
ProDessus,Belgium,"< 50,000",1,,0,2012-03-29
"Robert Graham","United Kingdom","< 50,000",0,,0,2012-09-13
Robillart,Belgium,"< 50,000",1,,0,2012-12-10
"SANDRIN Patrick",France,"< 50,000",0,,0,2012-02-06
"Sacchi Consulting",Belgium,"< 50,000",0,,1,2012-05-29
"Sean O'Neill",Luxembourg,"< 50,000",1,,0,2012-02-08
"Sinziana Radu Gille",Belgium,"< 50,000",0,,0,2012-02-08
"Stollmeyer Consultancy",Netherlands,"< 50,000",0,,0,2012-09-06
"The Fullilove Consulting Group",Belgium,"< 50,000",1,,0,2009-02-10
"The Lodge - EU Registered Lobby - Luca Cortese",Italy,"< 50,000",0,,0,2011-08-06
"Thomas Dillon","United Kingdom","< 50,000",0,,0,2011-08-02
"Tony Bass",Netherlands,"< 50,000",0,,0,2011-06-25
