"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Chemical Industry Council",Belgium,12000000,33,49,123,2009-09-24
"Insurance Europe",Belgium,"6500000 - 6749000",22,35,51,2010-04-15
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,5414776,10,8.75,92,2009-03-04
"Association for Financial Markets in Europe","United Kingdom","4750000 - 4999999",9,25.25,51,2010-08-04
"European Banking Federation",Belgium,"4250000 - 4499999",26,15,46,2008-12-19
"Verband der Chemischen Industrie e.V.",Germany,"4250000 - 4499999",9,26,9,2011-11-02
BUSINESSEUROPE,Belgium,"4000000 - 4249999",30,30,292,2009-01-13
"Verband Deutscher Maschinen- und Anlagenbau e.V.",Germany,"4000000 - 4249999",4,23.25,21,2008-11-28
"European Fund and Asset Management Association",Belgium,"3000000 - 3249999",10,10.25,6,2008-11-28
"Association des Constructeurs Européens d'Automobiles",Belgium,"2750000 - 2999999",17,13,142,2008-12-18
"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.",Germany,"2750000 - 2999999",7,13.75,27,2009-03-16
"Bundesverband der Deutschen Industrie e.V.",Germany,"2750000 - 2999999",11,20,112,2008-12-10
"Bundesverband Öffentlicher Banken Deutschlands",Germany,"2750000 - 2999999",6,19,21,2009-01-07
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"2500000 - 2749000",9,10,18,2010-09-14
"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",Germany,"2500000 - 2749000",7,11,30,2008-08-01
"Deutscher Industrie- und Handelskammertag e.V.",Germany,2551000,17,16.5,56,2009-02-20
FuelsEurope,Belgium,"2250000 - 2499999",11,7.75,35,2010-12-08
AENEAS,France,"2000000 - 2249999",0,5,0,2012-02-24
"Bundesverband deutscher Banken e.V.",Germany,"2000000 - 2249999",3,14.25,51,2008-09-05
"International Swaps and Derivatives Association","United States","2000000 - 2249999",2,6,10,2009-02-08
"Malaysian Employers Federation",Malaysia,2188510,0,0.75,0,2016-11-25
"Associazione Bancaria Italiana",Italy,"1750000 - 1999999",7,7.5,21,2013-07-12
"Finance Denmark",Denmark,"1750000 - 1999999",4,10,13,2012-02-29
PlasticsEurope,Belgium,"1750000 - 1999999",4,9.5,19,2013-09-24
"Deutscher Sparkassen-und Giroverband",Germany,1800000,5,9,39,2011-01-06
"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",Germany,"1500000 - 1749000",1,13,16,2011-09-05
"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",Belgium,1700000,5,18.5,71,2008-12-04
"Zentralverband des Deutschen Handwerks e.V.",Germany,1550000,8,14,57,2008-12-15
"Verband der Automobilindustrie",Germany,1500000,4,14,50,2010-12-14
"Airlines for Europe",Belgium,"1250000 - 1499999",8,8,41,2016-03-14
"Association of British Insurers","United Kingdom","1250000 - 1499999",0,1.75,4,2008-06-26
"Associazione Intermediari Mercati Finanziari - ASSOSIM",Italy,"1250000 - 1499999",0,4.5,0,2013-07-10
EuroCommerce,Belgium,"1250000 - 1499999",16,9,137,2009-02-19
Ibec,Ireland,"1250000 - 1499999",3,10.75,33,2014-06-03
"Managed Funds Association","United States","1250000 - 1499999",0,3,23,2014-12-05
"The Investment Association","United Kingdom","1250000 - 1499999",3,9.25,17,2008-06-30
"SMEunited aisbl",Belgium,1425205,4,15,114,2009-02-20
"American Chamber of Commerce to the European Union",Belgium,"1000000 - 1249999",8,9.75,151,2008-10-14
"Bundesinnungsverband für Orthopädie-Technik",Germany,"1000000 - 1249999",0,1,1,2019-09-10
"Community of European Railway and Infrastructure Companies",Belgium,"1000000 - 1249999",18,6,47,2008-07-02
"Confederation of Danish Industry",Denmark,"1000000 - 1249999",9,5.5,31,2008-09-22
"Cooperatie Kottervisserij Nederland (VisNed)",Netherlands,"1000000 - 1249999",3,8.75,3,2014-05-12
EUROALLIAGES,Belgium,"1000000 - 1249999",4,5,12,2011-03-17
