"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Facebook Ireland Limited",Ireland,"2250000 - 2499999",9,7.25,164,2012-01-25
FuelsEurope,Belgium,"2250000 - 2499999",8,10.5,35,2010-12-08
"Hill & Knowlton International Belgium",Belgium,"2250000 - 2499999",12,12.75,7,2008-12-22
"Novartis International AG",Switzerland,"2250000 - 2499999",5,5.75,22,2009-04-27
Viapass,Belgium,2375641,0,9,1,2018-04-26
"Bayer AG",Germany,2314000,10,14.25,38,2008-12-17
"Association des Constructeurs Européens d'Automobiles",Belgium,"2000000 - 2249999",16,10.5,142,2008-12-18
"Association pour les Transferts de Technologies du Mans",France,"2000000 - 2249999",0,22.5,0,2018-02-01
"Conseil des Communes et Régions d'Europe",Belgium,"2000000 - 2249999",12,19,10,2009-05-15
"ELECTRICITE DE FRANCE",France,"2000000 - 2249999",11,11,49,2009-06-12
"ENEL SpA",Italy,"2000000 - 2249999",7,6.25,75,2008-07-17
ENGIE,France,"2000000 - 2249999",5,11,71,2011-12-13
"European Cyclists' Federation",Belgium,"2000000 - 2249999",4,15.75,17,2011-04-27
"International Swaps and Derivatives Association","United States","2000000 - 2249999",4,5,10,2009-02-08
"PRACSIS sprl",Belgium,"2000000 - 2249999",0,27.5,0,2017-02-01
"RPP Group",Belgium,"2000000 - 2249999",17,16,5,2010-10-01
"Reform Society i Stockholm AB",Sweden,"2000000 - 2249999",0,30,0,2016-02-01
"Samsung Electronics Europe","United Kingdom","2000000 - 2249999",7,3.25,24,2011-11-30
"The Joint Institute for Innovation Policy",Belgium,"2000000 - 2249999",6,12,0,2018-06-18
"Vereniging FME-CWM",Netherlands,"2000000 - 2249999",0,12.5,0,2017-06-01
"WWF European Policy Programme",Belgium,"2000000 - 2249999",13,21.75,156,2008-09-23
"Weber Shandwick",Belgium,"2000000 - 2249999",21,21.75,22,2009-05-29
WindEurope,Belgium,"2000000 - 2249999",7,5.75,82,2011-08-24
"Accountancy Europe",Belgium,2200000,6,12,5,2008-09-16
"Horticonsult Global Partners BV",Netherlands,2159000,0,1,0,2011-09-18
"Malaysian Employers Federation",Malaysia,2021429,0,0.5,0,2016-11-25
