"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments",Spain,1075000,0,25,1,2016-11-10
"Mission Opérationnelle Transfrontalière",France,"900000 - 999999",0,6,0,2015-09-14
"United Cities and Local Governments – Asia Pacific",Indonesia,"500000 - 599999",0,3.5,0,2017-05-24
"Stiftelsen Jamtli",Sweden,"400000 - 499999",0,5.75,0,2017-06-05
"COMMONWEALTH LOCAL GOVERNMENT FORUM","United Kingdom",454063,0,6.25,0,2016-12-02
"Association of European Border Regions",Germany,"300000 - 399999",0,2.5,2,2015-10-22
"Eixo Atlantico do Noroeste Peninsular",Spain,"300000 - 399999",0,3.75,0,2015-10-08
PLATFORMA,Belgium,"300000 - 399999",0,6.5,8,2017-02-02
"RED DE INFORMACIÓN AMBIENTAL DE ANDALUCÍA. CONSEJERÍA DE MEDIO AMBIENTE Y ORDENACIÓN DEL TERRITORIO. JUNTA DE ANDALUCÍA",Spain,"300000 - 399999",0,0.25,0,2017-10-05
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"300000 - 399999",0,1.5,0,2016-11-28
"Internationale Bodenseekonferenz",Germany,"200000 - 299999",0,3.5,0,2015-12-17
"Network of European Regions Using Space Technologies",Belgium,"200000 - 299999",2,2.5,2,2013-06-07
"R20 Regions of Climate Action",Switzerland,"200000 - 299999",0,5,1,2017-09-01
"North Calotte Council",Finland,298961,0,7.75,0,2015-12-03
"Asociación Civil Internacional de la Red de Ciudades Mercociudades",Uruguay,"100000 - 199999",0,15,0,2017-12-26
"Euro Contrôle Route",Belgium,"100000 - 199999",0,1,0,2016-07-07
"Hydrogen, fuel cells and electro-mobility in European regions",Belgium,"100000 - 199999",0,1.75,0,2017-10-23
"Joint Programming Initiative on Agriculture, Food Security and Climate Change",France,"100000 - 199999",0,22,2,2011-11-28
"Municipal Waste Europe",Belgium,"100000 - 199999",3,2.75,8,2009-04-21
"Nordic Network for Communicating Animal Welfare NordCAW",Sweden,"100000 - 199999",0,2.5,0,2017-03-01
"European Metropolitan Transport Authorities",France,149325,0,1.5,1,2015-05-31
"Assemblée des Régions Européennes Fruitières, Légumières et Horticoles",France,"50000 - 99999",0,2.75,1,2013-07-23
"Association européenne des élus de montagne",France,"50000 - 99999",0,3,0,2016-11-24
"EUROPEAN CHEMICAL REGIONS NETWORK",Germany,"50000 - 99999",1,1.5,0,2016-11-14
"European Gaming and Amusement Federation",Belgium,"50000 - 99999",0,2,0,2011-02-02
"European Straits Initiative",France,"50000 - 99999",0,6.25,0,2015-10-20
"Joint Programming Initiative Connecting Climate Knowledge for Europe",Belgium,"50000 - 99999",0,2.5,0,2015-07-16
"Overseas Countries and Territories Association",Belgium,"50000 - 99999",1,1,1,2017-03-06
"Union of International Haulers",Bulgaria,"50000 - 99999",0,6.5,5,2016-10-14
"Network to Promote Linguistic Diversity",Belgium,50000,0,1,3,2015-02-18
"ASSOCIATION INTERNATIONALE DES MAIRES FRANCOPHONES",France,"25000 - 49999",0,5.25,0,2016-12-02
"Cittalia Fondazione ANCI Ricerche",Italy,"25000 - 49999",0,1.5,0,2011-10-25
"European Association of Development Agencies",Belgium,"25000 - 49999",0,0.25,1,2016-12-20
"REGIOEUROPA ASBL",Belgium,"25000 - 49999",0,1,0,2017-12-21
"Unioncamere Lombardia",Italy,"25000 - 49999",2,1.5,1,2013-05-21
"European Timber Trade Federation",Netherlands,45000,0,1,0,2016-10-06
Partenalia,Belgium,43826,3,1,0,2011-09-12
"BioFuel Region AB",Sweden,30000,0,0.5,0,2016-04-27
"Climate Alliance of European cities with indigenous rainforest peoples",Germany,"10000 - 24999",0,1.25,6,2010-12-07
"Conference of Atlantic Arc Cities",France,"10000 - 24999",0,1,0,2014-08-05
"Eurodistrict PAMINA",France,"10000 - 24999",2,0.5,0,2015-10-28
"FEDERATION OF SRI LANKAN LOCAL GOVERNMENT AUTHORITIES","Sri Lanka","10000 - 24999",0,0.25,0,2016-12-23
"Nordic Council",Denmark,"10000 - 24999",1,0.75,1,2015-03-19
"Norwegian Coastal Administration",Norway,23553,0,1.25,0,2016-11-16
"Balkan Economic Forum",Macedonia,20000,0,3.25,0,2014-08-07
"GUARDIA ZOOFILA AMBIENTALE, POLIZIA VETERINARIA E MEDICINA FORENSE VETERINARIA NORSAA",Italy,10000,0,5.5,0,2014-07-22
AQUAPOL,Netherlands,"< 9,999",0,4,0,2017-04-25
"Assembly of European Regions",France,"< 9,999",6,6.5,21,2014-02-26
"Assemblée des Régions Européennes Viticoles",France,"< 9,999",0,3,0,2011-07-19
"Association des directeurs et personnels de direction des Bibliothèques Universitaires et de la documentation",France,"< 9,999",0,0.5,0,2014-03-04
"Autoridad Portuaria de Bilbao",Spain,"< 9,999",0,0.25,0,2016-11-18
"CENTRE EUROPEEN DE PREVENTION DU RISQUE INONDATION",France,"< 9,999",0,0.25,0,2016-11-08
"CENTRO ITALIANO FORMAZIONE EUROPEA",Italy,"< 9,999",0,6.25,0,2014-03-25
"European Association of Public IT Service Providers",Austria,"< 9,999",0,0.25,0,2016-01-13
"European Energy Network",Romania,"< 9,999",0,9.75,2,2016-08-01
"European Heritage Legal Forum",Germany,"< 9,999",0,43,0,2012-04-26
"Euroregion Baltic",Poland,"< 9,999",0,0.5,0,2015-11-24
"Fórum Oceano - Associação da Economia do Mar",Portugal,"< 9,999",0,0.75,0,2016-05-17
"GALGOS ETHIQUE EUROPE",France,"< 9,999",0,6.25,0,2015-02-03
"Institute of Risk Management","United Kingdom","< 9,999",0,0.25,0,2010-08-11
"Istituto Europeo di Scienze Forensi e Biomediche",Italy,"< 9,999",0,5.25,0,2016-06-27
"KIMO International","United Kingdom","< 9,999",0,2,0,2013-11-22
"Local Authority Association of Vanuatu",Vanuatu,"< 9,999",0,6,0,2017-01-12
"Národná Sieť Slovenských Miestnych Akčných Skupín",Slovakia,"< 9,999",0,0.5,0,2017-01-30
POLIS,Belgium,"< 9,999",1,1,10,2011-02-03
"UN MONDO D'ITALIANI",Italy,"< 9,999",0,1.5,0,2010-06-19
"Union of the Baltic Cities",Poland,"< 9,999",0,0.25,0,2008-12-18
"Vereniging van Beroepsmatige Handlijnvissers Nederland",Netherlands,"< 9,999",0,0.25,0,2015-04-25
"Xarxa FP",Spain,"< 9,999",0,0.25,0,2016-03-16
"Union Européenne des Médecins Specialistes Ocuupational Medecine Section",Belgium,2000,0,0.5,2,2015-11-23
"Associação Sindical Autónoma de Polícia -asapol",Portugal,0,0,2.75,0,2014-11-22
"EUROPREV (WONCA Europe network for prevention and health promotion in GP/FM)",Slovenia,0,0,0.5,0,2016-11-25
"Open Traffic Systems City Association e.V.",Germany,0,0,0.5,0,2016-10-17
"European Network for Health Technology Assessments",Netherlands,"no figure available",0,0.25,0,2017-08-22
"Federation of Regional Growth Actors in Europe",Belgium,"no figure available",0,4,0,2016-01-25
"Implement a European-wide coordination of research and innovation programs on raw materials to strengthen the industry competitiveness and the shift to a circular economy",Portugal,"no figure available",0,1,0,2016-10-18
Medcities/Medcités,Spain,"no figure available",0,7,0,2015-08-21
"PAYA LEBAR",France,"no figure available",0,1.25,0,2016-05-10
"Reference Sites Collaborative Network",France,"no figure available",0,18.5,0,2016-01-27
