"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Syndicat Mixte des Transports en Commun de l'agglomération toulousaine",France,"> 10,000,000",0,1.25,0,2012-12-03
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2750000 - 2999999",0,39,0,2016-05-31
"National Széchényi Library, Hungary",Hungary,"2250000 - 2499999",0,0.75,0,2016-06-02
"European Agency for Special Needs and Inclusive Education",Denmark,2370457,5,25,5,2015-02-09
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15,36,2010-01-07
"Public Institution Lithuanian Agricultural Advisory Service",Lithuania,"1500000 - 1749000",0,0.75,0,2016-10-27
"Association pour la coordination des horaires",France,1500000,0,1,0,2016-07-01
"Centre for Fine Arts",Belgium,"1250000 - 1499999",0,5,20,2015-07-07
"COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA",Spain,"1000000 - 1249999",0,10,0,2017-07-06
"Savjetodavna služba (Advisory Service Croatia)",Croatia,"1000000 - 1249999",0,1,0,2017-12-12
"European Organisation for Technical Assessment",Belgium,1195098,0,4,0,2015-03-25
"Foreningen Danske Olieberedskabslagre",Denmark,1000000,0,0.25,0,2017-03-29
"Suva Luzern Fachstelle Marktüberwachung",Switzerland,1000000,0,5,0,2016-12-06
Vilans,Netherlands,1000000,0,10,0,2017-12-11
"KfW Bankengruppe",Germany,"900000 - 999999",4,5,60,2012-09-25
"Collectivité Eau du Bassin Rennais",France,970000,0,6,0,2017-04-28
"Sveriges Lantbruksuniversitet",Sweden,950000,0,2,0,2016-02-16
"Chambre de commerce et d'industrie de région Paris Ile-de-France",France,"800000 - 899999",0,6,1,2010-12-09
"City of Dublin Energy Management Agency Ltd",Ireland,"800000 - 899999",0,1,0,2016-11-07
"Joint Nature Conservation Committee","United Kingdom","800000 - 899999",0,25,2,2012-04-03
"Egmont Institute",Belgium,849372,0,11,9,2016-09-28
"Instytut Europejskiej Sieci Pamięć i Solidarność",Poland,"700000 - 799999",0,0.75,1,2016-09-19
"Organismo Publico Puertos del Estado",Spain,"700000 - 799999",0,1,0,2016-11-02
"Small Business Standards",Belgium,"600000 - 699999",0,5.75,0,2014-05-21
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"600000 - 699999",0,3,1,2010-04-15
"Centre National d'Etudes Spatiales",France,"500000 - 599999",0,3,1,2016-12-06
"PIRAEUS PORT AUTHORITY SA",Greece,"500000 - 599999",0,3.25,0,2016-11-21
"Rete Autostrade Mediterranee Spa",Italy,597239,0,4,0,2016-11-10
"Development Agency of Karditsa AE OTA",Greece,579652,0,18.75,0,2015-03-15
"union régionale professionnelle santé des médecins libéraux Auvergne Rhône Alpes",France,550000,0,10,0,2017-12-30
"Banque de Développement du Conseil de l'Europe",France,"400000 - 499999",0,8.5,2,2017-10-17
