"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
BearingPoint,Belgium,552795000,0,,0,2014-12-02
Fleishman-Hillard,Belgium,11514273,46,,29,2009-03-17
"Zabala Innovation Consulting",Spain,10964053,4,,1,2013-11-19
"Alterra, institute within the legal entity Stichting DLO",Netherlands,"> 10,000,000",0,,0,2013-11-29
"Asociación Mundial Derechos Inventor",Spain,"> 10,000,000",0,,0,2010-06-13
"Association for Financial Markets in Europe","United Kingdom","> 10,000,000",5,,51,2010-08-04
"BEITEN BURKHARDT",Belgium,"> 10,000,000",0,,0,2012-03-08
"Bird & Bird LLP","United Kingdom","> 10,000,000",0,,0,2013-05-16
"Business and Strategies in Europe",Belgium,"> 10,000,000",0,,0,2014-12-03
"ECCO2 Global Partners","United States","> 10,000,000",1,,0,2014-05-14
"European Committee - Europe Africa Support Envoy",Germany,"> 10,000,000",0,,0,2013-03-23
"European Status; International Arbitrators",Norway,"> 10,000,000",0,,0,2013-03-26
"Stichting Dienst Landbouwkundig Onderzoek",Netherlands,"> 10,000,000",0,,1,2012-10-05
"The NHS Confederation","United Kingdom","> 10,000,000",3,,0,2011-09-23
Burson-Marsteller,Belgium,8255000,34,,6,2008-10-31
"APCO Worldwide","United States","7750000 - 8000000",26,,15,2009-02-06
"YARA S.A.",Belgium,"7250000 - 7500000",0,,0,2010-11-26
"Academy of European Law",Germany,"7000000 - 7250000",2,,6,2012-03-06
"Hill & Knowlton International Belgium",Belgium,7000000,7,,7,2008-12-22
"FTI Consulting Belgium",Belgium,"6000000 - 6250000",23,,54,2010-04-01
"European Chemical Industry Council",Belgium,6000000,15,,123,2009-09-24
"Philip Morris International Inc.",Switzerland,"5000000 - 5250000",4,,5,2009-07-07
"J J tactical LLP","United Kingdom",5000000,0,,0,2014-08-20
"European Smoking Tobacco Association",Belgium,"4750000 - 5000000",4,,0,2008-12-22
"ExxonMobil Petroleum & Chemical",Belgium,"4750000 - 5000000",4,,31,2009-01-06
"International Juvenile Justice Observatory",Belgium,"4750000 - 5000000",0,,0,2011-01-10
"MICROELECTRONICA S.A.",Romania,"4750000 - 5000000",0,,2,2014-12-10
ClientEarth,"United Kingdom",4813709,7,,39,2011-12-21
"Microsoft Corporation","United States","4500000 - 4750000",4,,156,2009-01-13
"European Banking Federation",Belgium,"4250000 - 4500000",18,,46,2008-12-19
"Horticonsult.Global Partners BV",Netherlands,"4250000 - 4500000",0,,0,2011-09-18
"Shell Companies",Netherlands,"4250000 - 4500000",8,,80,2012-04-18
"Siemens AG",Germany,4355792,10,,52,2008-12-12
"Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl",Belgium,"4000000 - 4250000",3,,18,2008-12-29
BUSINESSEUROPE,Belgium,"4000000 - 4250000",22,,292,2009-01-13
"International Union for Conservation of Nature EU Representative Office",Belgium,"4000000 - 4250000",3,,29,2012-04-03
"Kreab Gavin Anderson",Belgium,"4000000 - 4250000",28,,65,2008-10-15
"EUROPEAN ORGANISATION FOR RARE DISEASES",France,"3750000 - 4000000",0,,14,2011-08-30
"Interel European Affairs",Belgium,"3750000 - 4000000",17,,11,2008-12-11
"edX Inc.","United States","3750000 - 4000000",0,,1,2014-12-16
"G Plus Ltd","United Kingdom","3500000 - 3750000",23,,44,2008-12-15
"Policy Exchange","United Kingdom","3500000 - 3750000",0,,0,2014-10-17
"Verband der Chemischen Industrie e.V.",Germany,3700000,3,,9,2011-11-02
"FIPRA International Limited","United Kingdom","3250000 - 3500000",19,,45,2010-10-06
"General Electric Company","United States","3250000 - 3500000",6,,88,2008-12-24
"ITALIA NOSTRA ONLUS - SEZIONE VITERBO",Italy,"3000000 - 3250000",0,,1,2013-05-21
