"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"I.R.I.S Solutions & Experts",Belgium,"> 10,000,000",1,5,0,2018-04-20
"FTI Consulting Belgium","United States","6750000 - 6999999",41,22.75,54,2010-04-01
Fleishman-Hillard,Belgium,"6750000 - 6999999",62,32.25,29,2009-03-17
"Burson Cohn & Wolfe Sprl (formerly Burson-Marsteller Sprl)",Belgium,"6250000 - 6499999",38,28.25,6,2008-10-31
"Trinomics B.V.",Netherlands,"5250000 - 5499999",0,29.5,4,2017-08-24
"Interel European Affairs",Belgium,"5000000 - 5249999",30,25.5,11,2008-12-11
"Teneo Brussels","United States","4750000 - 4999999",25,30,23,2010-06-02
Kreab,Sweden,"3750000 - 3999999",31,30,65,2008-10-15
"Brunswick Group LLP","United Kingdom","3500000 - 3749000",26,14.25,17,2010-11-02
"EUROPEAN MAR II, LDA. & COMANDITA (ZONA FRANCA DA MADEIRA)",Portugal,3350000,0,3,1,2016-02-29
"Hill & Knowlton International Belgium",Belgium,"3000000 - 3249999",13,11.25,7,2008-12-22
"APCO Worldwide","United States","2500000 - 2749000",26,8.5,15,2009-02-06
"EUTOP Europe GmbH",Germany,"2500000 - 2749000",25,16,0,2016-12-22
"G Plus Ltd","United Kingdom","2500000 - 2749000",23,20.5,44,2008-12-15
Grayling,Belgium,"2500000 - 2749000",10,22,6,2010-04-27
"Ancitel Energia e Ambiente S.p.a.",Italy,2729929,0,9,0,2017-06-09
"Weber Shandwick, Current Global, Golin brand names of CMGRP Belgium SCRL",Belgium,"2250000 - 2499999",19,22.25,22,2009-05-29
"PROMONTORY FINANCIAL GROUP",Italy,"2000000 - 2249999",0,29.25,1,2019-02-28
"RIMES Technologies Limited","United Kingdom","2000000 - 2249999",0,1,0,2016-03-24
"FIPRA International Limited","United Kingdom","1750000 - 1999999",34,41.25,45,2010-10-06
"LOGOS Public Affairs",Belgium,"1750000 - 1999999",16,25,3,2008-12-16
"Landmark Public Policy Advisers Europe Ltd","United Kingdom",1500000,12,11.25,1,2011-10-27
"Hanover Communications International",Belgium,"1250000 - 1499999",12,16,4,2014-10-10
NOVE,Belgium,"1250000 - 1499999",13,10,14,2014-01-14
"NRD CS",Lithuania,"1250000 - 1499999",0,4.5,0,2016-01-02
"RPP Group",Belgium,"1250000 - 1499999",19,20,5,2010-10-01
"ARCTURUS GROUP",Belgium,"1000000 - 1249999",12,15,14,2011-09-16
"Avisa Partners",Belgium,"1000000 - 1249999",4,11.5,41,2009-05-07
"EPS biotechnology, s.r.o.","Czech Republic","1000000 - 1249999",0,40.75,0,2016-08-26
EURALIA,Belgium,"1000000 - 1249999",10,9.5,1,2009-12-31
"Hume Brophy",Ireland,"1000000 - 1249999",18,23,28,2009-01-07
"INTERNATIONAL SYNERGIES LIMITED","United Kingdom","1000000 - 1249999",0,15,0,2013-12-12
"Instinctif Partners","United Kingdom","1000000 - 1249999",8,11,0,2011-01-06
"Navigant Netherlands B.V.",Netherlands,"1000000 - 1249999",0,6,9,2017-10-10
"Pen & Tec Consulting SLU",Spain,"1000000 - 1249999",0,6.25,0,2017-10-24
"Political Intelligence",Belgium,"1000000 - 1249999",14,10,8,2011-11-29
"Afore Consulting",Belgium,"900000 - 999999",12,4.5,15,2011-01-04
"Edelman Public Relations Worldwide",Belgium,"900000 - 999999",13,7,20,2012-01-23
"VisionWare, Sistemas de Informação, S. A.",Portugal,"900000 - 999999",0,12,0,2016-03-09
"Rupprecht Consult - Forschung & Beratung GmbH",Germany,985745,0,15.75,0,2011-05-06
"EPPA SA",Belgium,"800000 - 899999",15,20,15,2009-02-26
"Hering Schuppener Consulting Corporate Affairs & Public Strategies GmbH",Germany,"800000 - 899999",9,8,6,2014-03-19
"KPMG EMA",Switzerland,"800000 - 899999",4,6,15,2012-05-09
"Zabala Innovation Consulting, S.A.",Spain,"800000 - 899999",4,5,1,2013-11-19
"hySOLUTIONS GmbH",Germany,"800000 - 899999",0,8.75,0,2016-12-22
"ACTION EUROPE",Belgium,845787,0,3.75,0,2014-11-19
"Bayern Innovativ Bayerische Gesellschaft für Innovation und Wissenstransfer mbH",Germany,"700000 - 799999",0,5.5,0,2016-11-10
"Cambre Associates",Belgium,"700000 - 799999",21,11.5,5,2009-02-09
"Cicero Consulting Limited","United Kingdom","700000 - 799999",7,9,6,2011-10-18
"Dr2 Consultants",Belgium,"700000 - 799999",17,15,2,2011-04-26
"Euroconsultants S.A.",Greece,"700000 - 799999",0,1.5,0,2016-11-18
"FTC GmbH",Germany,"700000 - 799999",0,6.25,0,2017-04-18
"Flint Europe","United Kingdom","700000 - 799999",5,16.75,12,2016-01-04
"Global New Energy Finance",Spain,"700000 - 799999",0,0.25,1,2018-02-09
"IDA International",Germany,"700000 - 799999",5,7,3,2017-02-09
WELCOMEUROPE,France,"700000 - 799999",0,13.25,0,2013-11-04
"European Affairs Consulting Group",Belgium,"600000 - 699999",3,16,0,2019-08-19
"PA Europe",Belgium,"600000 - 699999",5,11,9,2009-11-23
"Tandem Social, SCCL",Spain,"600000 - 699999",0,1.75,0,2015-03-15
"consultrade srl",Italy,"600000 - 699999",0,2.5,0,2017-05-05
"Albright Stonebridge Group LLC","United States","500000 - 599999",0,1,7,2017-03-22
"CENTRO ASSISTENZA AGRICOLA LIBERI PROFESSIONISTI SRL",Italy,"500000 - 599999",0,0.25,0,2016-02-15
"EUK Consulting",Belgium,"500000 - 599999",8,5,7,2009-03-09
"EUROS / AGENCY",France,"500000 - 599999",9,7.75,3,2012-01-18
"Industrieanlagen-Betriebsgesellschaft mbH",Germany,"500000 - 599999",0,6.75,0,2017-01-19
"Roland Berger GmbH",Germany,"500000 - 599999",0,0.5,0,2017-05-31
STC-NESTRA,Netherlands,"500000 - 599999",0,1.5,0,2017-04-21
"Schuman Associates",Belgium,"500000 - 599999",3,9.5,2,2010-06-02
"Wavestone S.A.",France,"500000 - 599999",0,14,1,2016-11-02
"Deminor Recovery Services",Belgium,500000,0,0.25,0,2018-03-20
"Rud Pedersen Public Affairs Company",Belgium,500000,13,10.5,9,2017-05-15
"APC ADVANCED PLANNING-CONSULTING S.A.",Greece,"400000 - 499999",0,2.75,0,2009-12-30
"Adaxio BV",Netherlands,"400000 - 499999",0,2.5,0,2016-10-28
"Athenora Consulting",Belgium,"400000 - 499999",7,6,8,2008-06-23
"ETA-Florence Renewable Energies",Italy,"400000 - 499999",0,1,0,2016-03-22
"EUPPORTUNITY (QB, Lda.)",Portugal,"400000 - 499999",11,6.5,10,2011-09-01
"Incisive Health","United Kingdom","400000 - 499999",6,8,0,2015-02-09
"LP Brussels",Belgium,"400000 - 499999",3,4.5,2,2019-01-21
Leidar,Switzerland,"400000 - 499999",3,5,8,2012-08-22
"Magellan - European Affairs Consultancy",Portugal,"400000 - 499999",5,9.5,4,2015-07-28
"Miltton Europe",Belgium,"400000 - 499999",5,5.75,34,2015-09-30
"Prospero & Partners",Belgium,"400000 - 499999",2,3.5,0,2014-04-23
"SERVICIOS Y NUEVAS TECNOLOGIAS",Spain,"400000 - 499999",0,0.25,0,2018-07-10
"The Resilience Advisors Network","United Kingdom","400000 - 499999",0,6.75,0,2018-10-12
"acumen public affairs",Belgium,"400000 - 499999",27,13,1,2011-09-20
"Lysias Consulting Group",Netherlands,450000,0,15,0,2012-01-09
"ADS Insight",Belgium,"300000 - 399999",13,10.5,4,2010-10-08
"Aula Europe",Belgium,"300000 - 399999",7,6.75,38,2012-02-16
"Aviation Advocacy",Switzerland,"300000 - 399999",0,2,0,2014-01-26
"B2EU Consulting",Belgium,"300000 - 399999",3,7.5,0,2015-12-16
Capstone,"United States","300000 - 399999",0,8,1,2018-04-06
Cementis,Switzerland,"300000 - 399999",0,0.25,0,2018-10-07
"DYNAMIC VISION PC",Greece,"300000 - 399999",0,6.5,0,2017-07-26
"Dober Partners",Belgium,"300000 - 399999",0,2.5,1,2011-10-05
"EU Strategy",Belgium,"300000 - 399999",5,6,13,2010-10-27
"Europe Analytica","United Kingdom","300000 - 399999",6,9,0,2009-03-04
"Europtimum Conseil",France,"300000 - 399999",4,4,2,2018-05-25
"Fourtold Communications","United Kingdom","300000 - 399999",3,3.75,0,2019-07-09
"Global Counsel Limited","United Kingdom","300000 - 399999",8,3.75,18,2014-06-12
"Hague Corporate Affairs",Belgium,"300000 - 399999",4,5,3,2018-05-25
"Institut de l'Audiovisuel et des Télécommunications en Europe",France,"300000 - 399999",0,2.75,2,2016-09-09
Kellen,Belgium,"300000 - 399999",5,5.5,1,2009-11-12
"Lysios Public Affairs",France,"300000 - 399999",6,4,5,2011-09-22
"Merit Consulting House sprl",Belgium,"300000 - 399999",0,5.25,0,2018-07-20
"Railistics GmbH",Germany,"300000 - 399999",0,22.5,0,2017-01-26
"Rasmussen Global",Denmark,"300000 - 399999",5,6.5,25,2016-02-23
"Stilistica GmbH",Germany,"300000 - 399999",0,0.75,0,2016-10-12
"Symbios Funding & Consulting GmbH",Germany,"300000 - 399999",0,8,0,2017-08-17
"Unisystems Systèmes Informatiques",Greece,"300000 - 399999",2,2,0,2018-10-15
