"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"National Authority for Management and Regulation in Communications of Romania",Romania,35406303,0,5,0,2016-06-03
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2750000 - 2999999",0,38,0,2016-05-31
"Instituto da Segurança Social dos Açores",Portugal,"2250000 - 2499999",0,107,0,2016-09-20
"National Széchényi Library, Hungary",Hungary,"2250000 - 2499999",0,0.75,0,2016-06-02
"European Agency for Special Needs and Inclusive Education",Denmark,2309335,4,26,5,2015-02-09
"Centre for Fine Arts",Belgium,"2000000 - 2249999",3,5,20,2015-07-07
"Public Institution Lithuanian Agricultural Advisory Service",Lithuania,"1750000 - 1999999",0,0.75,0,2016-10-27
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15.25,36,2010-01-07
"Association pour la coordination des horaires",France,1500000,0,1,0,2016-07-01
"Chambre de commerce et d'industrie de région Paris Ile-de-France",France,"1000000 - 1249999",0,8,1,2010-12-09
"European and Mediterranean Plant Protection Organization",France,"1000000 - 1249999",0,9,0,2016-12-21
"European Organisation for Technical Assessment",Belgium,1236793,0,3,0,2015-03-25
"Suva Luzern Fachstelle Marktüberwachung",Switzerland,1000000,0,5,0,2016-12-06
"KfW Bankengruppe",Germany,"900000 - 999999",4,6,60,2012-09-25
"Sveriges Lantbruksuniversitet",Sweden,950000,0,2,0,2016-02-16
"City of Dublin Energy Management Agency Ltd",Ireland,"800000 - 899999",0,1,0,2016-11-07
"Egmont Institute",Belgium,876823,0,11,9,2016-09-28
"Trikala Development Agency SA",Greece,805339,0,7.5,0,2016-12-20
"Associação de Melhoramentos e Bem Estar Social de Pias",Portugal,800000,0,52,0,2015-04-28
"Instytut Europejskiej Sieci Pamięć i Solidarność",Poland,"700000 - 799999",0,0.75,1,2016-09-19
"Organismo Publico Puertos del Estado",Spain,"700000 - 799999",0,1,0,2016-11-02
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"600000 - 699999",0,3,1,2010-04-15
"Netherlands Institute of International Relations ‘Clingendael’",Netherlands,600000,0,6,2,2015-08-06
"Centre National d'Etudes Spatiales",France,"500000 - 599999",0,3,1,2016-12-06
"PIRAEUS PORT AUTHORITY SA",Greece,"500000 - 599999",0,3.25,0,2016-11-21
"Long Distance Advisory Council / Consejo Consultivo de Flota Comunitaria de Larga Distancia en Aguas Lejanas / Conseil Consultatif de Pêche Lointaine",Spain,"400000 - 499999",1,2.75,4,2015-10-15
"Development Agency of Karditsa AE OTA",Greece,477062,0,18.75,0,2015-03-15
"ATP Group",Denmark,"300000 - 399999",0,2,4,2016-01-13
BLEU-BLANC-COEUR,France,"300000 - 399999",0,10,0,2015-09-28
"Corporacion Andina de Fomento",Venezuela,"300000 - 399999",0,5,2,2016-02-16
"Stichting Advisory Council for pelagic stocks",Netherlands,"300000 - 399999",0,1.75,1,2016-12-01
"Agency for Sustainable Development and Eurointegration - Ecoregions",Bulgaria,360200,0,0.75,0,2015-02-10
"Comunidad de Usuarios de los Acuiferos de la Sierra de Gador",Spain,300000,0,1,0,2016-11-15
