"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Danube Strategy Point",Belgium,2205000,0,6,0,2015-05-27
"Cités et Gouvernements Locaux Unis d'Afrique",Morocco,1896489,0,1.25,0,2016-10-30
"United Cities and Local Governments - Asia Pacific",Indonesia,1363211,0,16.25,0,2016-12-07
"Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments",Spain,1084250,0,25,1,2016-11-10
"Mission Opérationnelle Transfrontalière",France,"900000 - 999999",0,6,0,2015-09-14
"Association Marocaine des Présidents des Conseils Communaux",Morocco,500000,0,0.75,0,2016-12-16
"COMMONWEALTH LOCAL GOVERNMENT FORUM","United Kingdom",454063,0,6.25,0,2016-12-02
"European Energy Network",Germany,400000,0,14.75,2,2016-08-01
"Association of European Border Regions",Germany,"300000 - 399999",0,2.5,2,2015-10-22
"UGANDA LOCAL GOVERNMENTS ASSOCIATION",Uganda,"300000 - 399999",0,1.5,0,2016-11-28
"North Calotte Council",Finland,347500,0,7.75,0,2015-12-03
"Eixo Atlantico do Noroeste Peninsular",Spain,"200000 - 299999",0,3.75,0,2015-10-08
"European Federation of Agencies and Regions for Energy and the Environment",Belgium,"200000 - 299999",0,3,4,2011-07-05
"Network of European Regions Using Space Technologies",Belgium,"200000 - 299999",2,2.5,2,2013-06-07
"Euro Contrôle Route",Belgium,"100000 - 199999",0,1,0,2016-07-07
"European Network of Cities and Regions for the Social Economy AISBL",Belgium,"100000 - 199999",2,2,0,2011-04-13
"Joint Programming Initiative on Agriculture, Food Security and Climate Change",France,"100000 - 199999",0,22,2,2011-11-28
"Municipal Waste Europe",Belgium,"100000 - 199999",3,2.75,8,2009-04-21
"Europa Uomo",Belgium,150000,0,0.5,0,2016-11-28
"Association européenne des élus de montagne",France,120000,1,3,0,2016-11-24
"BioFuel Region AB",Sweden,100000,0,0.5,0,2016-04-27
"Assemblée des Régions Européennes Fruitières, Légumières et Horticoles",France,"50000 - 99999",0,2.75,1,2013-07-23
"Associazione Culturale Alfabeto del Mondo Onlus",Italy,"50000 - 99999",0,18,0,2015-08-24
"EUROPEAN CHEMICAL REGIONS NETWORK",Germany,"50000 - 99999",0,1.5,0,2016-11-14
"European Heritage Heads Forum",Belgium,"50000 - 99999",0,1,0,2014-09-02
"European Straits Initiative",France,"50000 - 99999",0,6.25,0,2015-10-20
"Asociacion Civil Internacional de la Red de Ciudades Mercociudades",Uruguay,96549,0,0.75,0,2016-11-29
"Network of European Regions for a Competitive and Sustainable Tourism",Belgium,64660,5,2.5,4,2016-07-29
"Réseau des Chambres de Commerce et d'Industrie Insulaires de l'Union européenne",Greece,52014,0,2.5,0,2015-02-11
"Network to Promote Linguistic Diversity",Belgium,50000,0,2,3,2015-02-18
"European Association of Development Agencies",Belgium,"25000 - 49999",0,0.25,1,2016-12-20
"ICLEI Local Governments for Sustainability European Secretariat",Germany,"25000 - 49999",0,1.25,0,2016-10-21
"Lega delle Autonomie Locali del Lazio",Italy,30000,0,1,0,2016-12-19
"ScanBalt fmba",Denmark,30000,0,1,0,2016-01-13
"European University Information System organization",France,25737,0,0.25,0,2016-08-09
"Radio Télévison Belge Francophone",Belgium,25000,0,0.25,2,2016-12-19
"ARCO LATINO",Spain,"10000 - 24999",0,0.5,0,2011-02-04
"Conference of Atlantic Arc Cities",France,"10000 - 24999",0,1,0,2014-08-05
"Eurodistrict PAMINA",France,"10000 - 24999",2,0.25,0,2015-10-28
"FEDERATION OF SRI LANKAN LOCAL GOVERNMENT AUTHORITIES","Sri Lanka","10000 - 24999",0,0.25,0,2016-12-23
"Joint Programming Initiative Connecting Climate Knowledge for Europe",Belgium,"10000 - 24999",0,50,0,2015-07-16
"Nordic Council",Denmark,"10000 - 24999",0,0.75,1,2015-03-19
"Balkan Economic Forum",Greece,20000,0,3.25,0,2014-08-07
"European Fashion Council",Bulgaria,20000,0,12.5,0,2016-07-20
"ASSOCIATION INTERNATIONALE DES MAIRES FRANCOPHONES",France,"< 9,999",0,3.75,0,2016-12-02
"Asociación de Cadenas Españolas de Supermercados (spanish association of supermarket chains)",Spain,"< 9,999",0,0.25,0,2011-06-27
"Assembly of European Regions",France,"< 9,999",1,6,21,2014-02-26
"Assemblée des Régions Européennes Viticoles",France,"< 9,999",0,3,0,2011-07-19
"Autoridad Portuaria de Bilbao",Spain,"< 9,999",0,0.25,0,2016-11-18
"CENTRE EUROPEEN DE PREVENTION DU RISQUE INONDATION",France,"< 9,999",0,0.25,0,2016-11-08
"CENTRO ITALIANO FORMAZIONE EUROPEA",Italy,"< 9,999",0,6.25,0,2014-03-25
"Climate Alliance of European cities with indigenous rainforest peoples",Germany,"< 9,999",0,2.25,6,2010-12-07
DataCite,Germany,"< 9,999",0,2,0,2014-09-30
"EUROSAFE GmbH",Germany,"< 9,999",0,6.25,0,2014-12-20
"Euroregion Baltic",Poland,"< 9,999",0,0.5,0,2015-11-24
"FEDERACIÓN DOMINICANA DE MUNICIPIOS","Dominican Republic","< 9,999",0,0.25,0,2016-12-01
"Fondazione Calabria Roma Europa",Italy,"< 9,999",0,0.25,0,2015-05-10
"GAFM Global Academy of Finance and Management Standards Council",Italy,"< 9,999",0,1.25,0,2014-08-05
"GALGOS ETHIQUE EUROPE",France,"< 9,999",0,6.25,0,2015-02-03
"Hydrogen, fuel cells, Electro-mobility in European Regions",Belgium,"< 9,999",0,1.75,0,2010-08-11
IKA,Denmark,"< 9,999",0,2,0,2011-09-05
"International Association of Aviation Personnel Schools",Netherlands,"< 9,999",0,1.75,0,2014-09-05
"International Tree Protection Commission",Italy,"< 9,999",0,18.75,0,2016-04-26
